district,percent households receiving food stamps,state,household language not english,percent uninsured,non-white,black/afroamerican,percent female,under 20,20 to 34,35 to 49,50 to 64,65 and over,median age,monthly housing costs - $499 or lower,monthly housing costs - $500 - 999,monthly housing costs - $1000 1999,monthly housing costs - $2000 or higher,monthly housing costs - median,percent owner-occupied housing units,average family size,native,foreign born,percent of tot. population in poverty,earnings $1 - $24'999,earnings $25'000 - 49'999,earnings $50'000 - 74'999,earnings $75'000 or more,median earnings,"management, business, science, and arts occupations",service occupations,sales and office occupations,blue collar occupations,less than highschool,highschool,college or associate,bachelor or higher,office,year,target
57,6.6,indiana,3.9,6.4,0.0522101120193763,0.007689978807145,0.5086,25.56,17.33,18.32,21.78,17.02,40.8,21.1,40.67,32.31,5.91,849.0,77.1,3.12,0.973,0.027,9.0,0.1193,0.4168,0.2601,0.2038,36658,0.345,0.1734,0.1866,0.2949,0.1135,0.4069,0.2674,0.2122,state house,2020,0
58,6.1,indiana,9.7,7.4,0.1308331145411582,0.0363563502701507,0.5104,27.52,20.64,19.0,18.02,14.82,36.3,14.51,33.24,47.3,4.95,1025.0,66.3,3.13,0.9251,0.0749,7.2,0.1104,0.405,0.2707,0.2139,38693,0.3825,0.1599,0.2345,0.2231,0.1016,0.3234,0.2911,0.2839,state house,2020,0
59,8.1,indiana,14.8,7.8,0.1850653087059094,0.020829737038955,0.5152,25.84,21.05,19.48,17.54,16.09,37.3,19.62,37.9,34.98,7.49,917.0,68.4,3.15,0.8668,0.1332,13.2,0.1336,0.3433,0.2245,0.2986,36038,0.4323,0.1533,0.1575,0.2569,0.1031,0.3052,0.2466,0.3451,state house,2020,0
60,6.5,indiana,6.4,6.6,0.0880532435924401,0.0060995763348457,0.5136,21.8,21.93,16.79,22.19,17.29,40.7,18.93,37.41,33.75,9.91,898.0,71.2,2.99,0.9311,0.0689,14.3,0.1582,0.3652,0.2244,0.2522,32278,0.374,0.1666,0.1896,0.2698,0.1079,0.311,0.3163,0.2647,state house,2020,0
61,8.3,indiana,10.8,7.3,0.1779357839191485,0.0469248427391706,0.5023,26.26,45.19,11.43,8.79,8.33,23.2,10.85,45.82,36.6,6.73,928.0,31.5,2.71,0.905,0.095,36.3,0.2433,0.3906,0.2091,0.157,12322,0.4545,0.2175,0.2059,0.1221,0.0405,0.1593,0.4673,0.3329,state house,2020,1
62,10.2,indiana,5.9,6.8,0.0765060064887615,0.0203431444187881,0.5124,23.86,19.1,18.53,20.75,17.77,40.4,28.7,37.04,29.91,4.35,765.0,73.8,2.97,0.9576,0.0424,12.6,0.1492,0.3783,0.2731,0.1994,34086,0.3986,0.1845,0.1721,0.2448,0.1127,0.3388,0.3021,0.2465,state house,2020,0
63,8.2,indiana,10.9,13.8,0.0593657264470489,0.011390545846947,0.5069,28.32,17.58,17.25,20.14,16.7,38.4,34.01,36.22,26.19,3.59,692.0,74.9,3.28,0.968,0.032,11.2,0.1916,0.4078,0.2155,0.1851,33395,0.2937,0.1501,0.1821,0.3741,0.175,0.3719,0.2787,0.1744,state house,2020,0
64,5.3,indiana,1.9,4.5,0.042939681771432,0.0164256760844576,0.5014,26.07,17.07,16.9,21.83,18.13,41.3,24.2,42.0,29.17,4.63,784.0,83.0,2.92,0.9796,0.0204,8.2,0.1567,0.388,0.2224,0.2329,36514,0.3353,0.148,0.1767,0.34,0.0794,0.3546,0.334,0.2319,state house,2020,0
65,6.5,indiana,1.7,6.4,0.037602052717518,0.0081797682917347,0.5091,22.35,15.57,18.54,22.63,20.9,45.2,26.64,35.95,31.4,6.01,808.0,83.4,2.81,0.9827,0.0173,9.2,0.1348,0.3742,0.247,0.244,34949,0.3314,0.1507,0.2244,0.2935,0.096,0.3706,0.3099,0.2235,state house,2020,0
66,12.0,indiana,3.1,7.5,0.0579870869730345,0.0137030003797949,0.5324,24.92,18.45,19.92,20.35,16.36,40.2,28.24,39.61,28.41,3.75,776.0,70.7,3.06,0.984,0.016,14.2,0.1836,0.3852,0.2643,0.1668,33733,0.3084,0.1452,0.2001,0.3463,0.1398,0.386,0.3093,0.1648,state house,2020,0
67,9.5,indiana,1.5,8.6,0.0286981599322905,0.0040907808532647,0.5075,24.1,16.55,17.84,23.6,17.91,43.1,27.39,39.29,30.02,3.31,778.0,77.5,2.92,0.9915,0.0085,12.4,0.1544,0.4383,0.2535,0.1538,34205,0.2562,0.1809,0.182,0.3809,0.1239,0.461,0.2696,0.1454,state house,2020,0
68,6.7,indiana,2.4,5.5,0.024584487534626,0.0049420800805842,0.503,25.58,16.39,19.06,21.0,17.98,41.8,24.7,32.95,35.71,6.64,853.0,81.5,3.01,0.9869,0.0131,7.6,0.1277,0.3953,0.2623,0.2147,37881,0.3312,0.144,0.2317,0.2931,0.1052,0.3963,0.2754,0.2231,state house,2020,0
69,9.3,indiana,6.0,9.5,0.0872867823725171,0.0147442880807055,0.5041,26.39,18.3,19.57,20.28,15.47,38.7,24.63,42.19,29.85,3.34,817.0,72.8,3.0,0.9561,0.0439,13.0,0.1597,0.4491,0.254,0.1372,34713,0.2673,0.1645,0.1855,0.3827,0.1186,0.4272,0.3071,0.1471,state house,2020,0
70,5.7,indiana,2.8,4.8,0.0417649139353926,0.009593845791087,0.4999,26.54,15.78,19.61,21.82,16.26,41.1,24.36,33.34,34.51,7.79,898.0,84.5,3.35,0.9807,0.0193,6.8,0.11,0.3839,0.2743,0.2318,38994,0.3519,0.1424,0.2216,0.2841,0.0915,0.3674,0.3279,0.2131,state house,2020,0
71,8.0,indiana,7.2,7.7,0.1837718328543002,0.0994767484707789,0.5389,22.74,21.45,18.87,19.97,16.97,39.2,19.05,43.6,34.81,2.54,872.0,65.0,3.12,0.9413,0.0587,11.8,0.1583,0.496,0.23,0.1158,32001,0.2874,0.1952,0.2254,0.2921,0.107,0.3718,0.3419,0.1793,state house,2020,1
72,8.0,indiana,3.3,5.1,0.1142485769351441,0.0579385355504758,0.5229,24.11,19.37,19.4,20.93,16.19,40.1,22.25,37.91,33.48,6.37,879.0,71.7,3.2,0.9708,0.0292,10.8,0.137,0.3867,0.2335,0.2428,37453,0.3862,0.1444,0.2197,0.2497,0.1057,0.3052,0.3128,0.2764,state house,2020,0
73,11.4,indiana,2.3,8.3,0.0291125706430426,0.0039101878723079,0.4966,25.54,17.15,18.7,21.5,17.11,40.8,33.12,38.46,26.3,2.11,692.0,80.3,3.06,0.9857,0.0143,13.2,0.1677,0.4393,0.2323,0.1606,31706,0.2682,0.1584,0.1801,0.3933,0.1371,0.43,0.2984,0.1345,state house,2020,0
74,7.0,indiana,3.1,5.4,0.0612495281238203,0.0224455769472757,0.4851,24.16,17.09,17.08,22.71,18.97,42.6,35.81,37.56,23.13,3.5,651.0,79.1,3.0,0.9712,0.0288,11.1,0.1386,0.4756,0.233,0.1528,34146,0.2708,0.1444,0.1802,0.4045,0.1313,0.4226,0.279,0.1672,state house,2020,0
75,5.9,indiana,3.4,3.5,0.0638235466651023,0.0152812811638411,0.5123,26.57,15.92,20.47,19.99,17.05,40.9,20.26,38.41,34.33,7.0,877.0,81.4,2.96,0.9572,0.0428,7.3,0.1119,0.3911,0.248,0.249,38804,0.3645,0.1588,0.178,0.2988,0.0818,0.3406,0.3319,0.2458,state house,2020,0
76,6.7,indiana,2.2,5.3,0.0620140544414839,0.022328175883077,0.5214,25.02,20.48,17.81,19.33,17.35,39.2,22.07,42.34,31.46,4.13,825.0,70.8,2.91,0.9853,0.0147,13.0,0.1628,0.3764,0.2488,0.212,33712,0.3384,0.1712,0.2195,0.2709,0.0817,0.3245,0.3543,0.2395,state house,2020,0
77,16.0,indiana,5.3,11.4,0.27654054729867,0.1998374669854814,0.5355,24.52,22.95,17.4,20.69,14.43,37.0,19.72,55.44,23.51,1.33,779.0,53.7,2.95,0.9577,0.0423,23.9,0.2655,0.4249,0.2082,0.1014,26358,0.269,0.2471,0.211,0.2729,0.1384,0.3478,0.3294,0.1844,state house,2020,1
78,7.0,indiana,4.9,6.8,0.1168039411900546,0.0541759679778308,0.5154,22.2,19.85,17.8,20.52,19.62,41.3,17.41,42.0,32.42,8.17,892.0,68.7,2.83,0.9534,0.0466,10.8,0.1516,0.3728,0.2364,0.2391,37097,0.404,0.149,0.2272,0.2199,0.0785,0.2846,0.3331,0.3037,state house,2020,0
79,6.7,indiana,9.7,13.1,0.0532710140368223,0.0118346740970443,0.5127,30.65,17.19,16.15,18.98,17.02,36.8,28.98,45.34,21.74,3.94,723.0,78.0,3.23,0.979,0.021,12.7,0.1576,0.4907,0.2247,0.127,32273,0.2797,0.1463,0.2091,0.3649,0.1264,0.411,0.3022,0.1604,state house,2020,0
80,25.5,indiana,23.0,13.0,0.5677605282975149,0.3358049006545791,0.5455,34.47,22.2,19.33,14.41,9.59,29.9,26.94,55.77,16.76,0.53,697.0,50.7,3.5,0.8356,0.1644,27.7,0.2472,0.5208,0.1447,0.0873,26161,0.2204,0.1977,0.2028,0.3791,0.2052,0.3367,0.3083,0.1497,state house,2020,1
81,10.3,indiana,11.3,9.7,0.1974575902250729,0.0863142313999216,0.4884,22.1,25.47,17.95,19.63,14.84,36.8,22.91,52.51,23.15,1.43,750.0,57.9,3.01,0.9053,0.0947,14.4,0.1782,0.4685,0.2121,0.1412,31276,0.328,0.1792,0.208,0.2849,0.117,0.3161,0.345,0.222,state house,2020,0
82,6.5,indiana,12.9,10.8,0.0493281768293615,0.0057169935339885,0.4987,27.37,17.96,17.94,21.14,15.59,39.0,26.44,42.3,26.62,4.64,773.0,79.2,3.13,0.9447,0.0553,7.3,0.1461,0.447,0.2634,0.1435,34759,0.2766,0.1335,0.1663,0.4236,0.1549,0.3939,0.3015,0.1497,state house,2020,0
83,4.6,indiana,4.5,4.5,0.0845854693300335,0.0290053620882682,0.5156,26.74,16.35,19.54,20.74,16.62,40.4,18.51,34.18,38.93,8.37,967.0,81.6,2.93,0.9615,0.0385,6.4,0.0862,0.3555,0.2556,0.3027,42449,0.4421,0.1175,0.2048,0.2357,0.0754,0.2631,0.2857,0.3758,state house,2020,0
84,4.8,indiana,8.2,5.5,0.1743435149473186,0.0695718993364957,0.541,27.32,20.6,17.53,18.18,16.37,37.0,19.34,40.24,36.52,3.9,901.0,74.8,3.11,0.9296,0.0704,8.1,0.1252,0.3932,0.2643,0.2172,38092,0.3846,0.1437,0.2583,0.2134,0.0606,0.2619,0.3543,0.3232,state house,2020,0
85,6.8,indiana,8.3,8.1,0.0985391005442566,0.0496849040389573,0.5246,29.31,18.49,17.43,18.16,16.61,37.2,23.42,44.45,28.56,3.57,812.0,75.1,3.25,0.9671,0.0329,9.1,0.1491,0.3877,0.2837,0.1796,35316,0.3335,0.1671,0.2173,0.2822,0.1083,0.3046,0.3517,0.2355,state house,2020,0
86,4.5,indiana,10.3,6.7,0.288159339072159,0.1963140562713039,0.5448,21.74,25.27,19.26,17.93,15.81,36.9,6.62,31.08,47.36,14.93,1154.0,62.2,3.06,0.9091,0.0909,8.0,0.1014,0.3384,0.2358,0.3243,43267,0.5482,0.1217,0.2056,0.1245,0.0469,0.1255,0.2536,0.574,state house,2020,1
87,4.1,indiana,7.7,7.2,0.2518546811417491,0.1581437028984442,0.5467,19.29,25.82,17.46,18.74,18.7,39.1,9.04,37.0,45.21,8.75,1046.0,48.7,3.0,0.9341,0.0659,9.5,0.1074,0.3945,0.2431,0.255,40708,0.5074,0.139,0.2313,0.1224,0.0433,0.1793,0.2649,0.5125,state house,2020,1
88,1.6,indiana,5.3,4.4,0.15331804580665,0.0822450292234122,0.507,26.41,16.13,20.58,22.81,14.07,40.4,9.27,20.54,47.81,22.39,1313.0,90.7,3.05,0.9583,0.0417,3.8,0.0611,0.2593,0.2518,0.4278,51938,0.5451,0.0916,0.2215,0.1417,0.0446,0.1813,0.2476,0.5265,state house,2020,0
89,10.0,indiana,8.7,9.0,0.273860177768356,0.2024197089686709,0.5357,26.2,21.0,18.73,18.16,15.92,36.9,17.26,40.78,39.63,2.33,928.0,70.0,3.24,0.9434,0.0566,10.6,0.1549,0.445,0.2395,0.1605,33780,0.3456,0.1625,0.2358,0.2562,0.1189,0.3589,0.3076,0.2146,state house,2020,1
90,5.0,indiana,10.9,5.1,0.1744717387508004,0.0575120787007392,0.5292,30.2,19.39,21.11,16.68,12.62,35.2,11.77,27.61,54.74,5.88,1112.0,78.9,3.29,0.9011,0.0989,5.4,0.1073,0.3197,0.2852,0.2878,43784,0.4334,0.1364,0.2185,0.2117,0.0855,0.2748,0.2908,0.3489,state house,2020,0
91,12.2,indiana,13.0,9.0,0.2183433617882365,0.11172458155211,0.5206,29.41,23.65,18.69,15.71,12.54,33.3,12.41,41.51,43.61,2.47,972.0,62.6,3.36,0.9008,0.0992,14.5,0.1336,0.498,0.2236,0.1448,35159,0.2948,0.1602,0.2121,0.3329,0.1456,0.3481,0.2984,0.2078,state house,2020,0
92,9.1,indiana,21.2,11.2,0.4366265413975337,0.298854961832061,0.5317,30.09,19.73,20.53,17.28,12.37,35.1,13.54,46.43,38.29,1.74,904.0,54.7,3.51,0.8204,0.1796,15.2,0.1475,0.4933,0.2255,0.1337,32040,0.2864,0.1744,0.2275,0.3117,0.1376,0.3316,0.3098,0.2211,state house,2020,1
93,6.8,indiana,17.5,3.9,0.2373146091566955,0.0483484989610947,0.5263,26.79,20.1,19.75,18.74,14.61,37.4,13.47,39.02,42.7,4.81,979.0,66.4,3.22,0.846,0.154,9.0,0.1277,0.3668,0.2462,0.2594,41365,0.422,0.1322,0.2093,0.2365,0.1155,0.2571,0.2802,0.3472,state house,2020,0
94,13.1,indiana,21.0,11.9,0.730812870941464,0.5818835098335855,0.5649,32.17,25.02,19.68,14.5,8.63,30.3,10.16,45.04,42.64,2.16,952.0,45.2,3.75,0.8076,0.1924,16.5,0.1658,0.5014,0.1999,0.1329,31964,0.3287,0.1775,0.2214,0.2723,0.1194,0.2505,0.3415,0.2885,state house,2020,1
95,21.5,indiana,13.9,12.4,0.6016157607540217,0.4955708312663879,0.5669,31.73,22.73,18.95,16.2,10.4,32.7,14.48,46.01,36.59,2.92,911.0,46.0,3.48,0.891,0.109,22.2,0.1893,0.452,0.2153,0.1434,31569,0.2841,0.1707,0.2561,0.2892,0.1743,0.3201,0.2926,0.2131,state house,2020,1
96,14.6,indiana,9.1,10.9,0.5086987382845886,0.4181188706850346,0.5387,24.52,28.04,17.4,17.97,12.07,33.4,17.39,40.42,33.84,8.35,920.0,49.7,3.38,0.939,0.061,21.6,0.1639,0.367,0.2436,0.2255,31838,0.4696,0.182,0.1767,0.1717,0.1207,0.2465,0.2722,0.3605,state house,2020,1
97,16.4,indiana,15.0,11.9,0.2706714211697296,0.1170796379263052,0.5024,25.86,29.7,16.9,18.15,9.39,31.2,16.41,51.32,29.2,3.07,859.0,46.1,3.42,0.8771,0.1229,22.9,0.2229,0.4289,0.1955,0.1527,26862,0.303,0.184,0.195,0.318,0.2349,0.3243,0.2378,0.203,state house,2020,1
98,22.8,indiana,11.1,13.5,0.6418317802105009,0.5625923580325101,0.537,28.74,21.75,18.83,19.69,11.0,34.6,18.21,55.87,25.14,0.78,803.0,39.3,3.47,0.919,0.081,27.2,0.2373,0.473,0.2049,0.0849,26286,0.2108,0.2336,0.2412,0.3144,0.198,0.4085,0.276,0.1174,state house,2020,1
99,16.9,indiana,23.8,14.1,0.6501794200368538,0.4585255690871053,0.5352,28.87,27.61,15.7,17.7,10.12,30.4,14.86,53.84,29.18,2.12,854.0,39.3,3.72,0.8119,0.1881,25.8,0.2531,0.4936,0.1515,0.1019,25127,0.2654,0.1905,0.2335,0.3106,0.1953,0.3225,0.2988,0.1834,state house,2020,1
100,19.6,indiana,8.5,12.1,0.2584850194494759,0.1791281883778246,0.4994,23.44,24.86,19.61,20.17,11.92,35.9,20.88,48.18,27.52,3.43,826.0,51.5,3.34,0.9361,0.0639,22.3,0.1867,0.41,0.2213,0.182,32064,0.3634,0.1596,0.2201,0.2568,0.1984,0.3195,0.2332,0.2489,state house,2020,1
1,5.9,iowa,4.3,4.8,0.0407768898205161,0.0027512118433119,0.5062,24.42,14.9,16.47,20.73,23.47,44.3,24.24,42.15,26.11,7.5,798.0,79.6,2.73,0.9672,0.0328,7.5,0.1421,0.412,0.2883,0.1576,34381,0.3529,0.1371,0.1998,0.3102,0.0714,0.3295,0.3653,0.2338,state house,2020,0
2,10.0,iowa,3.2,4.5,0.0473280896600614,0.0056375113931742,0.5058,25.36,15.97,17.21,20.85,20.61,42.0,26.59,44.39,24.85,4.17,749.0,72.0,2.87,0.9781,0.0219,8.4,0.1557,0.4568,0.2401,0.1474,32219,0.3539,0.1353,0.2205,0.2903,0.068,0.3121,0.3839,0.236,state house,2020,0
3,6.9,iowa,4.1,3.9,0.0597332966730822,0.0204495463293923,0.5009,25.27,16.53,15.95,20.98,21.27,42.5,35.34,39.75,21.42,3.49,646.0,75.8,2.76,0.9777,0.0223,10.5,0.1503,0.4255,0.2343,0.1899,33677,0.3322,0.1462,0.1936,0.328,0.0752,0.3594,0.3601,0.2054,state house,2020,0
4,3.9,iowa,8.6,4.0,0.0673079945927253,0.0043069571504919,0.5024,31.6,19.76,16.27,16.78,15.58,33.6,19.19,39.17,34.72,6.92,859.0,80.1,3.17,0.9335,0.0665,5.5,0.1282,0.4131,0.2756,0.183,32018,0.3994,0.1443,0.1836,0.2727,0.0781,0.2676,0.3772,0.2771,state house,2020,0
5,5.3,iowa,6.0,4.8,0.056123787044322,0.0137359034880671,0.5128,26.72,15.52,17.65,20.65,19.46,41.2,26.22,40.27,25.98,7.53,778.0,77.3,2.84,0.9608,0.0392,7.0,0.1271,0.4047,0.2887,0.1795,39977,0.3345,0.1649,0.2052,0.2954,0.0717,0.344,0.3672,0.2172,state house,2020,0
6,7.3,iowa,8.9,4.1,0.0878649968441683,0.0226555492808025,0.5095,26.19,18.04,17.5,20.14,18.12,39.5,18.81,40.61,32.29,8.3,874.0,73.7,2.97,0.9474,0.0526,8.5,0.0967,0.408,0.2683,0.2269,37549,0.3603,0.152,0.2374,0.2503,0.062,0.2887,0.371,0.2784,state house,2020,0
7,9.0,iowa,4.9,4.7,0.0541940417839885,0.0160253067751242,0.5097,24.54,15.86,15.54,21.6,22.46,43.8,31.1,44.85,19.48,4.57,663.0,75.4,2.73,0.9635,0.0365,10.0,0.1433,0.4893,0.242,0.1255,32522,0.3011,0.1549,0.1838,0.3602,0.0772,0.341,0.3967,0.1851,state house,2020,0
8,7.4,iowa,6.1,3.7,0.0504342474184503,0.0081036722970662,0.5008,25.02,16.31,16.0,20.78,21.9,43.2,34.12,44.04,18.7,3.15,633.0,77.4,2.76,0.9687,0.0313,11.4,0.1477,0.4642,0.2572,0.1309,35543,0.3277,0.1462,0.1736,0.3526,0.0704,0.3735,0.3745,0.1816,state house,2020,0
9,12.5,iowa,5.6,6.2,0.12241433075777,0.0523543882748345,0.4753,24.86,20.81,15.93,20.03,18.36,38.5,28.14,47.52,21.04,3.3,683.0,65.0,2.79,0.9603,0.0397,14.8,0.1806,0.3919,0.2883,0.1393,30405,0.3029,0.1925,0.2093,0.2953,0.0991,0.3407,0.3725,0.1877,state house,2020,0
10,10.1,iowa,3.3,4.4,0.0430056227636735,0.0088941898108706,0.4991,23.95,16.36,16.14,21.9,21.65,43.5,37.25,42.18,18.48,2.09,604.0,77.3,2.74,0.976,0.024,12.0,0.1546,0.4206,0.2754,0.1494,34524,0.3478,0.156,0.1781,0.3181,0.0765,0.3621,0.3724,0.189,state house,2020,0
11,9.8,iowa,23.7,7.3,0.1851252486429992,0.0175314385893934,0.5005,27.81,18.51,16.18,19.64,17.86,37.5,31.86,45.33,18.56,4.24,665.0,69.9,3.06,0.8189,0.1811,10.7,0.1959,0.4803,0.1864,0.1374,31318,0.2728,0.1495,0.168,0.4096,0.1623,0.3106,0.3441,0.183,state house,2020,0
12,7.9,iowa,3.3,3.1,0.0553676520327403,0.0038557802881688,0.5085,25.21,16.11,15.72,22.05,20.91,43.2,33.74,42.01,20.81,3.44,643.0,76.9,2.85,0.9749,0.0251,9.1,0.1728,0.4252,0.2437,0.1583,34723,0.3205,0.1552,0.2105,0.3138,0.0751,0.3545,0.3659,0.2045,state house,2020,0
13,15.3,iowa,22.7,6.7,0.2205011963228812,0.0525122780506233,0.5044,32.15,21.84,19.42,15.13,11.46,31.7,20.35,47.55,30.63,1.47,818.0,58.2,3.25,0.848,0.152,13.1,0.1325,0.481,0.2673,0.1193,31738,0.2864,0.1839,0.191,0.3386,0.1491,0.3058,0.3506,0.1945,state house,2020,1
14,18.3,iowa,23.1,7.8,0.2310343684751267,0.0488516223113379,0.5134,29.89,20.57,18.67,18.05,12.82,34.6,24.6,46.17,24.52,4.72,790.0,64.2,3.18,0.8436,0.1564,17.1,0.1735,0.4613,0.2248,0.1404,32494,0.2563,0.1733,0.2111,0.3593,0.1802,0.3347,0.3086,0.1765,state house,2020,1
15,15.8,iowa,10.7,8.5,0.1045384666800347,0.0218234075262348,0.511,24.75,20.19,19.24,21.08,14.74,38.5,20.6,45.87,31.84,1.69,852.0,63.6,3.16,0.9159,0.0841,14.0,0.2258,0.4855,0.1862,0.1025,31147,0.2621,0.2083,0.2113,0.3183,0.1454,0.4104,0.3209,0.1233,state house,2020,1
16,14.4,iowa,7.5,5.0,0.085498742665549,0.0278290025146689,0.5316,27.03,20.13,16.68,19.63,16.53,36.9,16.14,41.46,38.86,3.54,915.0,60.8,3.0,0.953,0.047,12.4,0.1506,0.4627,0.2506,0.1361,33372,0.3137,0.1906,0.2439,0.2519,0.1194,0.3213,0.3723,0.1871,state house,2020,0
17,10.2,iowa,2.9,4.5,0.0311854677820167,0.006160092401386,0.5154,24.14,15.6,15.92,22.18,22.17,44.6,34.27,41.24,21.57,2.91,644.0,76.2,2.76,0.9866,0.0134,11.1,0.155,0.4159,0.2773,0.1518,35743,0.3177,0.1486,0.2077,0.3259,0.0839,0.3859,0.3618,0.1683,state house,2020,0
18,11.0,iowa,17.7,6.3,0.1133282254572104,0.0213531430094273,0.5103,25.39,18.39,15.59,20.68,19.94,40.0,26.06,46.57,23.49,3.88,721.0,70.2,2.85,0.8788,0.1212,13.7,0.1689,0.4388,0.2566,0.1358,34986,0.3234,0.1341,0.1738,0.3687,0.1418,0.3565,0.3315,0.1702,state house,2020,0
19,4.2,iowa,2.7,2.3,0.0480526575955459,0.004422821760283,0.5055,31.74,13.73,24.28,18.92,11.33,37.6,8.28,23.18,41.02,27.52,1400.0,85.3,3.18,0.9773,0.0227,3.6,0.0655,0.2341,0.2669,0.4334,54114,0.5187,0.1092,0.2065,0.1657,0.0338,0.2074,0.3088,0.45,state house,2020,0
20,11.7,iowa,10.8,6.0,0.0562343793390724,0.0159330741460705,0.5005,23.68,15.76,17.76,21.65,21.15,44.3,27.13,45.27,23.39,4.22,726.0,72.8,2.84,0.9268,0.0732,10.7,0.1539,0.4545,0.2309,0.1607,33101,0.3165,0.1409,0.1909,0.3516,0.1007,0.3906,0.3485,0.1602,state house,2020,0
21,13.7,iowa,2.9,5.9,0.0361826459196847,0.0037371746959298,0.5121,24.79,16.41,16.62,20.8,21.38,43.3,29.88,45.31,19.57,5.24,692.0,73.5,2.83,0.9836,0.0164,11.6,0.1722,0.4424,0.2257,0.1597,32273,0.3324,0.1562,0.1979,0.3135,0.1039,0.338,0.3551,0.203,state house,2020,0
22,5.0,iowa,1.3,2.8,0.0348355510921416,0.0022596033140848,0.5063,26.51,13.71,18.42,20.7,20.66,43.5,15.8,34.02,36.03,14.15,1004.0,80.9,3.05,0.9846,0.0154,5.3,0.1005,0.3234,0.2812,0.2948,44945,0.393,0.1481,0.2373,0.2216,0.048,0.295,0.3638,0.2933,state house,2020,0
23,10.4,iowa,2.2,3.4,0.0389955989219064,0.0044351949779946,0.5072,24.95,15.34,17.45,22.31,19.96,43.6,25.2,39.5,28.11,7.19,763.0,75.9,3.01,0.9843,0.0157,8.4,0.1404,0.3905,0.2963,0.1728,36702,0.343,0.169,0.1982,0.2897,0.0769,0.3402,0.3754,0.2075,state house,2020,0
24,11.2,iowa,3.2,5.0,0.0575579384296091,0.012487028709789,0.4939,23.54,15.6,16.93,21.09,22.84,44.5,31.27,48.34,17.37,3.02,651.0,74.2,2.91,0.9734,0.0266,11.0,0.1691,0.4697,0.2249,0.1363,32583,0.3625,0.153,0.1725,0.3119,0.0935,0.365,0.3628,0.1787,state house,2020,0
25,5.8,iowa,2.5,1.8,0.0362275804727402,0.0079284950706734,0.5078,27.08,16.7,20.44,20.25,15.52,39.2,14.75,26.73,43.59,14.93,1157.0,81.3,2.93,0.9875,0.0125,5.4,0.0816,0.3236,0.3013,0.2934,43598,0.4195,0.1234,0.2117,0.2454,0.0435,0.321,0.3438,0.2917,state house,2020,0
26,9.6,iowa,2.9,3.2,0.0469556716463507,0.0037882259493477,0.5222,27.51,17.64,19.08,18.95,16.81,38.7,13.56,33.22,40.36,12.86,1053.0,78.6,3.05,0.9777,0.0223,7.8,0.1003,0.2969,0.3363,0.2666,40309,0.3661,0.1478,0.2263,0.2599,0.0542,0.303,0.3853,0.2575,state house,2020,0
27,14.5,iowa,8.0,7.6,0.040072239070433,0.0048727297509115,0.5049,26.38,17.87,15.83,19.89,20.03,39.5,31.43,42.11,23.81,2.65,676.0,70.2,2.85,0.9558,0.0442,17.0,0.1459,0.4739,0.2293,0.1509,32021,0.3122,0.1487,0.1742,0.3649,0.1155,0.3928,0.3261,0.1655,state house,2020,0
28,11.6,iowa,2.7,3.6,0.0482662878543294,0.013785755795183,0.4771,24.06,17.41,18.15,22.29,18.08,41.8,24.04,43.92,27.68,4.36,738.0,79.0,2.82,0.9849,0.0151,8.0,0.1242,0.4034,0.3041,0.1683,38332,0.3163,0.1485,0.2014,0.3338,0.0691,0.3766,0.3502,0.2041,state house,2020,0
29,12.8,iowa,4.3,2.7,0.0416360846066591,0.0121104957629945,0.5114,25.56,15.87,18.56,20.56,19.45,41.8,18.02,45.14,31.34,5.5,798.0,73.4,2.89,0.9731,0.0269,10.0,0.144,0.3899,0.3044,0.1618,35925,0.3021,0.156,0.2283,0.3136,0.0642,0.4097,0.3463,0.1798,state house,2020,1
30,6.3,iowa,3.5,2.1,0.0717453278428888,0.0372980677858726,0.5463,28.74,17.21,22.42,18.58,13.05,37.4,7.02,27.45,47.3,18.23,1288.0,79.2,3.14,0.9578,0.0422,6.3,0.0901,0.3008,0.3245,0.2846,45042,0.4169,0.141,0.2356,0.2064,0.0514,0.3136,0.3404,0.2946,state house,2020,0
31,16.0,iowa,10.4,5.8,0.1731255265374894,0.0698917762944721,0.5256,27.99,18.86,19.3,19.17,14.68,37.7,11.18,35.43,46.13,7.27,1039.0,73.7,3.09,0.9138,0.0862,11.2,0.1257,0.3901,0.3362,0.148,37293,0.3113,0.181,0.237,0.2707,0.1058,0.3784,0.3059,0.2099,state house,2020,1
32,23.8,iowa,27.7,9.1,0.3265196342119419,0.1525804512229851,0.4941,30.57,23.85,16.54,16.73,12.32,32.1,17.21,44.75,36.94,1.1,869.0,55.6,3.57,0.7922,0.2078,19.6,0.2071,0.4626,0.2387,0.0915,30637,0.2437,0.2046,0.2222,0.3296,0.2013,0.3595,0.3102,0.129,state house,2020,1
33,19.4,iowa,24.8,7.4,0.3059501872436545,0.086845390239553,0.5359,29.48,22.4,20.85,16.68,10.58,33.4,10.62,39.55,46.62,3.21,998.0,64.3,3.36,0.8256,0.1744,15.5,0.1305,0.5054,0.2266,0.1374,33056,0.298,0.2144,0.2262,0.2615,0.1686,0.3029,0.3366,0.1919,state house,2020,1
