district,percent households receiving food stamps,state,household language not english,percent uninsured,non-white,black/afroamerican,percent female,under 20,20 to 34,35 to 49,50 to 64,65 and over,median age,monthly housing costs - $499 or lower,monthly housing costs - $500 - 999,monthly housing costs - $1000 1999,monthly housing costs - $2000 or higher,monthly housing costs - median,percent owner-occupied housing units,average family size,native,foreign born,percent of tot. population in poverty,earnings $1 - $24'999,earnings $25'000 - 49'999,earnings $50'000 - 74'999,earnings $75'000 or more,median earnings,"management, business, science, and arts occupations",service occupations,sales and office occupations,blue collar occupations,less than highschool,highschool,college or associate,bachelor or higher,office,year,target
15,14.7,alaska,23.4,9.0,0.5449852110782468,0.1700994891099758,0.4414,30.72,35.53,14.75,11.2,7.8,26.0,5.89,15.46,53.5,25.15,1440.0,42.6,3.43,0.8527,0.1473,14.9,0.2084,0.4193,0.2564,0.1159,30654,0.3185,0.227,0.2107,0.2439,0.0716,0.2987,0.4754,0.1544,state house,2020,0
16,6.6,alaska,19.7,12.0,0.5349070553443177,0.0916772285593578,0.4924,29.0,27.85,19.5,15.33,8.33,31.5,6.2,16.2,52.47,25.13,1538.0,61.9,3.33,0.8722,0.1278,11.9,0.076,0.3759,0.2833,0.2647,40918,0.3606,0.2284,0.2355,0.1755,0.0741,0.3009,0.3382,0.2869,state house,2020,1
17,8.1,alaska,23.1,12.3,0.4966160056993588,0.0453573972928045,0.4965,24.32,29.98,18.89,15.26,11.56,32.9,4.18,19.52,51.77,24.53,1400.0,52.6,3.16,0.8346,0.1654,12.5,0.1393,0.3528,0.2539,0.254,39157,0.3566,0.1597,0.2694,0.2143,0.0727,0.253,0.3978,0.2764,state house,2020,1
18,14.6,alaska,22.3,13.0,0.4658053018489641,0.0876030296279795,0.481,19.34,25.27,18.61,23.47,13.3,38.5,8.63,37.33,40.92,13.13,1067.0,41.1,2.78,0.8223,0.1777,7.5,0.1092,0.3554,0.2659,0.2696,38558,0.4011,0.1826,0.219,0.1973,0.1024,0.2683,0.3155,0.3138,state house,2020,1
19,33.1,alaska,33.7,10.8,0.6931623931623931,0.1000534188034188,0.5115,37.71,22.19,17.9,14.52,7.69,28.8,10.13,30.7,45.84,13.32,1129.0,46.5,3.9,0.782,0.218,26.7,0.1897,0.4646,0.1954,0.1503,30898,0.2583,0.2842,0.21,0.2474,0.1426,0.4005,0.2991,0.1578,state house,2020,1
20,13.1,alaska,17.3,11.4,0.4276222700707475,0.0745616733312826,0.4764,16.47,29.73,19.84,17.38,16.57,37.2,10.04,28.1,44.9,16.96,1153.0,37.3,2.93,0.8692,0.1308,13.7,0.11,0.3392,0.224,0.3269,37327,0.3887,0.2158,0.2292,0.1663,0.0798,0.2804,0.3058,0.3341,state house,2020,1
21,5.1,alaska,14.8,11.7,0.3448880575203133,0.0263634769392646,0.5028,23.5,23.21,19.31,20.42,13.57,37.8,4.67,18.48,48.8,28.05,1526.0,61.8,3.04,0.8683,0.1317,8.2,0.0705,0.248,0.2768,0.4046,51313,0.4982,0.1656,0.1622,0.1741,0.0545,0.2008,0.3367,0.4081,state house,2020,1
22,5.1,alaska,18.0,11.0,0.3811308631398586,0.0222745769972156,0.5064,28.76,25.8,21.58,15.71,8.15,31.9,2.24,16.92,40.31,40.54,1774.0,69.4,3.27,0.8716,0.1284,2.9,0.0934,0.3218,0.2309,0.3539,41856,0.4147,0.1643,0.2289,0.1921,0.0604,0.2752,0.3144,0.35,state house,2020,0
23,11.3,alaska,22.7,17.2,0.4489311163895487,0.0270673369054852,0.4804,25.05,25.81,18.7,20.36,10.09,34.2,4.94,25.91,44.35,24.8,1446.0,60.1,3.48,0.7991,0.2009,6.3,0.1334,0.3166,0.2734,0.2766,41718,0.3381,0.1855,0.2155,0.2608,0.0811,0.3074,0.3726,0.2388,state house,2020,1
24,5.2,alaska,12.4,8.0,0.2528574760905062,0.0266503382318637,0.52,26.72,19.47,20.35,20.24,13.23,37.6,2.74,17.38,33.22,46.65,1917.0,82.3,3.06,0.9286,0.0714,6.5,0.0779,0.229,0.214,0.4791,57676,0.5088,0.118,0.2281,0.1451,0.0362,0.2552,0.3114,0.3972,state house,2020,0
25,6.7,alaska,20.6,10.5,0.4541671290644767,0.046443236044834,0.4899,26.38,26.93,20.17,18.49,8.02,33.0,3.05,18.27,40.68,38.0,1752.0,76.7,3.36,0.8121,0.1879,4.3,0.129,0.263,0.2655,0.3425,44634,0.4203,0.1483,0.2453,0.186,0.0502,0.2507,0.4049,0.2942,state house,2020,1
26,5.6,alaska,17.4,12.1,0.3212194281777472,0.0090710758984958,0.5004,26.14,20.02,22.1,19.7,12.05,36.9,4.56,18.14,44.32,32.99,1531.0,72.3,3.3,0.8758,0.1242,5.2,0.0789,0.1768,0.2622,0.4821,52944,0.5029,0.1428,0.1784,0.1759,0.0458,0.2279,0.3203,0.4059,state house,2020,0
27,4.8,alaska,14.0,11.6,0.3438115120787354,0.0311362958544586,0.492,21.76,21.49,19.31,21.08,16.37,38.9,9.78,18.79,44.31,27.12,1576.0,82.1,2.92,0.8821,0.1179,5.4,0.0867,0.2417,0.3709,0.3008,47045,0.3823,0.1645,0.2806,0.1727,0.0721,0.23,0.348,0.3499,state house,2020,1
28,1.2,alaska,7.0,7.4,0.1827453803695704,0.0273578113750899,0.4836,23.23,14.85,21.87,24.34,15.71,43.3,2.79,21.23,26.37,49.61,1984.0,86.8,3.01,0.9474,0.0526,3.0,0.0624,0.1215,0.1708,0.6453,70546,0.5196,0.1133,0.187,0.1802,0.0407,0.1618,0.2655,0.532,state house,2020,0
29,8.9,alaska,6.9,14.6,0.1671933352484918,0.0120654984199942,0.4391,23.6,17.2,18.69,21.47,19.05,43.7,23.8,25.59,35.43,15.18,1019.0,81.2,3.27,0.9671,0.0329,13.4,0.0932,0.2882,0.2448,0.3738,37134,0.3736,0.1784,0.2033,0.2447,0.0792,0.3403,0.3631,0.2173,state house,2020,0
30,10.7,alaska,6.5,10.4,0.2170893868505294,0.0063038660428465,0.5049,26.31,19.3,18.43,21.17,14.78,37.8,14.97,28.83,45.15,11.06,1107.0,67.7,3.36,0.9611,0.0389,13.8,0.1377,0.3111,0.2465,0.3047,39550,0.38,0.2289,0.1416,0.2494,0.0747,0.3435,0.3698,0.2119,state house,2020,0
31,6.8,alaska,8.3,15.9,0.1353494282083862,0.0021346886912325,0.4771,24.3,17.11,16.51,23.18,18.89,42.8,26.19,25.44,35.59,12.79,963.0,78.3,3.21,0.9574,0.0426,10.8,0.12,0.2816,0.2983,0.3001,37905,0.4,0.1651,0.1786,0.2564,0.0742,0.2885,0.3513,0.286,state house,2020,0
32,7.3,alaska,26.6,18.0,0.472804054054054,0.0064189189189189,0.4507,26.69,22.67,19.62,19.65,11.37,35.5,13.45,24.64,40.54,21.37,1270.0,54.4,3.63,0.785,0.215,7.2,0.2181,0.2851,0.2623,0.2345,32863,0.2831,0.1494,0.1984,0.3692,0.1,0.3072,0.3326,0.2601,state house,2020,0
33,11.9,alaska,13.2,10.6,0.3485537946545321,0.010722318112872,0.4842,22.79,21.01,20.02,20.57,15.62,39.7,15.7,25.81,39.22,19.26,1151.0,58.3,3.19,0.884,0.116,11.0,0.1127,0.3112,0.259,0.3171,39857,0.4422,0.1747,0.1775,0.2056,0.0515,0.2568,0.3454,0.3462,state house,2020,1
34,3.7,alaska,10.2,8.3,0.2929060468327484,0.0075369656521488,0.5035,25.05,19.99,20.72,21.02,13.22,38.3,5.38,18.01,38.86,37.76,1670.0,71.9,3.19,0.9354,0.0646,3.4,0.0754,0.2783,0.2704,0.3759,50644,0.4506,0.1108,0.2084,0.2302,0.0506,0.215,0.3867,0.3477,state house,2020,1
