district,percent uninsured,state
37,3.4,connecticut
38,2.1,connecticut
39,9.9,connecticut
40,3.9,connecticut
41,3.6,connecticut
42,4.1,connecticut
43,3.7,connecticut
44,4.1,connecticut
45,2.3,connecticut
46,6.8,connecticut
47,3.5,connecticut
48,1.7,connecticut
49,6.2,connecticut
50,2.9,connecticut
51,3.1,connecticut
52,3.1,connecticut
53,2.1,connecticut
54,1.9,connecticut
55,1.9,connecticut
56,6.0,connecticut
57,2.9,connecticut
58,3.2,connecticut
59,3.3,connecticut
60,2.6,connecticut
61,3.5,connecticut
62,1.8,connecticut
63,3.5,connecticut
64,4.5,connecticut
65,4.7,connecticut
66,3.1,connecticut
67,3.7,connecticut
68,3.4,connecticut
69,1.6,connecticut
70,4.8,connecticut
71,3.8,connecticut
72,8.1,connecticut
73,5.3,connecticut
74,7.8,connecticut
75,11.2,connecticut
76,1.8,connecticut
77,3.3,connecticut
78,2.7,connecticut
79,4.3,connecticut
80,1.4,connecticut
81,3.5,connecticut
82,3.2,connecticut
83,4.0,connecticut
84,5.8,connecticut
85,4.7,connecticut
86,1.8,connecticut
87,1.6,connecticut
88,2.7,connecticut
89,1.5,connecticut
90,5.4,connecticut
91,4.4,connecticut
92,7.3,connecticut
93,5.2,connecticut
94,5.2,connecticut
95,13.4,connecticut
96,5.2,connecticut
97,7.9,connecticut
98,2.0,connecticut
99,6.7,connecticut
100,3.3,connecticut
101,1.8,connecticut
102,3.2,connecticut
103,2.3,connecticut
104,5.5,connecticut
105,3.5,connecticut
106,3.4,connecticut
107,5.1,connecticut
108,3.7,connecticut
109,14.9,connecticut
110,19.7,connecticut
111,3.7,connecticut
112,2.6,connecticut
113,3.7,connecticut
114,2.5,connecticut
115,11.3,connecticut
116,9.3,connecticut
117,3.5,connecticut
118,3.3,connecticut
119,2.4,connecticut
120,3.0,connecticut
121,5.7,connecticut
122,2.4,connecticut
123,2.0,connecticut
124,13.7,connecticut
125,2.3,connecticut
126,12.2,connecticut
127,10.2,connecticut
128,17.5,connecticut
129,11.9,connecticut
130,11.0,connecticut
131,2.4,connecticut
132,1.5,connecticut
133,5.8,connecticut
134,2.6,connecticut
135,4.9,connecticut
136,1.6,connecticut
137,12.8,connecticut
138,7.3,connecticut
139,4.4,connecticut
140,20.7,connecticut
141,5.6,connecticut
142,8.7,connecticut
143,6.5,connecticut
144,5.8,connecticut
145,14.9,connecticut
146,8.5,connecticut
147,4.5,connecticut
148,16.1,connecticut
149,2.4,connecticut
150,5.8,connecticut
151,2.3,connecticut
1,5.2,delaware
2,5.9,delaware
3,7.4,delaware
4,4.3,delaware
5,6.1,delaware
6,2.9,delaware
7,4.6,delaware
8,3.6,delaware
9,2.2,delaware
10,2.3,delaware
11,9.0,delaware
12,2.9,delaware
13,6.5,delaware
14,3.0,delaware
15,8.2,delaware
16,7.5,delaware
17,6.3,delaware
18,8.6,delaware
19,4.4,delaware
20,3.6,delaware
21,4.4,delaware
22,2.4,delaware
23,4.3,delaware
24,7.5,delaware
25,5.5,delaware
26,8.3,delaware
27,2.8,delaware
28,9.2,delaware
29,8.6,delaware
30,7.6,delaware
31,6.0,delaware
32,6.7,delaware
33,4.5,delaware
34,6.2,delaware
35,7.7,delaware
36,6.3,delaware
37,11.0,delaware
38,3.4,delaware
39,7.6,delaware
40,6.9,delaware
41,8.4,delaware
1,10.2,florida
2,11.2,florida
3,11.5,florida
4,11.7,florida
5,14.4,florida
6,13.3,florida
7,10.9,florida
8,11.3,florida
9,5.5,florida
10,12.9,florida
11,9.1,florida
12,11.3,florida
13,14.3,florida
14,12.5,florida
15,11.2,florida
16,11.6,florida
17,6.9,florida
18,9.6,florida
19,13.3,florida
20,11.6,florida
21,7.7,florida
22,11.8,florida
23,12.4,florida
24,12.7,florida
25,9.7,florida
26,13.7,florida
27,10.5,florida
28,8.3,florida
29,8.4,florida
30,12.4,florida
31,12.8,florida
32,9.2,florida
33,7.0,florida
34,11.0,florida
35,12.4,florida
36,15.0,florida
37,9.7,florida
38,10.3,florida
39,12.2,florida
40,12.2,florida
41,14.6,florida
42,11.5,florida
43,14.6,florida
44,9.5,florida
45,16.0,florida
46,20.1,florida
47,10.8,florida
48,16.5,florida
49,12.2,florida
50,7.9,florida
51,11.3,florida
52,7.8,florida
