district,under 20,20 to 34,35 to 49,50 to 64,65 and over,median age,state
1,23.0,31.7,15.600000000000001,19.1,10.4,31.8,alaska
2,33.2,38.7,14.1,8.9,5.199999999999999,25.2,alaska
3,31.499999999999996,22.9,20.2,18.799999999999997,6.6,31.7,alaska
4,23.0,27.2,18.0,21.6,10.1,34.9,alaska
5,26.5,25.2,21.2,19.2,8.0,33.7,alaska
6,28.0,24.5,18.1,20.799999999999997,8.5,33.0,alaska
7,29.1,22.1,17.5,20.9,10.4,33.8,alaska
8,29.1,22.0,20.4,20.200000000000003,8.3,34.3,alaska
9,27.9,19.299999999999997,20.4,22.099999999999998,10.399999999999999,36.7,alaska
10,30.4,19.3,19.700000000000003,21.0,9.700000000000001,35.2,alaska
11,32.900000000000006,19.6,20.9,18.1,8.5,33.0,alaska
12,29.200000000000003,20.4,20.2,20.299999999999997,9.9,35.3,alaska
13,35.1,35.400000000000006,15.200000000000001,9.8,4.6,24.6,alaska
14,30.799999999999997,22.1,20.4,19.6,7.3,33.2,alaska
15,32.599999999999994,36.7,16.700000000000003,8.8,5.199999999999999,25.3,alaska
16,30.6,25.6,19.3,17.1,7.499999999999999,30.8,alaska
17,23.5,33.2,18.5,16.6,8.1,30.7,alaska
18,23.1,26.0,21.6,19.1,10.3,35.3,alaska
19,34.2,26.099999999999998,15.8,15.3,8.6,28.4,alaska
20,19.400000000000002,29.1,18.1,20.599999999999998,12.799999999999999,36.2,alaska
21,24.7,25.299999999999997,19.1,19.7,11.0,35.0,alaska
22,26.5,26.700000000000003,19.6,18.3,9.0,32.9,alaska
23,26.299999999999997,24.700000000000003,19.4,21.5,8.0,34.3,alaska
24,26.300000000000004,21.6,16.9,22.1,13.0,35.9,alaska
25,28.900000000000002,21.799999999999997,22.7,18.799999999999997,8.0,34.4,alaska
26,26.4,19.8,20.299999999999997,25.0,8.6,37.7,alaska
27,25.3,23.1,19.2,21.299999999999997,11.200000000000001,36.3,alaska
28,26.099999999999998,16.1,22.2,26.2,9.5,40.3,alaska
29,21.799999999999997,17.6,18.5,26.400000000000002,15.700000000000001,44.1,alaska
30,31.099999999999998,19.6,18.3,19.7,11.2,34.1,alaska
31,23.0,17.8,16.7,26.6,15.499999999999998,44.4,alaska
32,27.799999999999997,21.4,18.5,22.4,10.0,35.6,alaska
33,21.6,21.2,20.6,24.5,11.9,40.3,alaska
34,26.5,20.6,19.7,23.5,9.800000000000002,36.7,alaska
35,24.4,18.4,19.5,24.3,13.399999999999999,40.6,alaska
36,25.299999999999997,19.0,18.9,23.6,13.2,39.7,alaska
