district,less than highschool,highschool,college or associate,bachelor or higher,state
81,0.1223,0.3769,0.3222,0.1786,arkansas
82,0.1517,0.4487,0.2987,0.1009,arkansas
83,0.1395,0.386,0.3288,0.1456,arkansas
84,0.0556,0.2365,0.2538,0.4541,arkansas
85,0.0668,0.2273,0.3544,0.3515,arkansas
86,0.0422,0.1757,0.475,0.3071,arkansas
87,0.1468,0.3253,0.2801,0.2478,arkansas
88,0.2052,0.2362,0.2712,0.2874,arkansas
89,0.3554,0.2987,0.2553,0.0906,arkansas
90,0.1087,0.2442,0.2703,0.3767,arkansas
91,0.0639,0.2883,0.2958,0.352,arkansas
92,0.0763,0.2995,0.3145,0.3098,arkansas
93,0.0468,0.236,0.249,0.4682,arkansas
94,0.1848,0.3424,0.258,0.2148,arkansas
95,0.0908,0.3111,0.3012,0.2969,arkansas
96,0.1783,0.3712,0.227,0.2235,arkansas
97,0.1134,0.3636,0.2856,0.2373,arkansas
98,0.1546,0.3796,0.3027,0.1632,arkansas
99,0.1416,0.3463,0.3713,0.1409,arkansas
100,0.1146,0.346,0.3646,0.1749,arkansas
1,0.0904,0.2534,0.4121,0.2442,california
2,0.1055,0.2312,0.3775,0.2857,california
3,0.1453,0.2499,0.3982,0.2066,california
4,0.1202,0.2141,0.356,0.3096,california
5,0.1409,0.2568,0.3921,0.2103,california
6,0.052,0.178,0.3609,0.409,california
7,0.133,0.2387,0.3278,0.3005,california
8,0.1026,0.2485,0.3818,0.267,california
9,0.1499,0.2378,0.3586,0.2536,california
10,0.0955,0.154,0.2902,0.4603,california
11,0.1115,0.2569,0.4001,0.2316,california
12,0.1533,0.2999,0.3665,0.1802,california
13,0.2072,0.2977,0.3199,0.1752,california
14,0.1087,0.2159,0.3425,0.3329,california
15,0.0972,0.1547,0.2639,0.4842,california
16,0.0404,0.111,0.2319,0.6166,california
17,0.1193,0.126,0.1867,0.568,california
18,0.1635,0.1924,0.2614,0.3827,california
19,0.1014,0.1404,0.2371,0.5211,california
20,0.1274,0.228,0.2772,0.3673,california
21,0.2615,0.2936,0.3216,0.1232,california
22,0.0778,0.1506,0.2461,0.5255,california
23,0.1179,0.2179,0.3811,0.2832,california
24,0.0735,0.1082,0.1756,0.6427,california
25,0.093,0.1642,0.2228,0.52,california
26,0.2495,0.2853,0.3336,0.1316,california
27,0.2087,0.2108,0.2854,0.2951,california
28,0.0616,0.1305,0.2175,0.5905,california
29,0.0864,0.1606,0.3435,0.4096,california
30,0.2745,0.2425,0.3004,0.1826,california
31,0.3244,0.2615,0.3098,0.1043,california
32,0.34,0.3116,0.2667,0.0816,california
33,0.1758,0.3154,0.3795,0.1293,california
34,0.1472,0.2715,0.367,0.2143,california
35,0.1464,0.2162,0.386,0.2514,california
36,0.1939,0.2959,0.345,0.1651,california
37,0.1146,0.174,0.3616,0.3498,california
38,0.0923,0.1986,0.3582,0.351,california
39,0.2729,0.2541,0.2859,0.1871,california
40,0.1586,0.2478,0.3421,0.2515,california
41,0.0862,0.1691,0.3092,0.4356,california
42,0.1227,0.2663,0.367,0.244,california
43,0.1064,0.1829,0.2757,0.435,california
44,0.1522,0.1996,0.3252,0.3229,california
45,0.1233,0.1843,0.3066,0.3858,california
46,0.1678,0.1926,0.2813,0.3583,california
47,0.2409,0.3091,0.306,0.1439,california
48,0.1976,0.2738,0.317,0.2116,california
49,0.1986,0.2251,0.2474,0.3289,california
50,0.0476,0.1021,0.2168,0.6336,california
51,0.2766,0.209,0.2481,0.2663,california
52,0.2369,0.2648,0.3304,0.1679,california
53,0.3131,0.2224,0.2151,0.2495,california
54,0.1214,0.1516,0.2881,0.4389,california
55,0.0874,0.1846,0.3091,0.4189,california
