district,percent uninsured,state
1,18.3,alaska
2,8.1,alaska
3,11.0,alaska
4,8.2,alaska
5,14.1,alaska
6,19.8,alaska
7,15.6,alaska
8,21.4,alaska
9,15.2,alaska
10,22.0,alaska
11,13.3,alaska
12,13.7,alaska
13,8.7,alaska
14,7.9,alaska
15,14.7,alaska
16,13.3,alaska
17,17.4,alaska
18,21.3,alaska
19,20.8,alaska
20,16.4,alaska
21,14.6,alaska
22,17.1,alaska
23,20.5,alaska
24,8.7,alaska
25,16.1,alaska
26,14.3,alaska
27,15.1,alaska
28,8.0,alaska
29,20.7,alaska
30,17.5,alaska
31,21.4,alaska
32,24.0,alaska
33,14.6,alaska
34,12.2,alaska
35,21.6,alaska
36,18.1,alaska
37,30.5,alaska
38,25.3,alaska
39,27.0,alaska
40,27.7,alaska
1,14.1,arkansas
2,15.0,arkansas
3,14.7,arkansas
4,16.6,arkansas
5,12.6,arkansas
6,10.3,arkansas
7,14.0,arkansas
8,11.7,arkansas
9,13.2,arkansas
10,10.9,arkansas
11,11.7,arkansas
12,15.0,arkansas
13,11.2,arkansas
14,10.9,arkansas
15,9.0,arkansas
16,9.6,arkansas
17,13.3,arkansas
18,13.0,arkansas
19,14.4,arkansas
20,15.1,arkansas
21,10.5,arkansas
22,10.9,arkansas
23,7.1,arkansas
24,16.2,arkansas
25,15.6,arkansas
26,11.0,arkansas
27,8.3,arkansas
28,11.1,arkansas
29,19.5,arkansas
30,13.1,arkansas
31,8.0,arkansas
32,5.3,arkansas
33,12.2,arkansas
34,15.0,arkansas
35,9.0,arkansas
36,14.9,arkansas
37,13.7,arkansas
38,10.8,arkansas
39,8.4,arkansas
40,16.3,arkansas
41,8.1,arkansas
42,12.2,arkansas
43,8.0,arkansas
44,11.6,arkansas
45,14.7,arkansas
46,10.2,arkansas
47,15.9,arkansas
48,14.6,arkansas
49,11.8,arkansas
50,13.1,arkansas
51,10.4,arkansas
52,11.3,arkansas
53,13.3,arkansas
54,12.2,arkansas
55,15.5,arkansas
56,11.9,arkansas
57,11.6,arkansas
58,11.9,arkansas
59,17.3,arkansas
60,13.7,arkansas
61,12.4,arkansas
62,13.8,arkansas
63,13.2,arkansas
64,12.0,arkansas
65,10.6,arkansas
66,13.8,arkansas
67,8.6,arkansas
68,10.0,arkansas
69,12.6,arkansas
70,9.3,arkansas
