district,monthly housing costs - $499 or lower,monthly housing costs - $500 - 999,monthly housing costs - $1000 1999,monthly housing costs - $2000 or higher,monthly housing costs - median,state
65,42.099999999999994,36.9,14.7,0.7000000000000001,561.0,arkansas
66,37.6,38.6,16.8,2.9000000000000004,595.0,arkansas
67,21.0,36.5,36.099999999999994,5.2,890.0,arkansas
68,38.0,35.1,20.7,1.9000000000000001,630.0,arkansas
69,40.900000000000006,40.8,12.799999999999999,1.2000000000000002,577.0,arkansas
70,17.1,44.5,31.599999999999998,5.800000000000001,831.0,arkansas
71,29.8,51.599999999999994,13.4,3.0,653.0,arkansas
72,20.8,52.3,23.5,1.7,754.0,arkansas
73,39.2,39.5,12.0,3.0,578.0,arkansas
74,43.2,39.6,11.7,1.6,547.0,arkansas
75,36.3,39.3,20.0,1.9,667.0,arkansas
76,26.200000000000003,42.1,24.0,5.9,764.0,arkansas
77,30.400000000000002,48.0,17.6,2.4,677.0,arkansas
78,37.4,53.1,6.800000000000001,0.30000000000000004,588.0,arkansas
79,29.8,47.7,18.9,1.1,677.0,arkansas
80,31.8,37.4,23.4,4.4,720.0,arkansas
81,36.8,37.9,19.4,2.7,643.0,arkansas
82,44.9,38.1,10.9,1.1,529.0,arkansas
83,50.5,29.6,11.7,1.7000000000000002,465.0,arkansas
84,17.4,40.3,28.7,11.5,853.0,arkansas
85,17.5,46.599999999999994,27.1,6.3999999999999995,833.0,arkansas
86,16.6,54.5,25.0,2.2,756.0,arkansas
87,23.7,39.6,27.8,5.1,802.0,arkansas
88,19.5,52.5,21.1,5.7,776.0,arkansas
89,23.9,58.9,16.0,0.1,721.0,arkansas
90,12.4,34.1,41.3,9.9,1031.0,arkansas
91,15.6,35.2,37.1,9.399999999999999,972.0,arkansas
92,27.900000000000002,34.4,27.0,7.8999999999999995,830.0,arkansas
93,10.7,38.8,38.0,11.2,998.0,arkansas
94,21.0,51.7,23.0,2.1,749.0,arkansas
95,20.2,36.6,34.699999999999996,7.1000000000000005,893.0,arkansas
96,25.8,38.7,28.700000000000003,4.4,807.0,arkansas
97,36.3,33.3,22.5,5.3,665.0,arkansas
98,40.0,43.3,12.5,1.2,557.0,arkansas
99,43.3,41.8,10.6,1.2,549.0,arkansas
100,42.8,39.3,12.399999999999999,2.8,583.0,arkansas
1,18.6,29.4,35.5,14.6,1019.0,california
2,17.0,25.200000000000003,35.4,19.8,1153.0,california
3,17.7,33.9,36.1,10.3,958.0,california
4,12.2,21.200000000000003,39.5,25.099999999999998,1329.0,california
5,16.200000000000003,27.5,37.099999999999994,16.4,1094.0,california
6,7.0,16.9,38.099999999999994,37.1,1673.0,california
7,11.9,28.1,45.1,13.600000000000001,1159.0,california
8,10.7,31.5,42.099999999999994,14.5,1122.0,california
9,10.9,23.1,45.900000000000006,18.6,1289.0,california
10,8.1,13.7,34.5,42.2,1789.0,california
11,9.2,15.2,41.2,33.0,1629.0,california
12,11.7,25.1,44.2,16.5,1220.0,california
13,11.8,28.2,41.6,16.5,1161.0,california
14,9.5,15.2,42.8,31.400000000000002,1534.0,california
15,8.3,16.4,40.2,33.7,1573.0,california
16,5.0,9.899999999999999,25.0,59.3,2368.0,california
17,13.0,15.4,29.4,40.9,1700.0,california
18,10.7,19.9,43.0,24.9,1355.0,california
19,8.899999999999999,11.899999999999999,30.9,46.599999999999994,1924.0,california
20,9.1,12.5,38.8,38.5,1707.0,california
21,15.3,33.9,39.6,7.8999999999999995,989.0,california
22,6.4,9.9,29.8,52.8,2129.0,california
23,11.8,28.5,42.1,16.200000000000003,1158.0,california
24,6.5,10.3,29.5,52.5,2113.0,california
25,7.7,10.7,29.099999999999998,51.5,2054.0,california
26,18.7,36.3,34.1,8.1,915.0,california
27,8.4,13.100000000000001,35.9,41.6,1765.0,california
28,6.5,10.4,29.0,53.099999999999994,2145.0,california
29,8.4,15.7,32.400000000000006,42.2,1760.0,california
30,10.0,17.9,42.099999999999994,28.5,1439.0,california
31,18.3,42.7,31.9,4.5,858.0,california
32,17.8,40.7,34.5,4.7,885.0,california
33,14.0,29.0,46.6,8.2,1086.0,california
34,12.4,29.099999999999998,42.7,14.3,1139.0,california
35,12.0,21.6,41.9,22.900000000000002,1342.0,california
36,11.899999999999999,24.6,45.2,16.6,1231.0,california
37,9.899999999999999,14.799999999999999,38.0,35.699999999999996,1615.0,california
38,5.4,11.399999999999999,32.3,49.9,2013.0,california
39,7.9,19.0,42.8,28.9,1471.0,california
40,9.8,23.4,43.5,22.1,1307.0,california
41,8.0,14.100000000000001,39.900000000000006,36.7,1622.0,california
42,15.2,30.3,36.5,16.3,1069.0,california
43,6.1,16.2,47.3,29.1,1465.0,california
44,7.9,12.2,34.400000000000006,44.400000000000006,1865.0,california
45,4.7,14.100000000000001,38.3,41.4,1760.0,california
46,4.4,16.9,48.5,29.099999999999998,1456.0,california
47,11.8,22.5,47.6,17.0,1246.0,california
48,12.3,15.3,45.3,25.8,1444.0,california
49,11.0,19.4,42.5,24.700000000000003,1337.0,california
50,4.2,10.7,39.7,43.7,1857.0,california
51,10.600000000000001,26.9,43.1,17.7,1173.0,california
52,10.100000000000001,17.2,52.5,18.900000000000002,1378.0,california
53,10.7,35.3,41.2,11.399999999999999,1044.0,california
54,6.1,16.5,44.400000000000006,31.6,1533.0,california
55,7.300000000000001,13.5,34.5,43.7,1831.0,california
56,18.4,32.4,38.5,8.7,971.0,california
57,13.600000000000001,15.299999999999999,40.5,29.299999999999997,1496.0,california
58,11.7,17.5,46.1,23.299999999999997,1339.0,california
59,9.9,31.4,46.6,10.600000000000001,1113.0,california
60,8.2,15.6,44.1,30.9,1543.0,california
61,8.8,18.9,53.2,18.1,1345.0,california
62,7.2,19.9,42.2,29.5,1417.0,california
63,10.2,23.1,48.3,17.4,1253.0,california
64,12.7,22.8,46.2,16.799999999999997,1241.0,california
65,10.0,12.1,47.2,29.700000000000003,1488.0,california
66,8.8,13.7,34.9,41.4,1756.0,california
67,10.0,16.700000000000003,41.7,30.4,1541.0,california
68,6.6,9.2,35.3,47.900000000000006,1960.0,california
69,9.4,13.6,54.3,21.699999999999996,1423.0,california
70,8.3,22.2,43.6,24.9,1304.0,california
71,10.8,18.700000000000003,39.9,29.0,1405.0,california
72,13.9,13.8,39.400000000000006,31.599999999999998,1544.0,california
73,5.300000000000001,8.9,29.2,55.8,2211.0,california
74,6.5,11.0,34.8,46.5,1929.0,california
75,7.5,15.4,39.8,36.1,1631.0,california
76,7.6,12.5,40.3,38.7,1719.0,california
77,6.4,10.8,31.4,50.5,2028.0,california
78,6.699999999999999,15.700000000000001,44.2,32.2,1555.0,california
79,9.3,14.5,41.099999999999994,33.8,1598.0,california
80,12.7,23.9,46.5,15.5,1195.0,california
1,17.1,27.6,47.4,6.6000000000000005,1062.0,colorado
2,10.2,31.5,40.0,17.0,1134.0,colorado
3,9.7,25.3,43.8,19.8,1250.0,colorado
4,19.0,27.4,41.6,11.2,1057.0,colorado
5,16.9,23.9,44.8,13.1,1164.0,colorado
6,11.6,27.0,37.4,23.2,1238.0,colorado
7,7.300000000000001,15.899999999999999,60.3,15.899999999999999,1388.0,colorado
8,13.8,29.2,39.3,16.7,1119.0,colorado
9,10.6,34.1,44.2,10.2,1070.0,colorado
10,7.4,24.2,45.5,21.6,1314.0,colorado
11,14.3,23.6,45.0,15.6,1193.0,colorado
12,12.8,17.9,46.599999999999994,21.5,1407.0,colorado
13,13.5,22.1,38.7,24.0,1301.0,colorado
14,8.6,14.3,54.0,22.6,1478.0,colorado
15,11.0,14.399999999999999,64.4,9.5,1316.0,colorado
16,15.899999999999999,34.6,43.0,5.7,985.0,colorado
17,13.2,46.8,37.5,1.7,907.0,colorado
18,19.5,41.3,31.9,6.4,837.0,colorado
19,11.0,14.1,40.8,32.9,1610.0,colorado
20,13.5,24.8,41.9,18.900000000000002,1198.0,colorado
21,13.3,16.5,64.4,4.6000000000000005,1251.0,colorado
22,11.4,14.3,50.6,22.9,1494.0,colorado
23,13.8,31.9,43.0,10.600000000000001,1065.0,colorado
24,12.7,32.3,37.7,16.299999999999997,1089.0,colorado
25,9.3,15.5,38.8,35.6,1665.0,colorado
26,10.6,18.299999999999997,40.099999999999994,28.900000000000002,1435.0,colorado
27,13.8,20.7,42.3,22.5,1351.0,colorado
28,13.1,23.7,50.599999999999994,12.0,1200.0,colorado
29,14.7,16.799999999999997,58.7,9.2,1287.0,colorado
30,8.7,24.8,52.400000000000006,13.3,1276.0,colorado
31,10.5,16.4,62.6,9.5,1316.0,colorado
32,17.0,27.9,48.0,6.4,1070.0,colorado
33,8.3,14.1,49.6,27.2,1583.0,colorado
34,11.8,27.1,51.0,9.100000000000001,1137.0,colorado
35,10.8,23.700000000000003,53.099999999999994,11.6,1226.0,colorado
36,7.5,21.1,54.1,16.900000000000002,1390.0,colorado
37,5.8,12.5,49.7,31.0,1651.0,colorado
38,13.8,20.6,42.7,22.099999999999998,1350.0,colorado
39,9.6,16.9,34.6,37.9,1662.0,colorado
40,9.8,17.5,63.9,8.4,1303.0,colorado
41,10.8,28.8,53.8,5.8,1118.0,colorado
42,12.0,37.099999999999994,48.8,1.4000000000000001,1006.0,colorado
43,7.9,10.600000000000001,47.5,33.099999999999994,1698.0,colorado
44,3.7,11.4,51.099999999999994,32.9,1694.0,colorado
45,5.3,12.899999999999999,38.2,43.2,1841.0,colorado
46,24.8,35.9,34.6,3.5,835.0,colorado
47,24.4,38.3,32.0,3.5,824.0,colorado
48,15.4,20.4,52.3,10.200000000000001,1220.0,colorado
49,14.600000000000001,24.0,39.3,20.5,1275.0,colorado
50,19.8,41.1,34.9,2.5,843.0,colorado
51,18.200000000000003,24.9,46.1,9.5,1102.0,colorado
52,13.5,23.200000000000003,48.8,13.6,1208.0,colorado
53,10.7,27.0,52.0,9.6,1180.0,colorado
54,23.8,28.7,37.6,7.8,929.0,colorado
55,23.8,29.5,37.9,7.300000000000001,934.0,colorado
56,9.2,17.8,43.4,29.1,1483.0,colorado
57,18.200000000000003,24.9,38.5,17.0,1128.0,colorado
58,30.6,29.8,29.0,7.7,799.0,colorado
59,21.6,27.200000000000003,36.3,12.6,1002.0,colorado
60,29.7,28.1,32.8,7.4,844.0,colorado
61,16.9,24.799999999999997,36.9,18.7,1134.0,colorado
62,35.3,38.8,20.2,2.3,648.0,colorado
63,13.399999999999999,19.0,45.8,19.2,1338.0,colorado
64,28.9,29.5,24.9,12.8,784.0,colorado
65,32.3,35.4,25.4,3.3,695.0,colorado
1,16.0,46.6,29.7,6.5,894.0,connecticut
2,2.8,14.9,35.2,46.099999999999994,1873.0,connecticut
3,12.6,42.5,41.2,2.5,957.0,connecticut
4,12.2,39.9,42.9,4.3,978.0,connecticut
5,12.5,27.4,44.9,13.8,1166.0,connecticut
6,7.8,28.4,54.5,7.7,1138.0,connecticut
7,14.7,36.8,42.3,4.1,973.0,connecticut
8,3.1999999999999997,25.9,40.5,29.6,1541.0,connecticut
9,6.9,29.0,46.7,15.8,1215.0,connecticut
10,11.100000000000001,32.8,46.3,8.3,1078.0,connecticut
11,4.5,28.3,55.7,10.8,1279.0,connecticut
12,3.8000000000000003,25.4,59.300000000000004,9.700000000000001,1247.0,connecticut
13,4.4,22.799999999999997,45.7,25.400000000000002,1359.0,connecticut
14,1.6,20.700000000000003,41.599999999999994,34.4,1628.0,connecticut
15,5.2,21.3,46.3,26.0,1491.0,connecticut
16,2.6,14.299999999999999,36.2,46.2,1884.0,connecticut
17,1.4000000000000001,17.2,39.2,39.8,1747.0,connecticut
18,6.5,15.7,39.1,36.2,1547.0,connecticut
19,1.8,10.4,40.8,45.8,1881.0,connecticut
20,2.6,26.5,45.2,24.799999999999997,1380.0,connecticut
21,4.5,18.1,43.0,32.1,1553.0,connecticut
22,7.8,35.3,42.099999999999994,12.399999999999999,1098.0,connecticut
23,4.5,24.1,36.0,33.400000000000006,1556.0,connecticut
24,5.0,36.6,46.1,10.700000000000001,1099.0,connecticut
25,17.6,42.5,35.7,3.0999999999999996,895.0,connecticut
26,5.5,40.3,44.3,7.0,1035.0,connecticut
27,4.2,28.6,46.2,20.1,1306.0,connecticut
28,4.8,24.5,46.2,22.900000000000002,1440.0,connecticut
29,4.6,22.7,49.9,21.9,1322.0,connecticut
30,3.4000000000000004,26.3,39.3,29.7,1385.0,connecticut
31,1.7,18.4,35.3,43.2,1803.0,connecticut
32,5.1,24.3,40.0,29.9,1489.0,connecticut
33,5.7,25.5,50.6,16.9,1289.0,connecticut
34,3.7,22.5,39.8,32.699999999999996,1592.0,connecticut
35,4.5,19.4,40.400000000000006,34.6,1609.0,connecticut
36,4.1,22.700000000000003,36.2,34.1,1586.0,connecticut
37,4.5,24.1,42.5,27.9,1434.0,connecticut
38,5.9,26.9,41.6,22.599999999999998,1344.0,connecticut
39,14.2,37.9,41.7,3.6,970.0,connecticut
40,3.0,23.6,55.5,15.099999999999998,1356.0,connecticut
41,10.3,29.200000000000003,39.5,19.9,1175.0,connecticut
42,5.9,30.4,39.7,23.1,1269.0,connecticut
43,7.1,28.099999999999998,35.5,27.3,1337.0,connecticut
44,8.4,32.7,46.3,10.799999999999999,1161.0,connecticut
45,11.6,30.0,41.5,15.2,1152.0,connecticut
46,9.9,33.9,47.3,7.699999999999999,1071.0,connecticut
47,6.3,26.1,46.2,20.099999999999998,1358.0,connecticut
48,3.6,22.1,43.2,30.4,1507.0,connecticut
49,19.5,37.3,34.9,7.3,901.0,connecticut
50,6.7,29.099999999999998,40.9,21.4,1335.0,connecticut
51,11.0,32.7,43.6,11.5,1090.0,connecticut
52,4.7,29.4,42.5,20.9,1292.0,connecticut
53,4.1,24.2,41.7,28.7,1528.0,connecticut
54,4.7,34.599999999999994,38.900000000000006,19.7,1156.0,connecticut
55,2.7,20.7,36.5,39.2,1719.0,connecticut
56,5.7,36.0,47.5,9.799999999999999,1114.0,connecticut
57,2.5,26.4,43.8,27.1,1373.0,connecticut
58,5.2,33.5,50.8,9.6,1186.0,connecticut
59,5.300000000000001,26.6,53.400000000000006,13.899999999999999,1360.0,connecticut
60,6.6,24.4,47.3,20.7,1353.0,connecticut
61,2.4,23.200000000000003,39.3,33.4,1613.0,connecticut
62,3.9,23.3,39.5,32.699999999999996,1610.0,connecticut
63,5.0,34.2,47.5,12.5,1163.0,connecticut
64,6.2,27.5,40.3,22.4,1318.0,connecticut
65,9.3,41.0,41.5,6.3,988.0,connecticut
66,3.7,23.9,37.6,33.2,1441.0,connecticut
67,4.3,22.1,39.1,33.6,1543.0,connecticut
68,3.8,32.3,35.9,25.700000000000003,1382.0,connecticut
69,3.2,18.2,39.8,36.9,1626.0,connecticut
70,4.9,28.5,45.5,19.4,1288.0,connecticut
71,3.7,29.9,45.1,20.4,1262.0,connecticut
72,10.399999999999999,41.7,40.2,6.3,976.0,connecticut
73,6.4,31.5,50.1,10.6,1168.0,connecticut
74,10.399999999999999,37.3,43.4,7.1000000000000005,1017.0,connecticut
75,20.0,46.8,27.5,3.2,816.0,connecticut
76,4.3999999999999995,25.2,39.1,30.700000000000003,1494.0,connecticut
77,8.9,31.1,44.2,14.7,1156.0,connecticut
78,4.5,25.8,45.3,24.1,1438.0,connecticut
79,8.3,35.5,43.400000000000006,10.1,1100.0,connecticut
80,4.8,23.1,39.7,30.7,1587.0,connecticut
81,6.8,30.1,40.2,21.799999999999997,1235.0,connecticut
82,3.4,29.9,47.099999999999994,17.4,1299.0,connecticut
83,2.9000000000000004,32.8,46.599999999999994,16.9,1241.0,connecticut
84,11.0,41.8,39.3,3.8,954.0,connecticut
85,3.4,28.8,47.7,17.7,1233.0,connecticut
86,2.9000000000000004,21.8,33.8,40.1,1701.0,connecticut
87,2.0999999999999996,23.9,36.2,36.400000000000006,1630.0,connecticut
88,3.0999999999999996,14.0,50.9,31.1,1571.0,connecticut
89,2.3,20.6,37.0,39.5,1674.0,connecticut
90,3.9,24.4,39.7,29.5,1436.0,connecticut
91,5.1,14.7,52.6,27.1,1457.0,connecticut
92,9.2,21.6,53.6,14.0,1212.0,connecticut
93,17.7,25.9,46.4,8.6,1073.0,connecticut
94,6.0,22.5,57.199999999999996,12.6,1236.0,connecticut
95,15.899999999999999,24.8,51.8,6.200000000000001,1104.0,connecticut
96,3.2,16.4,59.4,19.8,1427.0,connecticut
97,11.3,29.799999999999997,42.8,14.1,1143.0,connecticut
98,3.1,16.5,37.099999999999994,42.1,1816.0,connecticut
99,6.1000000000000005,22.299999999999997,46.6,23.0,1381.0,connecticut
100,7.6,28.2,44.5,17.1,1188.0,connecticut
101,3.2,16.1,29.799999999999997,49.0,1997.0,connecticut
102,2.6,23.4,51.8,20.7,1342.0,connecticut
103,4.3,22.8,40.2,31.0,1524.0,connecticut
104,6.300000000000001,32.3,42.5,17.599999999999998,1149.0,connecticut
105,3.9,27.299999999999997,39.0,28.7,1424.0,connecticut
106,2.0,13.399999999999999,29.200000000000003,54.9,2174.0,connecticut
107,2.3,17.1,32.6,46.199999999999996,1897.0,connecticut
108,2.5,16.0,36.2,44.5,1845.0,connecticut
109,3.4,19.0,48.1,28.200000000000003,1519.0,connecticut
110,11.0,22.200000000000003,51.8,14.100000000000001,1315.0,connecticut
111,2.9,6.8,23.700000000000003,65.9,2558.0,connecticut
112,1.9,13.8,28.700000000000003,53.9,2160.0,connecticut
113,3.0,23.5,36.6,35.4,1585.0,connecticut
114,0.7,17.4,35.8,44.4,1852.0,connecticut
115,3.6,23.3,54.9,16.5,1234.0,connecticut
116,6.0,24.6,55.8,12.799999999999999,1245.0,connecticut
117,3.5999999999999996,19.3,39.9,36.800000000000004,1688.0,connecticut
118,6.1,16.4,52.5,24.299999999999997,1524.0,connecticut
119,1.9000000000000001,16.3,36.1,44.2,1877.0,connecticut
120,2.7,18.3,37.9,39.9,1749.0,connecticut
121,6.699999999999999,22.1,49.2,21.3,1406.0,connecticut
122,4.0,19.5,34.0,41.4,1678.0,connecticut
123,2.3,8.4,29.900000000000002,58.3,2284.0,connecticut
124,10.6,30.3,49.9,7.999999999999999,1103.0,connecticut
125,1.6,4.3,22.6,68.9,3076.0,connecticut
126,4.5,20.8,45.8,27.3,1464.0,connecticut
127,4.0,14.399999999999999,58.300000000000004,22.2,1473.0,connecticut
128,7.4,28.1,53.9,9.1,1135.0,connecticut
129,7.5,23.8,47.6,19.7,1289.0,connecticut
130,16.5,25.8,47.800000000000004,8.6,1081.0,connecticut
131,4.0,26.8,34.0,32.6,1386.0,connecticut
132,2.0999999999999996,8.8,26.5,61.599999999999994,2508.0,connecticut
133,2.5,12.9,34.7,48.2,1970.0,connecticut
134,0.7,9.8,22.4,64.80000000000001,2584.0,connecticut
135,1.8,5.1,22.3,69.7,3152.0,connecticut
136,1.2,5.3,22.6,69.8,3181.0,connecticut
137,5.0,13.2,42.2,38.0,1681.0,connecticut
138,2.8000000000000003,16.1,37.3,42.0,1818.0,connecticut
139,6.3,30.9,48.0,13.8,1194.0,connecticut
140,7.8,17.8,49.599999999999994,24.299999999999997,1486.0,connecticut
141,2.4000000000000004,5.8,14.4,76.6,3382.0,connecticut
142,0.5,12.5,29.2,57.0,2273.0,connecticut
143,0.8,7.6,26.200000000000003,64.5,2551.0,connecticut
144,1.4,10.2,31.0,56.1,2271.0,connecticut
145,10.100000000000001,14.6,41.7,31.6,1615.0,connecticut
146,3.0,7.4,44.2,44.5,1849.0,connecticut
147,1.1,6.3,29.700000000000003,62.0,2458.0,connecticut
148,2.4,15.0,45.8,35.9,1712.0,connecticut
149,1.0,8.2,21.9,65.9,2786.0,connecticut
150,5.4,10.9,31.1,51.5,2081.0,connecticut
151,1.0,8.899999999999999,27.700000000000003,60.3,2632.0,connecticut
1,18.3,30.1,44.3,5.0,1006.0,delaware
2,23.6,38.5,34.1,3.1,856.0,delaware
3,15.200000000000001,36.7,43.2,2.1,964.0,delaware
4,9.0,26.3,40.0,23.599999999999998,1198.0,delaware
5,10.4,19.4,59.900000000000006,10.0,1213.0,delaware
6,12.9,24.8,39.8,21.0,1297.0,delaware
7,15.3,25.4,47.5,10.2,1154.0,delaware
8,9.0,17.7,48.7,23.9,1475.0,delaware
9,12.1,15.6,34.5,37.2,1681.0,delaware
10,14.0,28.0,39.4,17.700000000000003,1112.0,delaware
11,17.3,22.799999999999997,39.8,17.2,1146.0,delaware
12,8.200000000000001,22.700000000000003,34.8,33.0,1561.0,delaware
13,18.1,25.4,51.9,3.4,1074.0,delaware
14,18.5,27.7,31.9,18.1,1052.0,delaware
15,9.200000000000001,16.1,51.6,22.4,1422.0,delaware
16,17.9,27.299999999999997,48.800000000000004,4.6000000000000005,1053.0,delaware
17,15.9,28.099999999999998,45.6,9.7,1090.0,delaware
18,11.4,26.9,56.599999999999994,3.9,1106.0,delaware
19,21.4,28.1,43.6,5.8999999999999995,1000.0,delaware
20,21.3,23.8,39.3,14.999999999999998,1092.0,delaware
21,13.600000000000001,21.9,52.099999999999994,11.8,1230.0,delaware
22,10.0,22.5,35.5,31.900000000000002,1562.0,delaware
23,16.2,24.5,41.3,18.0,1155.0,delaware
24,16.7,28.5,48.8,5.3,1066.0,delaware
25,12.4,24.9,45.7,15.1,1205.0,delaware
26,10.8,19.5,56.400000000000006,12.8,1298.0,delaware
27,7.8999999999999995,13.0,53.0,25.500000000000004,1527.0,delaware
28,20.0,30.8,42.0,6.199999999999999,983.0,delaware
