district,earnings $1 - $24'999,earnings $25'000 - 49'999,earnings $50'000 - 74'999,earnings $75'000 or more,state,median earnings
1,0.1792,0.4074,0.2382,0.1752,alaska,30518
2,0.2422,0.3664,0.2042,0.1872,alaska,31519
3,0.103,0.32,0.327,0.25,alaska,38923
4,0.09,0.256,0.24,0.414,alaska,45965
5,0.087,0.33,0.22,0.363,alaska,36468
6,0.167,0.343,0.28,0.21,alaska,32357
7,0.1431,0.3473,0.2432,0.2663,alaska,34188
8,0.1251,0.2803,0.2983,0.2963,alaska,40538
9,0.1373,0.2415,0.2715,0.3497,alaska,36941
10,0.1459,0.2887,0.2757,0.2897,alaska,33636
11,0.117,0.302,0.272,0.309,alaska,37851
12,0.121,0.27,0.258,0.351,alaska,43469
13,0.234,0.353,0.223,0.19,alaska,35007
14,0.078,0.279,0.271,0.372,alaska,47818
15,0.28,0.388,0.217,0.115,alaska,29651
16,0.094,0.397,0.287,0.222,alaska,40009
17,0.1662,0.4084,0.2122,0.2132,alaska,35165
18,0.1568,0.4366,0.1948,0.2118,alaska,34150
19,0.235,0.5,0.157,0.108,alaska,27396
20,0.158,0.362,0.228,0.252,alaska,33991
21,0.1039,0.2867,0.2947,0.3147,alaska,45050
22,0.1,0.3,0.284,0.316,alaska,45633
23,0.1618,0.3536,0.2458,0.2388,alaska,35825
24,0.093,0.247,0.286,0.374,alaska,50014
25,0.0829,0.3127,0.2937,0.3107,alaska,44742
26,0.101,0.267,0.237,0.395,alaska,48568
27,0.077,0.352,0.297,0.274,alaska,41065
28,0.045,0.1728,0.2238,0.5584,alaska,59635
29,0.105,0.329,0.249,0.317,alaska,35572
30,0.136,0.325,0.251,0.288,alaska,36925
31,0.14,0.4,0.223,0.237,alaska,31721
32,0.13,0.372,0.272,0.226,alaska,33735
33,0.1112,0.3447,0.2675,0.2766,alaska,39144
34,0.092,0.307,0.312,0.289,alaska,44199
35,0.1449,0.3437,0.2727,0.2388,alaska,33186
36,0.149,0.388,0.257,0.206,alaska,32498
37,0.27,0.324,0.227,0.179,alaska,28867
38,0.158,0.346,0.215,0.281,alaska,19962
39,0.2412,0.3233,0.2452,0.1902,alaska,19342
40,0.1277,0.2226,0.2176,0.4321,alaska,42202
1,0.289,0.433,0.171,0.107,arkansas,25670
2,0.266,0.403,0.198,0.133,arkansas,25451
3,0.4002,0.3792,0.1627,0.0579,arkansas,22189
4,0.351,0.425,0.145,0.079,arkansas,24260
5,0.3574,0.4304,0.1341,0.0781,arkansas,22012
6,0.2078,0.4016,0.2268,0.1638,arkansas,30050
7,0.2787,0.4276,0.1738,0.1199,arkansas,26842
8,0.3137,0.4066,0.1818,0.0979,arkansas,26634
9,0.299,0.449,0.16,0.092,arkansas,23526
10,0.2448,0.3766,0.2228,0.1558,arkansas,31792
11,0.347,0.442,0.149,0.062,arkansas,23123
12,0.3816,0.3886,0.1518,0.0779,arkansas,22784
13,0.2793,0.4745,0.1542,0.0921,arkansas,26606
14,0.2198,0.4675,0.1888,0.1239,arkansas,30797
15,0.2072,0.4444,0.2012,0.1471,arkansas,30358
16,0.256,0.433,0.182,0.129,arkansas,28608
17,0.337,0.472,0.134,0.057,arkansas,19037
18,0.2675,0.4311,0.2006,0.1008,arkansas,21093
19,0.316,0.43,0.166,0.088,arkansas,25300
20,0.3423,0.4344,0.1411,0.0821,arkansas,22574
21,0.3157,0.4116,0.1708,0.1019,arkansas,24070
22,0.2673,0.4034,0.2142,0.1151,arkansas,24721
23,0.2028,0.3696,0.2448,0.1828,arkansas,36192
24,0.3177,0.3956,0.1868,0.0999,arkansas,23299
25,0.331,0.356,0.176,0.137,arkansas,21473
26,0.297,0.438,0.164,0.101,arkansas,24858
27,0.23,0.451,0.215,0.104,arkansas,29398
28,0.2248,0.4186,0.2298,0.1269,arkansas,30040
29,0.3417,0.4575,0.1399,0.0609,arkansas,24464
30,0.2933,0.3904,0.2062,0.1101,arkansas,30254
31,0.1219,0.3417,0.2178,0.3187,arkansas,40747
32,0.132,0.264,0.188,0.416,arkansas,45033
33,0.241,0.366,0.202,0.191,arkansas,30451
34,0.285,0.432,0.201,0.082,arkansas,26456
35,0.1678,0.3337,0.2268,0.2717,arkansas,40563
36,0.3566,0.4416,0.1528,0.049,arkansas,22882
37,0.3173,0.4755,0.1401,0.0671,arkansas,23332
38,0.214,0.405,0.212,0.169,arkansas,34123
39,0.174,0.415,0.206,0.205,arkansas,37277
40,0.2398,0.4076,0.2258,0.1269,arkansas,29185
41,0.179,0.423,0.23,0.168,arkansas,33941
42,0.282,0.458,0.17,0.09,arkansas,26390
43,0.1812,0.3724,0.2973,0.1491,arkansas,36397
44,0.2006,0.4212,0.2545,0.1238,arkansas,31346
45,0.2757,0.3956,0.1958,0.1329,arkansas,28600
46,0.3017,0.3666,0.1788,0.1528,arkansas,20289
47,0.331,0.411,0.147,0.111,arkansas,22610
48,0.439,0.377,0.125,0.059,arkansas,20494
49,0.2597,0.4296,0.1998,0.1109,arkansas,28039
50,0.3403,0.3644,0.1972,0.0981,arkansas,24585
51,0.1978,0.4486,0.2438,0.1099,arkansas,31966
52,0.2523,0.4985,0.1642,0.0851,arkansas,26102
53,0.2843,0.4134,0.1922,0.1101,arkansas,25786
54,0.264,0.441,0.183,0.112,arkansas,26513
55,0.368,0.401,0.132,0.099,arkansas,21420
56,0.2973,0.4705,0.1642,0.0681,arkansas,24731
