district,earnings $1 - $24'999,earnings $25'000 - 49'999,earnings $50'000 - 74'999,earnings $75'000 or more,state,median earnings
57,0.248,0.451,0.204,0.097,arkansas,26902
58,0.2697,0.3766,0.1658,0.1878,arkansas,26368
59,0.2983,0.4374,0.1702,0.0941,arkansas,23512
60,0.3347,0.4505,0.1528,0.0619,arkansas,23490
61,0.3236,0.4449,0.1273,0.1042,arkansas,23902
62,0.341,0.468,0.129,0.062,arkansas,21614
63,0.3193,0.4064,0.1562,0.1181,arkansas,24231
64,0.2993,0.4374,0.1612,0.1021,arkansas,25698
65,0.2565,0.4082,0.2086,0.1267,arkansas,27453
66,0.2557,0.4316,0.1868,0.1259,arkansas,26760
67,0.1752,0.4124,0.2462,0.1662,arkansas,34597
68,0.3223,0.3694,0.1772,0.1311,arkansas,24950
69,0.35,0.438,0.122,0.09,arkansas,24491
70,0.232,0.38,0.198,0.19,arkansas,27221
71,0.384,0.386,0.154,0.076,arkansas,17681
72,0.3457,0.3936,0.1439,0.1169,arkansas,21144
73,0.325,0.447,0.146,0.082,arkansas,26045
74,0.3213,0.4094,0.1602,0.1091,arkansas,24493
75,0.2713,0.3954,0.2182,0.1151,arkansas,28608
76,0.226,0.385,0.192,0.197,arkansas,28352
77,0.363,0.357,0.164,0.116,arkansas,23380
78,0.4565,0.4324,0.0841,0.027,arkansas,20137
79,0.302,0.426,0.167,0.105,arkansas,25976
80,0.198,0.468,0.193,0.141,arkansas,30972
81,0.2088,0.4835,0.2208,0.0869,arkansas,30213
82,0.256,0.461,0.181,0.102,arkansas,26396
83,0.3566,0.4066,0.1568,0.0799,arkansas,22399
84,0.152,0.357,0.217,0.274,arkansas,36172
85,0.2128,0.3986,0.2108,0.1778,arkansas,26784
86,0.3073,0.3824,0.1772,0.1331,arkansas,20098
87,0.2032,0.4545,0.2022,0.1401,arkansas,29735
88,0.25,0.416,0.151,0.183,arkansas,27484
89,0.409,0.474,0.086,0.031,arkansas,22519
90,0.1898,0.3826,0.1758,0.2517,arkansas,35854
91,0.1722,0.3764,0.1892,0.2623,arkansas,37097
92,0.195,0.388,0.196,0.221,arkansas,32404
93,0.1459,0.2967,0.2328,0.3247,arkansas,44099
94,0.311,0.412,0.15,0.127,arkansas,26393
95,0.226,0.378,0.203,0.193,arkansas,32606
96,0.2517,0.4795,0.1359,0.1329,arkansas,28023
97,0.2697,0.3746,0.2138,0.1419,arkansas,25882
98,0.2957,0.4505,0.1658,0.0879,arkansas,24295
99,0.384,0.47,0.101,0.045,arkansas,21038
100,0.3097,0.4535,0.1269,0.1099,arkansas,23110
1,0.201,0.359,0.215,0.225,california,28306
2,0.2102,0.3554,0.2102,0.2242,california,26642
3,0.2242,0.3924,0.2002,0.1832,california,25413
4,0.1802,0.3233,0.2232,0.2733,california,29183
5,0.196,0.35,0.218,0.236,california,27490
6,0.101,0.226,0.225,0.448,california,46477
7,0.1908,0.3526,0.2298,0.2268,california,31407
8,0.189,0.355,0.232,0.224,california,30825
9,0.179,0.35,0.238,0.233,california,31643
10,0.132,0.256,0.201,0.411,california,40251
11,0.148,0.301,0.244,0.307,california,36163
12,0.1748,0.3556,0.2348,0.2348,california,31177
13,0.203,0.378,0.21,0.209,california,27570
14,0.136,0.287,0.236,0.341,california,37682
15,0.1331,0.2683,0.2222,0.3764,california,37255
16,0.0599,0.1479,0.1738,0.6184,california,64986
17,0.1081,0.2172,0.1882,0.4865,california,51312
18,0.1882,0.3173,0.2152,0.2793,california,32201
19,0.1039,0.2517,0.2398,0.4046,california,46280
20,0.125,0.304,0.237,0.334,california,41332
21,0.257,0.405,0.196,0.142,california,23938
22,0.102,0.223,0.191,0.484,california,50754
23,0.196,0.325,0.233,0.246,california,30975
24,0.087,0.172,0.142,0.599,california,60631
25,0.091,0.241,0.198,0.47,california,50586
26,0.278,0.388,0.184,0.15,california,23072
27,0.1912,0.3273,0.2012,0.2803,california,31593
28,0.082,0.173,0.173,0.572,california,60723
29,0.15,0.265,0.211,0.374,california,35834
30,0.2623,0.3423,0.1822,0.2132,california,25125
31,0.351,0.4,0.148,0.101,california,19663
32,0.378,0.389,0.143,0.09,california,20741
33,0.243,0.358,0.223,0.176,california,27128
34,0.1928,0.3097,0.2288,0.2687,california,32412
35,0.222,0.353,0.205,0.22,california,26720
36,0.1908,0.3736,0.2148,0.2208,california,32584
37,0.188,0.32,0.208,0.284,california,30325
38,0.1171,0.2603,0.2252,0.3974,california,41730
39,0.2933,0.3894,0.1802,0.1371,california,25874
40,0.2048,0.3347,0.2118,0.2488,california,30499
41,0.1502,0.2623,0.2102,0.3774,california,39849
42,0.2288,0.3347,0.2118,0.2248,california,27960
43,0.184,0.299,0.206,0.311,california,35545
44,0.1982,0.2963,0.1802,0.3253,california,31565
45,0.1968,0.3017,0.1948,0.3067,california,34142
46,0.2448,0.3257,0.1848,0.2448,california,30049
47,0.2595,0.4198,0.1914,0.1293,california,25876
48,0.2565,0.3808,0.1934,0.1693,california,27131
49,0.262,0.336,0.182,0.22,california,30232
50,0.11,0.21,0.211,0.469,california,50204
51,0.3437,0.3516,0.1558,0.1489,california,23841
52,0.2903,0.3864,0.1882,0.1351,california,25302
53,0.487,0.306,0.106,0.101,california,20568
54,0.1934,0.3056,0.1994,0.3016,california,32175
55,0.1481,0.2853,0.2172,0.3493,california,39946
56,0.3127,0.3856,0.1688,0.1329,california,22285
57,0.2308,0.3726,0.2108,0.1858,california,31004
58,0.2587,0.3866,0.1908,0.1638,california,29311
59,0.525,0.35,0.086,0.039,california,17959
60,0.2112,0.3483,0.2172,0.2232,california,30915
61,0.2305,0.3882,0.2116,0.1697,california,27043
62,0.2192,0.3353,0.1932,0.2523,california,30902
63,0.327,0.397,0.168,0.108,california,24293
64,0.3577,0.3868,0.1533,0.1022,california,22444
65,0.215,0.354,0.209,0.222,california,30503
66,0.1139,0.2438,0.2058,0.4366,california,47242
67,0.1742,0.3173,0.2302,0.2783,california,31923
68,0.1467,0.2495,0.2006,0.4032,california,41704
69,0.3654,0.3954,0.1411,0.0981,california,23174
70,0.2,0.311,0.216,0.273,california,32402
71,0.181,0.352,0.223,0.244,california,31650
72,0.2018,0.3257,0.2018,0.2707,california,31075
73,0.105,0.205,0.199,0.491,california,49846
74,0.1021,0.2302,0.2132,0.4545,california,47111
75,0.1878,0.3377,0.2008,0.2737,california,31218
76,0.2216,0.3204,0.1727,0.2854,california,31739
77,0.1071,0.2362,0.2082,0.4484,california,47952
78,0.1421,0.2923,0.2302,0.3353,california,40244
79,0.1868,0.3497,0.2378,0.2258,california,31789
80,0.334,0.385,0.169,0.112,california,23962
1,0.216,0.449,0.201,0.134,colorado,30739
2,0.11,0.333,0.256,0.301,colorado,40666
3,0.162,0.333,0.204,0.301,colorado,35893
4,0.191,0.351,0.218,0.24,colorado,34413
5,0.2042,0.3594,0.2082,0.2282,colorado,32517
6,0.1179,0.2817,0.2008,0.3996,colorado,43606
7,0.169,0.396,0.227,0.208,colorado,33005
8,0.132,0.345,0.241,0.282,colorado,38159
9,0.1562,0.3884,0.2332,0.2222,colorado,35201
10,0.147,0.294,0.205,0.354,colorado,26464
11,0.153,0.337,0.208,0.302,colorado,32824
12,0.1211,0.2953,0.1922,0.3914,colorado,36720
13,0.145,0.317,0.202,0.336,colorado,31149
14,0.096,0.317,0.234,0.353,colorado,41304
15,0.135,0.39,0.248,0.227,colorado,36992
16,0.205,0.426,0.215,0.154,colorado,26247
17,0.3126,0.4659,0.1573,0.0641,colorado,23880
18,0.2232,0.4204,0.1932,0.1632,colorado,26396
19,0.119,0.261,0.228,0.392,colorado,41349
20,0.2365,0.2896,0.1964,0.2776,colorado,31984
21,0.228,0.45,0.214,0.108,colorado,30263
22,0.0839,0.2807,0.2587,0.3766,colorado,44682
23,0.1648,0.3876,0.2288,0.2188,colorado,33940
24,0.1341,0.3654,0.2292,0.2713,colorado,33546
25,0.085,0.243,0.23,0.442,colorado,48948
26,0.165,0.418,0.226,0.191,colorado,33636
27,0.1021,0.3003,0.2573,0.3403,colorado,42249
28,0.1528,0.3956,0.2208,0.2308,colorado,35915
29,0.1159,0.3856,0.2667,0.2318,colorado,37210
30,0.1948,0.4086,0.2288,0.1678,colorado,31073
31,0.1598,0.4136,0.2537,0.1728,colorado,35190
32,0.2318,0.4845,0.1918,0.0919,colorado,27665
33,0.0989,0.2547,0.2278,0.4186,colorado,45893
34,0.1992,0.4284,0.2192,0.1532,colorado,30510
35,0.159,0.388,0.227,0.226,colorado,35076
36,0.1419,0.3756,0.2687,0.2138,colorado,36500
37,0.0858,0.2465,0.2485,0.4192,colorado,49734
38,0.099,0.287,0.235,0.379,colorado,42154
39,0.0981,0.2312,0.2192,0.4515,colorado,46480
40,0.1491,0.4234,0.2513,0.1762,colorado,35500
41,0.1718,0.4476,0.2268,0.1538,colorado,31489
42,0.29,0.485,0.163,0.062,colorado,24333
43,0.072,0.2,0.247,0.481,colorado,54094
44,0.0771,0.2492,0.2462,0.4274,colorado,51061
45,0.076,0.22,0.222,0.482,colorado,51237
46,0.2172,0.4074,0.2302,0.1451,colorado,27559
47,0.227,0.425,0.204,0.144,colorado,26912
48,0.132,0.387,0.261,0.22,colorado,36586
49,0.12,0.341,0.242,0.297,colorado,36791
50,0.257,0.469,0.188,0.086,colorado,22452
51,0.164,0.404,0.219,0.213,colorado,31987
52,0.171,0.333,0.223,0.273,colorado,30921
53,0.2252,0.3654,0.2072,0.2022,colorado,19970
54,0.221,0.37,0.225,0.184,colorado,28769
55,0.186,0.417,0.222,0.175,colorado,26225
56,0.1359,0.3227,0.2408,0.3007,colorado,40419
57,0.1728,0.3966,0.2408,0.1898,colorado,33299
58,0.2382,0.4294,0.2222,0.1101,colorado,26322
59,0.2128,0.3926,0.2358,0.1588,colorado,27351
60,0.252,0.371,0.211,0.166,colorado,26878
61,0.198,0.43,0.181,0.191,colorado,31126
62,0.2903,0.4354,0.1732,0.1011,colorado,21706
63,0.1447,0.3483,0.2395,0.2675,colorado,38008
64,0.222,0.371,0.21,0.197,colorado,28744
65,0.241,0.467,0.18,0.112,colorado,26939
1,0.1898,0.4805,0.1888,0.1409,connecticut,26286
2,0.112,0.235,0.219,0.434,connecticut,48203
3,0.2994,0.4711,0.1487,0.0808,connecticut,22436
4,0.253,0.389,0.205,0.153,connecticut,22137
5,0.1712,0.4164,0.2683,0.1441,connecticut,31030
6,0.2342,0.4835,0.1832,0.0991,connecticut,26780
7,0.2248,0.4925,0.1339,0.1489,connecticut,23208
8,0.0788,0.2784,0.2754,0.3673,connecticut,47380
9,0.0821,0.4565,0.2382,0.2232,connecticut,36354
10,0.1449,0.4565,0.2537,0.1449,connecticut,32710
11,0.141,0.325,0.31,0.224,connecticut,34011
12,0.1198,0.3832,0.2764,0.2206,connecticut,38380
13,0.0949,0.2597,0.2527,0.3926,connecticut,43655
14,0.0529,0.2038,0.2448,0.4985,connecticut,53899
15,0.073,0.371,0.274,0.282,connecticut,39868
16,0.048,0.187,0.207,0.558,connecticut,54658
17,0.061,0.167,0.218,0.554,connecticut,57022
18,0.068,0.198,0.243,0.491,connecticut,52212
19,0.0569,0.1389,0.1878,0.6164,connecticut,64158
20,0.104,0.32,0.27,0.306,connecticut,41559
21,0.0641,0.2295,0.2214,0.485,connecticut,51517
22,0.1188,0.3663,0.2904,0.2246,connecticut,39517
23,0.088,0.273,0.223,0.416,connecticut,44217
24,0.152,0.431,0.252,0.165,connecticut,31493
25,0.285,0.491,0.156,0.068,connecticut,25183
26,0.1702,0.4274,0.2613,0.1411,connecticut,32383
27,0.0959,0.2767,0.3127,0.3147,connecticut,45512
28,0.0801,0.2743,0.2773,0.3684,connecticut,44659
29,0.0599,0.2108,0.2967,0.4326,connecticut,51958
30,0.05,0.253,0.285,0.412,connecticut,52374
31,0.049,0.15,0.165,0.636,connecticut,62080
32,0.0509,0.2567,0.2717,0.4206,connecticut,50547
33,0.049,0.301,0.305,0.345,connecticut,39720
34,0.0969,0.2168,0.3117,0.3746,connecticut,50979
35,0.1078,0.2575,0.2545,0.3802,connecticut,41866
36,0.1001,0.2042,0.2563,0.4394,connecticut,46975
37,0.074,0.221,0.263,0.442,connecticut,45394
38,0.1149,0.2777,0.2328,0.3746,connecticut,40953
39,0.308,0.418,0.147,0.127,connecticut,19372
40,0.2182,0.3063,0.2452,0.2302,connecticut,31389
41,0.1618,0.3117,0.2398,0.2867,connecticut,34661
42,0.0941,0.3043,0.2813,0.3203,connecticut,37551
43,0.0951,0.3053,0.2322,0.3674,connecticut,41149
44,0.126,0.425,0.282,0.167,connecticut,33903
45,0.1469,0.3467,0.2797,0.2268,connecticut,35433
46,0.201,0.395,0.254,0.15,connecticut,30672
47,0.115,0.311,0.296,0.278,connecticut,38596
48,0.0919,0.2547,0.2757,0.3776,connecticut,43040
49,0.256,0.45,0.219,0.075,connecticut,17547
50,0.065,0.327,0.292,0.316,connecticut,40150
51,0.137,0.408,0.261,0.194,connecticut,32734
52,0.113,0.312,0.256,0.319,connecticut,36255
53,0.0759,0.2408,0.2807,0.4026,connecticut,43296
54,0.193,0.244,0.234,0.329,connecticut,5095
55,0.048,0.2092,0.2713,0.4715,connecticut,52088
56,0.1201,0.3774,0.2903,0.2122,connecticut,38102
57,0.0629,0.2967,0.2977,0.3427,connecticut,46433
58,0.086,0.373,0.311,0.23,connecticut,37860
59,0.105,0.315,0.291,0.289,connecticut,36803
60,0.0719,0.2977,0.3087,0.3217,connecticut,46085
61,0.0801,0.2392,0.2763,0.4044,connecticut,45810
62,0.0699,0.2338,0.1988,0.4975,connecticut,50100
63,0.122,0.345,0.275,0.258,connecticut,36198
64,0.1259,0.2837,0.3017,0.2887,connecticut,40174
65,0.1411,0.4825,0.2533,0.1231,connecticut,31904
66,0.065,0.245,0.302,0.388,connecticut,46343
67,0.124,0.315,0.223,0.338,connecticut,37762
68,0.0749,0.3107,0.2967,0.3177,connecticut,44729
69,0.0842,0.2114,0.2134,0.491,connecticut,47458
70,0.0949,0.3067,0.3197,0.2787,connecticut,40402
71,0.128,0.326,0.275,0.271,connecticut,36235
72,0.2392,0.4424,0.2052,0.1131,connecticut,25998
73,0.1359,0.3826,0.2907,0.1908,connecticut,32286
74,0.1281,0.4755,0.2733,0.1231,connecticut,31626
75,0.3457,0.4535,0.1269,0.0739,connecticut,21362
76,0.075,0.276,0.275,0.374,connecticut,45993
77,0.102,0.328,0.315,0.255,connecticut,40901
78,0.094,0.346,0.272,0.288,connecticut,41096
79,0.1081,0.4384,0.2703,0.1832,connecticut,39581
80,0.0749,0.2877,0.2957,0.3417,connecticut,43989
81,0.0759,0.2737,0.2987,0.3516,connecticut,46375
82,0.088,0.309,0.29,0.313,connecticut,44688
83,0.101,0.357,0.32,0.222,connecticut,43475
84,0.135,0.527,0.249,0.089,connecticut,33189
85,0.079,0.362,0.314,0.245,connecticut,42286
86,0.0881,0.2472,0.2813,0.3834,connecticut,48134
87,0.0791,0.2803,0.2793,0.3614,connecticut,43554
88,0.0671,0.2563,0.3033,0.3734,connecticut,35117
89,0.059,0.222,0.251,0.468,connecticut,51739
90,0.072,0.239,0.3,0.389,connecticut,50932
91,0.0709,0.2987,0.3157,0.3147,connecticut,45084
92,0.167,0.359,0.231,0.243,connecticut,31330
93,0.263,0.404,0.187,0.146,connecticut,14496
94,0.1411,0.4374,0.2452,0.1762,connecticut,27298
95,0.3447,0.4286,0.1489,0.0779,connecticut,21297
96,0.1139,0.3327,0.2557,0.2977,connecticut,38337
97,0.217,0.399,0.273,0.111,connecticut,31041
98,0.047,0.231,0.249,0.473,connecticut,49865
99,0.0979,0.3836,0.2707,0.2478,connecticut,40259
100,0.091,0.347,0.286,0.276,connecticut,40449
101,0.0669,0.2008,0.1968,0.5355,connecticut,55326
102,0.0699,0.2877,0.3367,0.3057,connecticut,45809
103,0.0649,0.2188,0.2947,0.4216,connecticut,49738
104,0.1828,0.4086,0.2398,0.1688,connecticut,31504
105,0.077,0.249,0.28,0.394,connecticut,46317
106,0.0539,0.1758,0.1858,0.5844,connecticut,54359
107,0.0851,0.2022,0.2382,0.4745,connecticut,47079
108,0.086,0.268,0.22,0.426,connecticut,43250
109,0.1542,0.3383,0.2543,0.2533,connecticut,31401
110,0.2843,0.4374,0.1431,0.1351,connecticut,25906
111,0.0561,0.1542,0.1572,0.6326,connecticut,62287
112,0.04,0.1888,0.1958,0.5754,connecticut,57213
113,0.0521,0.2923,0.2432,0.4124,connecticut,45527
114,0.0739,0.2208,0.2657,0.4396,connecticut,52265
115,0.1537,0.4222,0.2555,0.1687,connecticut,30738
116,0.218,0.462,0.216,0.104,connecticut,22498
117,0.0808,0.2675,0.3144,0.3373,connecticut,43153
118,0.0799,0.2597,0.3077,0.3526,connecticut,46781
119,0.064,0.209,0.25,0.477,connecticut,53108
120,0.105,0.243,0.308,0.344,connecticut,44612
121,0.127,0.387,0.266,0.22,connecticut,35860
122,0.056,0.234,0.275,0.435,connecticut,51311
123,0.0619,0.1708,0.2198,0.5475,connecticut,54585
124,0.272,0.466,0.184,0.078,connecticut,24380
125,0.039,0.099,0.124,0.738,connecticut,83142
126,0.203,0.378,0.245,0.174,connecticut,28753
127,0.146,0.366,0.297,0.191,connecticut,30150
128,0.3606,0.4715,0.1219,0.046,connecticut,20377
129,0.198,0.39,0.228,0.184,connecticut,31318
130,0.292,0.423,0.185,0.1,connecticut,21057
131,0.0839,0.3047,0.2368,0.3746,connecticut,42369
132,0.064,0.14,0.156,0.64,connecticut,64159
133,0.0711,0.2022,0.2392,0.4875,connecticut,38107
134,0.0569,0.1678,0.1548,0.6204,connecticut,52304
135,0.031,0.145,0.146,0.678,connecticut,63555
136,0.0521,0.1221,0.1061,0.7197,connecticut,73901
137,0.105,0.296,0.23,0.369,connecticut,42342
138,0.1011,0.2803,0.2232,0.3954,connecticut,39299
139,0.1389,0.3337,0.3097,0.2178,connecticut,32885
140,0.2288,0.3716,0.2278,0.1718,connecticut,27401
141,0.046,0.1119,0.1369,0.7053,connecticut,66835
142,0.0629,0.2338,0.1858,0.5175,connecticut,53362
143,0.0731,0.1662,0.1702,0.5906,connecticut,55808
144,0.095,0.214,0.207,0.484,connecticut,51587
145,0.1982,0.3894,0.2162,0.1962,connecticut,27216
146,0.098,0.213,0.257,0.432,connecticut,51224
147,0.0671,0.1363,0.1713,0.6253,connecticut,62109
148,0.2192,0.3594,0.1962,0.2252,connecticut,28261
149,0.0571,0.1231,0.1542,0.6657,connecticut,71838
150,0.098,0.228,0.157,0.517,connecticut,47206
151,0.042,0.113,0.162,0.683,connecticut,72935
1,0.201,0.426,0.193,0.18,delaware,30185
2,0.2827,0.4356,0.1728,0.1089,delaware,24882
3,0.2398,0.4575,0.1858,0.1169,delaware,25948
4,0.0641,0.2573,0.2482,0.4304,delaware,50721
5,0.171,0.384,0.262,0.183,delaware,34468
6,0.1148,0.2365,0.2824,0.3663,delaware,47148
7,0.117,0.345,0.249,0.289,delaware,41246
8,0.109,0.305,0.246,0.34,delaware,41902
9,0.0699,0.2637,0.2827,0.3836,delaware,46904
10,0.0821,0.3383,0.2823,0.2973,delaware,40561
11,0.135,0.375,0.298,0.192,delaware,35187
12,0.066,0.2,0.227,0.507,delaware,58625
13,0.172,0.452,0.233,0.143,delaware,33178
14,0.1562,0.3353,0.2102,0.2983,delaware,32500
15,0.086,0.365,0.238,0.311,delaware,40405
16,0.1878,0.4476,0.2328,0.1319,delaware,30182
17,0.1688,0.4226,0.2587,0.1499,delaware,33864
18,0.112,0.455,0.228,0.205,delaware,35950
19,0.157,0.407,0.262,0.174,delaware,32447
20,0.148,0.374,0.228,0.25,delaware,35365
21,0.0829,0.3107,0.2957,0.3107,delaware,42281
22,0.062,0.206,0.222,0.51,delaware,57629
23,0.118,0.317,0.215,0.35,delaware,21321
24,0.1742,0.4154,0.2442,0.1662,delaware,31268
25,0.1633,0.3126,0.2505,0.2735,delaware,21959
26,0.1449,0.3367,0.2368,0.2817,delaware,36049
27,0.082,0.33,0.215,0.373,delaware,43913
28,0.1948,0.4356,0.2378,0.1319,delaware,30355
29,0.1121,0.3894,0.3183,0.1802,delaware,39622
30,0.18,0.431,0.245,0.144,delaware,32414
31,0.2168,0.4016,0.2298,0.1518,delaware,21053
32,0.2412,0.4635,0.1962,0.0991,delaware,26200
33,0.1732,0.3844,0.2673,0.1752,delaware,34327
34,0.16,0.426,0.252,0.162,delaware,31250
35,0.2252,0.4795,0.1872,0.1081,delaware,27167
36,0.198,0.459,0.207,0.136,delaware,31144
37,0.2847,0.4066,0.1958,0.1129,delaware,25924
38,0.1772,0.3774,0.2332,0.2122,delaware,30967
39,0.1832,0.4695,0.1922,0.1552,delaware,30165
40,0.241,0.45,0.218,0.091,delaware,29560
41,0.262,0.41,0.203,0.125,delaware,26691
1,0.2092,0.4975,0.1852,0.1081,florida,27451
2,0.2613,0.4204,0.1572,0.1612,florida,25893
3,0.196,0.401,0.219,0.184,florida,30962
4,0.2282,0.3864,0.1982,0.1872,florida,29574
5,0.292,0.428,0.167,0.113,florida,25388
6,0.246,0.42,0.187,0.147,florida,26527
7,0.2452,0.4935,0.1762,0.0851,florida,27214
8,0.299,0.494,0.142,0.065,florida,18736
9,0.1351,0.3694,0.2432,0.2523,florida,35601
10,0.2573,0.4444,0.1832,0.1151,florida,26158
11,0.202,0.35,0.224,0.224,florida,34491
12,0.175,0.43,0.217,0.178,florida,33756
13,0.2967,0.4645,0.1439,0.0949,florida,24379
14,0.2723,0.4695,0.1762,0.0821,florida,26042
15,0.2192,0.4585,0.1922,0.1301,florida,30113
16,0.1588,0.3836,0.2118,0.2458,florida,35531
17,0.1289,0.3207,0.2038,0.3467,florida,38124
18,0.177,0.384,0.234,0.205,florida,31767
19,0.301,0.424,0.187,0.088,florida,25444
20,0.2927,0.4356,0.1608,0.1109,florida,21733
21,0.198,0.371,0.206,0.225,florida,27126
22,0.2917,0.4276,0.1698,0.1109,florida,25123
23,0.282,0.444,0.163,0.111,florida,25502
24,0.2715,0.4212,0.1687,0.1387,florida,25769
25,0.2208,0.3936,0.2138,0.1718,florida,28194
26,0.3087,0.4336,0.1538,0.1039,florida,23756
27,0.2533,0.4915,0.1712,0.0841,florida,27056
28,0.1653,0.3888,0.1954,0.2505,florida,32210
29,0.1816,0.3543,0.2036,0.2605,florida,33661
30,0.194,0.411,0.204,0.191,florida,31221
31,0.239,0.402,0.186,0.173,florida,28926
