district,under 20,20 to 34,35 to 49,50 to 64,65 and over,median age,state
22,24.32,12.84,19.52,26.15,17.17,45.9,delaware
23,25.56,31.47,12.93,13.67,16.36,28.0,delaware
24,24.05,25.33,15.43,19.12,16.08,35.6,delaware
25,27.8,34.28,10.52,15.86,11.54,26.6,delaware
26,24.62,27.52,21.01,17.71,9.14,33.7,delaware
27,26.69,17.2,21.91,21.76,12.45,39.2,delaware
28,26.89,18.44,20.19,17.76,16.72,38.1,delaware
29,24.61,17.38,18.8,20.13,19.08,42.3,delaware
30,25.16,18.98,14.66,23.9,17.31,40.9,delaware
31,24.39,29.36,15.21,14.05,16.99,31.9,delaware
32,29.28,25.91,17.44,14.33,13.04,31.9,delaware
33,23.08,16.94,16.32,22.5,21.17,44.1,delaware
34,27.15,19.7,17.77,18.08,17.31,36.9,delaware
35,25.28,16.22,18.4,20.78,19.31,42.4,delaware
36,26.16,17.79,17.22,19.73,19.09,40.5,delaware
37,20.34,15.42,15.75,18.45,30.04,47.8,delaware
38,11.58,10.39,8.98,26.43,42.62,62.1,delaware
39,24.42,17.13,16.85,21.68,19.92,41.9,delaware
40,27.62,16.37,16.48,22.07,17.46,40.6,delaware
41,22.92,16.0,17.97,19.61,23.51,44.4,delaware
1,23.21,22.26,17.25,19.72,17.56,38.6,florida
2,25.57,22.07,16.11,19.44,16.81,37.1,florida
3,24.61,19.07,19.74,20.91,15.68,39.7,florida
4,23.87,24.15,17.57,18.79,15.62,36.4,florida
5,21.75,17.95,19.55,21.67,19.08,42.7,florida
6,23.0,20.2,18.12,20.93,17.75,40.5,florida
7,20.7,18.83,19.84,21.87,18.76,43.3,florida
8,23.88,35.68,15.56,14.49,10.38,27.9,florida
9,25.0,21.84,17.39,18.18,17.59,37.8,florida
10,23.95,18.46,19.0,20.32,18.27,40.8,florida
11,21.34,19.01,18.44,22.04,19.17,42.9,florida
12,25.37,24.94,20.38,17.17,12.14,34.8,florida
13,25.71,23.3,17.95,18.83,14.21,35.7,florida
14,27.54,20.91,18.1,19.35,14.11,36.3,florida
15,25.43,23.46,19.43,19.45,12.23,35.7,florida
16,22.36,23.67,18.47,19.23,16.28,37.9,florida
17,25.13,14.83,20.73,20.44,18.87,42.5,florida
18,26.35,18.45,20.25,20.37,14.59,38.8,florida
19,22.43,17.86,17.4,21.51,20.81,43.3,florida
20,20.87,32.04,16.33,17.19,13.57,33.1,florida
21,24.78,24.77,16.31,16.95,17.19,35.4,florida
22,18.7,13.41,14.4,20.69,32.79,53.3,florida
23,23.4,18.2,16.5,19.3,22.61,43.3,florida
24,18.27,13.32,15.06,23.04,30.32,52.4,florida
25,16.5,15.03,14.16,24.19,30.12,53.5,florida
26,21.73,19.89,18.0,19.79,20.58,42.0,florida
27,22.25,18.18,17.27,21.01,21.29,43.2,florida
28,23.75,21.34,19.64,21.04,14.24,38.9,florida
29,23.51,18.35,21.28,20.08,16.77,40.4,florida
30,21.35,24.58,20.67,18.3,15.09,37.4,florida
31,22.44,16.09,17.96,21.16,22.35,44.6,florida
32,22.62,16.6,18.75,18.59,23.45,44.1,florida
33,10.35,8.67,9.11,18.05,53.82,66.6,florida
34,16.31,12.29,13.08,22.56,35.77,56.3,florida
35,20.53,15.42,15.99,20.79,27.27,48.4,florida
36,19.3,16.05,17.07,22.37,25.2,47.5,florida
37,23.86,15.7,19.96,20.21,20.28,43.5,florida
38,23.37,16.87,19.0,18.09,22.66,42.9,florida
39,24.21,19.85,19.42,18.36,18.16,39.8,florida
40,25.08,19.53,18.16,18.12,19.1,39.0,florida
41,23.64,17.39,17.34,18.65,22.97,42.3,florida
42,26.96,17.65,19.83,18.59,16.97,39.2,florida
43,26.6,22.52,21.38,16.46,13.04,35.4,florida
44,25.94,21.9,23.22,18.06,10.87,36.3,florida
45,27.67,22.22,20.22,18.3,11.59,35.1,florida
46,26.5,28.22,20.63,15.15,9.5,32.3,florida
47,18.88,25.79,21.04,19.32,14.96,37.8,florida
48,23.97,23.51,21.79,18.06,12.67,36.5,florida
49,25.55,31.53,16.33,15.46,11.13,29.5,florida
50,24.98,19.39,21.42,19.08,15.12,38.8,florida
51,18.46,15.65,17.84,25.23,22.82,48.4,florida
52,20.87,16.05,16.32,22.61,24.15,47.4,florida
53,21.9,17.46,15.68,21.81,23.16,44.9,florida
54,17.56,13.09,14.35,22.06,32.94,54.3,florida
55,20.12,14.93,15.29,18.79,30.87,49.7,florida
56,25.76,21.82,17.29,17.18,17.94,37.1,florida
57,26.5,16.35,20.91,17.8,18.44,39.7,florida
58,25.9,22.41,19.06,18.9,13.74,36.1,florida
59,23.48,22.9,20.67,19.69,13.26,37.5,florida
60,22.75,22.37,21.01,19.71,14.17,38.3,florida
61,27.1,25.02,19.0,16.32,12.56,33.7,florida
62,21.59,22.84,22.99,19.23,13.34,38.4,florida
63,25.52,24.96,19.48,17.23,12.81,34.7,florida
64,23.04,16.25,20.07,22.78,17.87,43.8,florida
65,16.71,12.95,16.27,23.95,30.12,53.0,florida
66,18.21,14.43,16.07,23.64,27.64,50.9,florida
67,18.94,18.75,17.68,21.61,23.01,45.5,florida
68,17.87,21.56,19.24,21.75,19.59,43.0,florida
69,15.61,14.96,16.05,25.49,27.88,52.5,florida
70,24.93,20.85,18.14,18.75,17.33,38.4,florida
71,16.65,14.84,13.78,21.81,32.92,53.9,florida
72,16.45,14.1,15.05,22.26,32.14,53.5,florida
73,19.59,12.93,16.6,21.81,29.06,50.7,florida
74,14.69,10.61,12.09,20.98,41.63,59.9,florida
75,13.49,11.27,12.09,23.05,40.1,59.5,florida
76,12.89,11.84,12.17,20.4,42.69,60.5,florida
77,19.34,15.11,17.72,23.22,24.62,48.3,florida
78,20.85,17.91,16.36,18.67,26.2,45.1,florida
79,24.59,18.08,17.05,18.17,22.11,41.4,florida
80,25.19,17.07,16.93,18.96,21.85,41.9,florida
81,24.15,14.68,18.73,19.33,23.1,44.5,florida
82,19.35,14.92,15.58,22.11,28.04,50.1,florida
83,22.27,15.77,17.83,21.18,22.95,45.4,florida
84,20.66,16.43,16.07,19.55,27.3,47.3,florida
85,19.24,15.68,17.92,23.39,23.78,48.0,florida
86,25.36,17.46,18.59,19.73,18.87,40.8,florida
87,27.42,23.48,21.69,16.58,10.83,34.4,florida
88,23.2,23.94,18.34,19.81,14.71,36.8,florida
89,16.04,16.06,15.89,21.74,30.27,52.0,florida
90,21.58,17.83,18.79,19.04,22.76,43.4,florida
91,12.45,9.92,11.91,17.34,48.39,63.8,florida
92,23.17,21.67,19.32,18.67,17.16,39.0,florida
93,13.43,14.82,17.43,27.24,27.08,52.4,florida
94,25.58,22.44,19.54,19.56,12.88,36.3,florida
95,25.74,20.66,19.4,18.67,15.53,37.8,florida
96,25.1,16.2,20.76,20.47,17.47,41.4,florida
97,24.21,17.92,20.78,20.65,16.44,40.2,florida
98,22.35,20.1,19.97,20.34,17.24,40.7,florida
99,25.41,20.71,20.72,19.05,14.1,37.9,florida
100,17.56,15.56,20.1,22.79,23.99,47.6,florida
101,24.28,22.56,20.46,19.25,13.44,37.2,florida
102,23.0,20.94,21.59,18.81,15.67,39.4,florida
103,23.79,18.63,23.24,20.58,13.75,40.0,florida
104,25.87,14.43,20.46,22.43,16.82,43.5,florida
105,24.7,19.76,21.92,19.91,13.72,39.1,florida
106,12.32,10.28,12.04,20.23,45.12,62.0,florida
107,25.7,22.17,20.02,18.1,14.01,36.4,florida
108,26.0,21.86,20.02,17.75,14.37,36.4,florida
109,23.83,24.5,20.07,18.75,12.85,36.2,florida
110,20.03,18.64,22.24,20.14,18.95,43.2,florida
111,17.72,18.88,20.0,22.34,21.07,45.4,florida
112,18.39,21.87,21.66,20.02,18.06,42.0,florida
113,17.02,23.25,23.71,20.05,15.96,40.8,florida
114,23.62,18.67,19.88,19.66,18.16,41.2,florida
115,22.03,20.29,18.76,21.48,17.45,41.1,florida
116,19.15,20.31,20.81,20.37,19.36,43.4,florida
117,31.61,20.3,21.63,16.26,10.21,33.5,florida
118,21.6,18.68,20.92,20.47,18.33,42.4,florida
119,22.68,19.56,21.59,20.35,15.82,41.0,florida
120,23.97,19.29,19.87,20.97,15.9,39.9,florida
1,23.6,16.27,18.9,22.16,19.06,43.4,georgia
2,25.78,18.59,18.68,19.32,17.63,39.9,georgia
3,24.29,18.6,19.7,19.47,17.94,40.7,georgia
4,28.69,21.72,19.87,17.46,12.26,34.7,georgia
5,25.77,18.94,20.85,19.44,15.01,39.2,georgia
6,29.16,18.09,19.04,19.13,14.56,36.6,georgia
7,18.83,13.92,15.91,23.27,28.06,50.8,georgia
8,17.7,14.32,14.16,22.6,31.22,53.0,georgia
9,24.16,21.56,17.36,20.55,16.38,39.1,georgia
10,24.13,18.52,18.65,19.36,19.35,41.2,georgia
11,25.06,16.87,18.19,20.92,18.96,42.3,georgia
12,25.72,18.9,18.43,19.34,17.61,39.3,georgia
13,26.82,19.75,19.18,18.29,15.96,37.7,georgia
14,26.17,17.27,19.09,21.09,16.37,40.9,georgia
15,27.07,21.36,19.7,19.82,12.05,36.3,georgia
16,26.85,19.41,18.85,19.12,15.77,38.2,georgia
17,28.5,19.74,22.97,17.48,11.31,36.0,georgia
18,26.24,22.18,17.86,18.52,15.19,36.1,georgia
19,27.99,19.83,20.28,20.55,11.36,36.4,georgia
20,26.53,18.5,22.32,20.14,12.51,38.4,georgia
21,28.02,17.66,22.27,19.43,12.61,38.3,georgia
22,29.39,14.35,24.24,19.87,12.15,39.1,georgia
23,24.75,20.3,19.91,19.87,15.17,38.8,georgia
24,28.25,15.75,25.04,18.02,12.94,39.2,georgia
25,31.88,10.71,27.77,19.19,10.45,39.7,georgia
26,29.53,16.08,21.05,20.01,13.33,38.8,georgia
27,24.97,17.23,19.99,21.29,16.53,40.8,georgia
28,25.48,18.36,17.83,19.46,18.87,41.0,georgia
29,28.64,20.92,18.51,15.68,16.24,35.4,georgia
30,28.15,21.9,18.28,19.12,12.56,35.0,georgia
31,27.96,18.39,21.39,18.16,14.1,37.9,georgia
32,23.45,18.32,17.08,21.02,20.13,42.5,georgia
33,23.56,16.62,17.82,21.64,20.37,43.1,georgia
34,27.3,22.63,18.2,18.5,13.36,35.0,georgia
35,29.39,20.7,19.94,19.38,10.59,34.9,georgia
36,28.38,12.26,22.09,23.79,13.49,42.7,georgia
37,24.85,19.72,21.96,19.37,14.1,38.6,georgia
38,25.93,19.59,19.89,21.17,13.42,38.6,georgia
39,30.07,21.7,23.25,17.06,7.93,34.2,georgia
40,20.77,23.94,23.62,17.4,14.27,37.2,georgia
41,29.34,21.06,22.13,17.59,9.88,34.7,georgia
42,24.03,36.0,22.35,11.93,5.68,30.5,georgia
43,20.81,24.91,20.09,18.83,15.36,37.5,georgia
44,24.06,21.74,20.83,20.44,12.92,38.4,georgia
45,25.4,11.58,23.46,21.76,17.81,43.6,georgia
46,27.86,15.02,21.17,20.38,15.57,39.2,georgia
47,29.48,12.57,24.2,22.4,11.35,40.5,georgia
48,27.11,19.08,21.54,19.83,12.45,37.8,georgia
49,27.19,14.59,24.54,23.89,9.79,40.5,georgia
50,28.92,12.83,25.78,22.68,9.79,41.0,georgia
51,24.35,19.45,21.69,20.76,13.74,38.1,georgia
52,23.88,20.59,21.41,18.34,15.78,38.9,georgia
53,26.85,24.27,20.09,15.75,13.04,34.2,georgia
54,16.66,34.29,19.82,15.21,14.02,34.5,georgia
55,19.49,28.57,20.7,16.91,14.33,36.5,georgia
56,22.84,41.19,14.19,13.76,8.02,27.0,georgia
57,20.1,30.35,20.95,18.8,9.8,34.6,georgia
58,19.73,37.25,19.41,13.14,10.47,31.9,georgia
59,24.32,27.54,23.57,14.85,9.72,34.2,georgia
60,27.42,25.76,18.0,17.78,11.04,33.0,georgia
61,26.16,22.27,23.24,17.36,10.96,36.2,georgia
62,27.76,19.15,22.32,20.09,10.67,37.3,georgia
63,26.26,19.93,20.7,18.5,14.62,38.2,georgia
64,27.25,19.58,20.62,17.01,15.55,37.6,georgia
65,31.95,19.92,22.03,16.48,9.62,34.0,georgia
66,29.93,19.11,19.68,19.06,12.22,35.6,georgia
67,28.23,17.39,23.26,19.63,11.48,38.2,georgia
68,28.73,19.95,22.08,17.59,11.65,35.6,georgia
69,26.13,20.64,17.42,19.55,16.26,37.5,georgia
70,26.48,18.71,20.49,19.21,15.1,38.6,georgia
71,27.18,15.35,21.03,22.41,14.03,41.1,georgia
72,27.28,13.05,19.94,22.23,17.5,42.6,georgia
73,26.1,17.64,20.08,20.49,15.7,39.3,georgia
74,31.84,23.86,18.09,15.74,10.46,30.6,georgia
75,31.5,23.81,19.38,17.23,8.08,31.7,georgia
76,26.9,18.03,20.84,21.41,12.83,39.2,georgia
77,32.01,24.23,19.26,17.36,7.14,30.5,georgia
78,28.38,20.8,23.14,18.23,9.45,35.8,georgia
79,27.65,20.08,23.35,15.37,13.55,36.2,georgia
80,21.1,28.23,22.78,16.11,11.78,35.3,georgia
81,27.76,23.09,22.12,14.84,12.18,34.5,georgia
82,22.67,31.69,19.15,15.73,10.75,32.4,georgia
83,28.4,19.18,22.01,17.2,13.2,36.5,georgia
84,23.38,20.14,19.01,20.35,17.12,39.9,georgia
85,26.48,24.53,21.17,17.2,10.62,34.4,georgia
86,26.51,21.89,20.52,19.48,11.59,36.1,georgia
87,25.49,22.04,20.77,17.81,13.89,36.6,georgia
88,23.71,21.9,19.09,21.88,13.43,37.8,georgia
89,19.9,27.95,22.77,17.14,12.24,36.2,georgia
90,25.19,17.15,18.98,23.2,15.48,41.4,georgia
91,27.92,19.65,20.66,18.64,13.13,37.1,georgia
92,27.76,23.78,20.29,17.57,10.6,33.6,georgia
93,28.34,17.43,22.7,22.12,9.41,37.9,georgia
94,27.2,21.36,19.36,21.92,10.15,35.8,georgia
95,24.07,22.05,20.26,20.89,12.72,37.8,georgia
96,30.09,22.17,23.73,16.34,7.66,33.3,georgia
97,27.9,16.59,22.05,23.78,9.68,39.5,georgia
98,31.11,17.47,23.12,16.68,11.61,36.0,georgia
99,29.33,29.0,20.83,15.2,5.63,30.6,georgia
100,32.99,25.15,20.5,13.71,7.66,30.2,georgia
101,30.33,16.74,23.2,18.05,11.68,36.6,georgia
102,28.04,20.2,21.49,20.92,9.35,36.1,georgia
103,29.27,15.7,22.8,18.37,13.85,38.9,georgia
104,33.78,16.36,23.14,18.77,7.96,34.9,georgia
105,30.35,19.94,19.85,20.43,9.43,34.8,georgia
106,27.58,17.94,21.4,20.53,12.54,37.9,georgia
107,30.5,18.16,23.5,18.91,8.93,35.8,georgia
108,28.63,18.57,20.99,18.08,13.73,37.0,georgia
109,29.05,16.34,21.64,20.84,12.14,38.5,georgia
110,30.04,20.64,18.72,17.86,12.73,34.6,georgia
111,27.83,19.2,21.53,18.21,13.23,37.3,georgia
112,26.33,16.76,19.25,19.44,18.21,40.5,georgia
113,30.12,20.82,19.88,19.66,9.52,34.4,georgia
114,31.34,17.71,21.85,18.17,10.92,35.5,georgia
115,26.63,18.02,18.36,19.98,17.02,39.6,georgia
116,27.05,19.96,21.04,18.09,13.87,37.3,georgia
117,26.53,25.76,16.84,16.79,14.08,32.9,georgia
118,28.6,29.83,17.43,14.11,10.02,29.0,georgia
119,24.32,31.13,17.43,15.33,11.79,30.2,georgia
120,23.94,14.02,16.97,21.27,23.79,45.8,georgia
121,28.82,20.62,20.5,16.38,13.67,35.3,georgia
122,28.28,18.17,21.05,19.47,13.04,38.2,georgia
123,22.26,22.04,18.48,19.4,17.82,39.7,georgia
124,23.34,25.18,17.37,19.0,15.11,35.7,georgia
125,31.09,20.02,17.34,17.56,13.99,34.0,georgia
126,27.02,20.39,17.95,21.2,13.44,37.0,georgia
127,25.56,29.24,15.6,17.86,11.74,31.8,georgia
128,21.16,18.97,18.52,21.24,20.11,43.0,georgia
129,23.98,18.03,21.23,19.44,17.32,40.5,georgia
130,26.76,19.8,17.88,18.49,17.06,37.9,georgia
131,25.65,19.0,18.33,19.98,17.03,40.5,georgia
132,27.65,22.2,18.62,19.24,12.29,35.1,georgia
133,25.66,17.86,17.81,21.35,17.32,40.2,georgia
134,25.07,23.82,20.25,16.17,14.69,35.8,georgia
135,28.46,24.24,17.14,17.59,12.57,33.3,georgia
136,28.35,23.44,16.96,17.83,13.42,33.8,georgia
137,26.56,18.73,18.67,19.84,16.2,38.5,georgia
138,27.84,25.51,15.72,17.12,13.8,32.1,georgia
139,23.06,19.95,18.6,20.57,17.82,40.0,georgia
140,25.37,16.75,17.53,21.99,18.37,43.3,georgia
141,25.37,19.83,17.26,20.67,16.88,40.0,georgia
142,29.1,20.21,17.16,18.46,15.07,35.5,georgia
143,26.82,23.94,15.83,18.15,15.26,34.4,georgia
144,27.24,17.17,17.99,21.05,16.55,39.8,georgia
145,24.84,22.29,15.81,19.95,17.1,37.3,georgia
146,28.52,20.36,19.65,20.14,11.33,35.6,georgia
147,26.65,24.59,19.81,16.2,12.75,34.0,georgia
148,24.69,18.46,18.74,20.08,18.04,40.3,georgia
149,22.92,20.61,19.91,19.07,17.49,40.1,georgia
150,27.06,17.97,18.43,19.49,17.05,39.1,georgia
151,24.03,18.16,18.12,20.03,19.66,40.8,georgia
152,26.79,17.92,19.09,20.04,16.17,39.5,georgia
153,28.56,23.28,16.38,16.73,15.05,33.7,georgia
154,24.03,18.79,17.43,20.35,19.4,41.7,georgia
155,26.54,18.26,17.77,19.91,17.52,39.2,georgia
156,28.32,17.89,18.32,19.63,15.84,37.9,georgia
157,25.52,20.8,19.96,18.44,15.28,37.8,georgia
158,26.05,20.33,17.99,18.81,16.82,38.0,georgia
159,26.62,20.52,17.93,20.63,14.3,37.4,georgia
160,31.19,29.86,16.68,12.56,9.72,26.5,georgia
161,26.42,22.02,21.53,18.85,11.17,35.8,georgia
162,24.01,28.97,16.37,17.84,12.8,33.2,georgia
163,26.25,28.78,16.02,14.93,14.01,31.4,georgia
164,29.88,25.47,20.73,14.34,9.59,31.3,georgia
165,24.03,24.7,16.86,19.06,15.34,35.9,georgia
166,24.07,14.25,18.77,19.34,23.57,44.3,georgia
167,26.29,16.3,17.98,20.77,18.66,40.1,georgia
168,28.7,27.3,17.02,16.13,10.85,31.3,georgia
169,28.16,19.1,20.61,18.02,14.12,37.2,georgia
170,28.39,18.53,18.1,18.28,16.69,37.3,georgia
171,25.72,18.77,18.81,20.08,16.63,38.8,georgia
172,29.02,18.17,20.09,18.45,14.26,37.1,georgia
173,26.61,19.62,16.91,19.05,17.81,37.7,georgia
174,26.77,20.7,17.94,20.26,14.33,37.6,georgia
175,25.66,19.32,18.39,19.0,17.62,39.4,georgia
176,27.77,22.77,18.11,17.5,13.85,34.6,georgia
177,27.89,32.2,15.39,13.44,11.09,28.2,georgia
178,26.61,17.21,19.85,19.85,16.48,39.5,georgia
179,22.92,19.85,18.07,19.4,19.76,42.0,georgia
180,27.2,23.02,17.87,17.81,14.11,34.5,georgia
1,24.41,16.06,18.56,19.56,21.41,42.2,hawaii
2,23.58,21.13,15.42,18.16,21.72,40.1,hawaii
3,22.42,16.55,15.98,23.11,21.94,45.7,hawaii
4,23.18,15.89,18.4,23.76,18.76,43.8,hawaii
5,23.39,13.23,18.45,21.68,23.25,46.1,hawaii
9,25.68,17.95,20.48,17.84,18.06,40.1,hawaii
10,22.59,18.48,21.78,20.21,16.95,40.9,hawaii
11,20.7,16.79,20.18,21.97,20.37,44.4,hawaii
13,22.34,17.34,19.34,21.05,19.93,43.7,hawaii
14,21.81,13.63,21.5,21.43,21.63,44.9,hawaii
15,22.02,18.4,18.61,21.62,19.36,42.4,hawaii
16,27.12,18.18,16.73,18.54,19.43,39.7,hawaii
17,23.33,12.38,18.07,21.62,24.6,47.0,hawaii
18,18.72,11.92,18.52,21.7,29.14,50.4,hawaii
19,17.49,16.63,17.91,20.65,27.33,48.1,hawaii
20,17.04,22.79,17.36,20.49,22.31,43.1,hawaii
22,11.11,23.77,22.07,20.35,22.7,44.0,hawaii
24,14.13,22.6,18.29,21.14,23.84,44.8,hawaii
30,29.64,30.22,20.8,11.64,7.69,29.1,hawaii
33,16.24,20.49,16.76,20.75,25.75,47.6,hawaii
34,19.83,18.34,19.04,18.56,24.22,44.1,hawaii
35,21.71,27.62,17.75,13.78,19.15,35.3,hawaii
36,26.09,19.19,20.23,21.52,12.97,39.6,hawaii
37,19.79,21.85,17.0,20.68,20.67,41.4,hawaii
39,25.87,22.11,19.47,19.78,12.76,36.4,hawaii
40,29.13,23.62,20.97,15.73,10.55,33.4,hawaii
41,28.81,22.01,23.75,14.74,10.69,34.5,hawaii
43,31.69,21.17,20.55,14.84,11.75,33.3,hawaii
44,33.07,19.07,17.91,17.28,12.67,33.2,hawaii
45,29.81,37.96,13.88,8.61,9.74,25.8,hawaii
47,27.44,27.04,15.33,15.41,14.79,32.5,hawaii
49,21.95,18.51,15.06,21.12,23.36,44.6,hawaii
50,25.43,32.53,16.24,13.56,12.25,30.5,hawaii
51,25.24,17.0,19.43,19.68,18.65,40.9,hawaii
1,29.87,24.03,18.74,15.26,12.11,32.2,illinois
2,22.38,27.25,20.07,17.58,12.72,35.2,illinois
3,26.69,21.51,21.42,18.21,12.17,35.9,illinois
4,19.96,37.2,22.86,12.79,7.19,32.3,illinois
5,17.39,36.71,17.47,16.0,12.44,33.2,illinois
6,22.35,28.31,20.84,15.49,13.0,34.6,illinois
7,22.67,19.6,19.1,20.54,18.09,41.4,illinois
8,27.79,18.87,20.11,18.13,15.1,37.1,illinois
9,22.92,34.58,19.73,13.73,9.05,31.5,illinois
10,22.85,32.02,20.61,14.93,9.58,32.7,illinois
11,22.29,34.98,22.56,12.36,7.8,32.1,illinois
12,9.15,47.63,17.46,14.12,11.64,32.3,illinois
13,17.59,30.39,23.04,18.46,10.53,35.8,illinois
14,18.48,29.85,21.41,17.97,12.28,35.8,illinois
15,22.0,18.24,18.43,20.98,20.34,42.7,illinois
16,28.12,17.41,19.06,18.59,16.83,39.0,illinois
17,27.09,9.65,19.78,21.07,22.4,45.4,illinois
18,26.89,18.04,17.16,20.22,17.69,40.2,illinois
19,22.47,19.71,21.49,20.19,16.14,40.1,illinois
20,21.43,16.06,20.1,22.24,20.18,44.3,illinois
21,27.95,24.58,19.94,16.05,11.47,33.2,illinois
22,30.03,20.66,21.32,16.2,11.8,34.3,illinois
23,29.73,20.28,21.04,17.45,11.51,35.0,illinois
24,28.97,22.49,19.37,17.82,11.35,34.0,illinois
25,24.81,26.08,17.29,16.82,15.01,34.4,illinois
26,18.46,28.44,18.54,18.09,16.47,36.6,illinois
27,24.78,17.56,17.91,19.99,19.77,41.3,illinois
28,24.58,20.41,17.32,20.29,17.39,39.5,illinois
29,26.14,19.39,17.56,20.74,16.17,38.9,illinois
30,28.06,19.44,18.94,19.25,14.32,37.0,illinois
31,25.65,18.42,17.99,21.17,16.77,39.9,illinois
32,28.42,21.85,17.76,18.42,13.54,34.8,illinois
33,25.4,19.9,18.32,19.61,16.78,39.1,illinois
34,23.76,18.45,18.31,22.03,17.46,41.6,illinois
35,23.84,16.49,18.96,21.99,18.72,42.4,illinois
36,23.43,17.43,18.62,21.5,19.01,42.5,illinois
37,26.3,15.02,19.03,24.54,15.11,42.4,illinois
38,25.71,18.58,18.42,21.35,15.94,40.2,illinois
39,23.02,27.96,23.0,15.74,10.27,34.5,illinois
40,22.62,29.26,24.3,15.21,8.62,33.9,illinois
41,27.25,17.13,20.7,21.49,13.44,39.3,illinois
42,24.94,17.89,18.38,22.09,16.7,40.7,illinois
43,31.26,21.35,19.81,16.79,10.78,33.2,illinois
44,26.11,22.22,20.91,18.41,12.35,35.9,illinois
45,21.76,18.72,18.49,23.96,17.07,42.8,illinois
46,24.84,23.04,19.84,18.48,13.8,36.5,illinois
47,27.87,12.45,20.17,21.16,18.35,42.6,illinois
48,25.59,19.61,18.5,19.94,16.36,38.5,illinois
49,27.56,18.44,20.89,20.46,12.65,37.7,illinois
50,29.63,15.75,23.2,18.83,12.59,38.2,illinois
51,26.54,12.68,19.4,24.66,16.72,44.3,illinois
52,25.3,15.87,20.07,24.87,13.9,42.3,illinois
53,24.86,14.36,20.48,21.02,19.29,42.9,illinois
54,24.2,17.48,19.2,22.43,16.69,41.5,illinois
55,24.34,18.23,20.27,20.23,16.93,40.4,illinois
56,24.07,18.41,21.76,20.14,15.61,39.8,illinois
57,24.57,18.69,20.42,18.93,17.39,39.9,illinois
58,27.11,18.8,15.26,19.63,19.2,39.4,illinois
59,25.47,18.73,21.11,19.44,15.25,39.1,illinois
60,30.28,22.48,19.85,16.43,10.96,32.8,illinois
61,27.99,17.98,19.9,21.94,12.19,38.1,illinois
62,27.37,19.34,21.2,19.83,12.25,37.0,illinois
63,26.09,19.13,18.17,20.66,15.96,39.2,illinois
64,23.69,17.68,18.8,24.49,15.34,41.9,illinois
65,23.9,15.81,19.32,21.02,19.94,43.8,illinois
66,28.59,17.04,21.99,21.3,11.08,38.3,illinois
67,29.44,21.42,18.09,18.66,12.39,34.4,illinois
68,22.34,18.22,17.89,19.86,21.69,43.4,illinois
69,26.64,16.36,18.88,20.96,17.16,40.9,illinois
70,26.54,26.21,16.22,18.31,12.71,32.6,illinois
71,23.86,16.12,17.92,20.91,21.19,43.4,illinois
72,25.48,19.17,17.84,19.52,17.99,39.0,illinois
73,25.61,16.46,18.84,19.75,19.34,41.4,illinois
74,23.29,15.17,17.3,21.1,23.14,45.3,illinois
75,26.73,18.69,20.81,19.67,14.1,38.5,illinois
76,23.6,17.15,17.59,21.53,20.14,42.9,illinois
77,28.52,21.34,20.86,17.71,11.57,35.1,illinois
78,23.87,18.38,21.71,20.61,15.43,40.3,illinois
79,26.61,20.23,18.42,19.44,15.31,37.5,illinois
80,29.05,16.92,20.25,18.8,14.98,38.1,illinois
81,22.53,17.5,19.19,23.08,17.71,42.7,illinois
82,23.73,13.92,18.71,23.24,20.4,45.2,illinois
83,30.11,21.27,21.16,16.16,11.31,33.9,illinois
84,31.39,19.53,25.43,15.66,7.99,34.2,illinois
85,26.53,21.51,21.06,19.76,11.14,36.3,illinois
86,28.29,21.71,20.39,16.93,12.69,35.0,illinois
87,24.02,17.86,18.24,20.91,18.96,41.7,illinois
88,26.12,18.31,19.17,19.38,17.02,39.6,illinois
89,22.99,15.19,15.99,22.58,23.26,46.5,illinois
90,24.32,17.78,19.51,20.94,17.45,41.0,illinois
91,22.05,18.89,19.27,20.61,19.18,41.9,illinois
92,26.26,22.28,17.16,18.65,15.65,36.0,illinois
93,23.83,21.54,17.23,18.96,18.44,39.0,illinois
94,24.5,17.19,16.62,20.78,20.9,42.4,illinois
95,22.63,17.19,18.18,22.39,19.6,43.4,illinois
96,25.22,20.05,17.21,20.03,17.48,38.9,illinois
97,30.37,16.47,22.58,18.85,11.73,37.7,illinois
98,27.06,19.93,21.27,18.02,13.73,37.5,illinois
99,24.03,18.63,18.66,20.61,18.07,40.4,illinois
100,22.6,17.16,17.63,22.02,20.59,43.9,illinois
101,25.9,15.11,18.54,21.32,19.13,42.1,illinois
102,25.29,16.73,18.86,20.74,18.38,40.9,illinois
103,25.61,41.43,12.23,11.04,9.69,25.0,illinois
104,24.95,17.62,18.06,19.85,19.52,41.0,illinois
105,27.74,27.25,16.91,15.89,12.21,30.8,illinois
106,25.15,16.96,17.48,21.13,19.28,41.7,illinois
107,23.69,18.2,17.57,21.11,19.43,42.2,illinois
108,25.03,16.86,19.5,21.64,16.97,40.8,illinois
109,24.21,16.95,17.49,21.44,19.91,42.9,illinois
110,23.02,21.6,17.45,19.69,18.24,39.5,illinois
111,24.03,19.05,17.3,20.65,18.97,41.3,illinois
112,25.2,21.0,19.43,19.38,14.99,37.8,illinois
113,22.76,21.34,18.82,21.35,15.74,39.7,illinois
114,26.42,19.18,18.17,20.02,16.22,38.5,illinois
