district,under 20,20 to 34,35 to 49,50 to 64,65 and over,median age,state
64,19.01,12.02,15.07,26.46,27.44,52.7,arkansas
65,24.71,16.51,17.65,21.83,19.3,43.3,arkansas
66,22.91,17.87,16.39,20.49,22.35,43.0,arkansas
67,31.19,18.64,20.92,17.75,11.51,35.1,arkansas
68,23.95,16.0,17.99,21.59,20.46,43.5,arkansas
69,26.17,18.08,17.7,20.45,17.6,39.9,arkansas
70,25.99,31.53,17.62,14.11,10.75,29.1,arkansas
71,31.22,27.57,14.93,14.24,12.04,27.9,arkansas
72,24.02,31.96,16.08,15.44,12.5,31.5,arkansas
73,26.86,16.63,19.76,19.18,17.57,40.0,arkansas
74,24.55,16.52,17.43,21.39,20.11,43.2,arkansas
75,26.02,17.16,17.77,18.61,20.45,40.2,arkansas
76,23.24,21.94,17.21,17.69,19.92,38.6,arkansas
77,24.33,20.82,20.06,19.72,15.06,38.8,arkansas
78,32.53,20.98,19.29,17.66,9.54,32.5,arkansas
79,25.73,22.58,17.47,18.11,16.11,36.4,arkansas
80,28.41,16.9,18.36,19.31,17.02,39.5,arkansas
81,26.63,17.05,18.79,20.47,17.06,40.2,arkansas
82,25.41,17.68,17.34,19.84,19.74,41.5,arkansas
83,22.65,15.59,15.7,22.59,23.48,46.9,arkansas
84,27.42,19.54,21.14,17.2,14.7,37.5,arkansas
85,24.57,31.57,16.96,16.86,10.04,31.4,arkansas
86,26.19,46.89,12.36,10.16,4.4,23.9,arkansas
87,30.9,20.41,18.01,17.77,12.91,33.9,arkansas
88,29.7,21.91,21.04,14.72,12.63,34.1,arkansas
89,35.4,23.32,19.81,14.0,7.48,28.9,arkansas
90,32.27,21.78,22.47,14.8,8.69,32.3,arkansas
91,31.34,21.55,21.6,16.19,9.33,33.2,arkansas
92,22.89,15.29,19.22,18.59,24.01,44.6,arkansas
93,29.42,25.0,24.12,13.24,8.21,32.9,arkansas
94,27.79,25.87,20.39,14.48,11.46,32.7,arkansas
95,27.74,15.0,19.58,19.2,18.48,39.6,arkansas
96,25.88,15.95,20.7,19.25,18.21,40.9,arkansas
