district,"management, business, science, and arts occupations",service occupations,sales and office occupations,blue collar occupations,state
8,0.2687,0.1861,0.1546,0.3906,arkansas
9,0.2984,0.1677,0.1988,0.335,arkansas
10,0.309,0.1379,0.1979,0.3552,arkansas
11,0.2822,0.1887,0.196,0.3331,arkansas
12,0.2847,0.1796,0.2117,0.324,arkansas
13,0.3037,0.1496,0.2181,0.3286,arkansas
14,0.2966,0.1467,0.2619,0.2948,arkansas
15,0.3524,0.1732,0.2025,0.2719,arkansas
16,0.3269,0.2037,0.2146,0.2548,arkansas
17,0.2387,0.2484,0.1185,0.3943,arkansas
18,0.2889,0.2282,0.2237,0.2592,arkansas
19,0.2686,0.1613,0.1683,0.4019,arkansas
20,0.3002,0.1611,0.2005,0.3383,arkansas
21,0.3229,0.1858,0.1694,0.3219,arkansas
22,0.3032,0.1912,0.2514,0.2542,arkansas
23,0.406,0.1497,0.2628,0.1815,arkansas
24,0.3212,0.2387,0.2622,0.1779,arkansas
25,0.3171,0.243,0.2647,0.1751,arkansas
26,0.3359,0.1531,0.2318,0.2792,arkansas
27,0.3593,0.1456,0.2157,0.2794,arkansas
28,0.3387,0.1685,0.2236,0.2691,arkansas
29,0.2663,0.2318,0.2032,0.2988,arkansas
30,0.3552,0.1706,0.2378,0.2364,arkansas
31,0.4989,0.084,0.2744,0.1428,arkansas
32,0.6034,0.0961,0.2116,0.0889,arkansas
33,0.5814,0.1143,0.2237,0.0806,arkansas
34,0.3766,0.2186,0.2514,0.1534,arkansas
35,0.5576,0.1088,0.2339,0.0997,arkansas
36,0.2752,0.2162,0.1982,0.3104,arkansas
37,0.3314,0.2202,0.2253,0.2231,arkansas
38,0.4502,0.159,0.2231,0.1677,arkansas
39,0.4499,0.1206,0.2345,0.1951,arkansas
40,0.3347,0.1715,0.2112,0.2826,arkansas
41,0.4081,0.172,0.2465,0.1734,arkansas
42,0.2803,0.2019,0.257,0.2608,arkansas
43,0.3742,0.1569,0.2259,0.2431,arkansas
44,0.3512,0.1676,0.1782,0.303,arkansas
45,0.2707,0.1933,0.211,0.3251,arkansas
46,0.4212,0.1788,0.1908,0.2092,arkansas
47,0.2934,0.1825,0.1954,0.3286,arkansas
48,0.2509,0.1717,0.1751,0.4023,arkansas
49,0.263,0.1717,0.2144,0.3509,arkansas
50,0.2615,0.1901,0.1989,0.3495,arkansas
51,0.3462,0.1564,0.2023,0.295,arkansas
52,0.2976,0.1522,0.2436,0.3067,arkansas
53,0.3703,0.1316,0.2113,0.2868,arkansas
54,0.2828,0.1518,0.1709,0.3945,arkansas
55,0.2484,0.1666,0.2027,0.3823,arkansas
56,0.3023,0.1398,0.191,0.3669,arkansas
57,0.3109,0.1652,0.1969,0.327,arkansas
58,0.4038,0.1788,0.2204,0.197,arkansas
59,0.2785,0.2127,0.2222,0.2865,arkansas
60,0.2445,0.1756,0.2224,0.3575,arkansas
61,0.3104,0.1719,0.1959,0.3219,arkansas
62,0.2658,0.2142,0.1743,0.3456,arkansas
63,0.3169,0.173,0.2094,0.3008,arkansas
64,0.3013,0.1607,0.1968,0.3411,arkansas
65,0.2781,0.1663,0.1903,0.3653,arkansas
66,0.3039,0.197,0.178,0.3212,arkansas
67,0.4732,0.1356,0.1856,0.2056,arkansas
68,0.3189,0.1678,0.1945,0.3188,arkansas
69,0.2899,0.1624,0.1782,0.3694,arkansas
70,0.4412,0.1847,0.2157,0.1583,arkansas
71,0.3047,0.2388,0.1756,0.2808,arkansas
72,0.3594,0.1964,0.2624,0.1817,arkansas
73,0.2619,0.1862,0.1935,0.3583,arkansas
74,0.2534,0.1826,0.1994,0.3647,arkansas
75,0.3839,0.1124,0.2177,0.286,arkansas
76,0.4193,0.1613,0.2253,0.1941,arkansas
77,0.3399,0.1649,0.2489,0.2463,arkansas
78,0.1667,0.2038,0.1825,0.4471,arkansas
79,0.2744,0.1892,0.2199,0.3164,arkansas
80,0.3458,0.1595,0.2143,0.2804,arkansas
81,0.3463,0.1565,0.227,0.2702,arkansas
82,0.271,0.1395,0.1905,0.3991,arkansas
83,0.2978,0.1824,0.223,0.2969,arkansas
84,0.5354,0.1411,0.1936,0.1299,arkansas
85,0.4739,0.1496,0.2283,0.1482,arkansas
86,0.4747,0.2009,0.2072,0.1172,arkansas
87,0.3635,0.1482,0.2064,0.2819,arkansas
88,0.3506,0.1335,0.2037,0.3122,arkansas
89,0.2135,0.1742,0.1392,0.4731,arkansas
90,0.437,0.1108,0.2283,0.2239,arkansas
91,0.4721,0.1308,0.1969,0.2001,arkansas
92,0.3749,0.1235,0.2707,0.2309,arkansas
93,0.5037,0.1143,0.2411,0.1409,arkansas
94,0.2669,0.2169,0.1972,0.319,arkansas
95,0.3216,0.1384,0.2726,0.2675,arkansas
96,0.2803,0.1511,0.1962,0.3725,arkansas
97,0.3545,0.1387,0.2102,0.2966,arkansas
98,0.3012,0.1574,0.2172,0.3242,arkansas
99,0.3203,0.1559,0.2178,0.3059,arkansas
100,0.3148,0.1684,0.2123,0.3045,arkansas
1,0.371,0.2097,0.2133,0.2061,california
2,0.3659,0.2116,0.2146,0.2078,california
3,0.3226,0.2021,0.21,0.2652,california
4,0.3874,0.2008,0.1957,0.2161,california
5,0.3299,0.2221,0.2027,0.2453,california
6,0.5171,0.1418,0.2201,0.1211,california
7,0.4054,0.1794,0.2151,0.2001,california
8,0.3716,0.2012,0.2335,0.1936,california
9,0.3713,0.2018,0.2161,0.2109,california
10,0.4919,0.1644,0.1956,0.1481,california
11,0.3365,0.2027,0.227,0.2339,california
12,0.319,0.1741,0.2081,0.2988,california
13,0.2884,0.188,0.2056,0.318,california
14,0.3955,0.2009,0.2148,0.1888,california
15,0.5303,0.1611,0.1725,0.1361,california
16,0.6409,0.0975,0.1875,0.0741,california
17,0.6006,0.151,0.1643,0.0842,california
18,0.4454,0.1773,0.1887,0.1886,california
19,0.5221,0.1663,0.203,0.1086,california
20,0.437,0.1644,0.191,0.2076,california
21,0.2308,0.1861,0.1954,0.3877,california
22,0.5489,0.1373,0.1859,0.1279,california
23,0.3944,0.1847,0.2321,0.1889,california
24,0.6738,0.1086,0.1329,0.0848,california
25,0.5848,0.1261,0.1529,0.1362,california
26,0.2734,0.1859,0.1995,0.3412,california
27,0.3755,0.2176,0.1876,0.2193,california
28,0.6125,0.1203,0.1696,0.0977,california
29,0.4821,0.1712,0.1963,0.1504,california
30,0.2749,0.1842,0.1938,0.3472,california
31,0.2063,0.2082,0.1806,0.4049,california
32,0.1769,0.1978,0.1695,0.4558,california
33,0.2737,0.2047,0.2245,0.2971,california
34,0.3561,0.1823,0.2068,0.2548,california
35,0.3355,0.2055,0.2036,0.2554,california
36,0.3146,0.2014,0.2063,0.2777,california
37,0.4153,0.2007,0.2053,0.1787,california
38,0.4603,0.1552,0.2301,0.1544,california
39,0.2885,0.2166,0.2221,0.2728,california
40,0.3531,0.1798,0.2224,0.2448,california
41,0.5192,0.154,0.2047,0.1221,california
42,0.3479,0.2093,0.2199,0.223,california
43,0.5181,0.1528,0.2026,0.1265,california
44,0.3835,0.1712,0.2081,0.2372,california
45,0.4531,0.1674,0.2251,0.1544,california
46,0.4182,0.2004,0.1934,0.188,california
47,0.2324,0.1815,0.2305,0.3557,california
48,0.2952,0.1999,0.2418,0.2632,california
49,0.3838,0.1945,0.2368,0.1849,california
50,0.6463,0.1094,0.1865,0.0577,california
51,0.353,0.209,0.2032,0.2348,california
52,0.2543,0.1914,0.2276,0.3266,california
53,0.2882,0.2558,0.211,0.2449,california
54,0.509,0.1811,0.2003,0.1096,california
55,0.4573,0.1415,0.2547,0.1465,california
56,0.2301,0.2921,0.214,0.2639,california
57,0.3228,0.1641,0.2612,0.2518,california
58,0.3007,0.1792,0.2516,0.2685,california
59,0.17,0.2601,0.207,0.3628,california
60,0.3069,0.1751,0.2328,0.2852,california
61,0.2766,0.191,0.2251,0.3073,california
62,0.3976,0.2004,0.2209,0.1812,california
63,0.2161,0.204,0.2428,0.3371,california
64,0.2081,0.2192,0.226,0.3466,california
65,0.3728,0.1829,0.2325,0.2118,california
66,0.5305,0.1265,0.2174,0.1257,california
67,0.347,0.1969,0.2225,0.2335,california
68,0.5161,0.1331,0.2246,0.1262,california
69,0.2485,0.2516,0.2095,0.2905,california
70,0.4076,0.1935,0.205,0.1939,california
71,0.353,0.1937,0.2353,0.218,california
72,0.3759,0.1888,0.2326,0.2027,california
73,0.5143,0.136,0.2495,0.1002,california
74,0.5611,0.1303,0.2169,0.0917,california
75,0.3666,0.2039,0.2228,0.2067,california
76,0.4157,0.1888,0.2225,0.173,california
77,0.6144,0.1227,0.1671,0.0957,california
78,0.5706,0.1467,0.186,0.0966,california
79,0.4027,0.2044,0.2227,0.1701,california
80,0.2478,0.2761,0.2202,0.2558,california
1,0.3529,0.1803,0.2184,0.2483,colorado
2,0.6141,0.1186,0.1969,0.0703,colorado
3,0.4966,0.1428,0.2074,0.1533,colorado
4,0.4741,0.1673,0.1904,0.1682,colorado
5,0.4789,0.1634,0.1804,0.1773,colorado
6,0.5581,0.1356,0.1973,0.1089,colorado
7,0.3697,0.1855,0.2064,0.2384,colorado
8,0.5938,0.1481,0.1605,0.0977,colorado
9,0.4972,0.1467,0.2238,0.1322,colorado
10,0.5831,0.1532,0.173,0.0906,colorado
11,0.4526,0.1581,0.1977,0.1915,colorado
12,0.5441,0.1288,0.1883,0.1388,colorado
13,0.5126,0.1737,0.171,0.1428,colorado
14,0.541,0.1473,0.1954,0.1163,colorado
15,0.4508,0.1769,0.2006,0.1718,colorado
16,0.3677,0.1914,0.2602,0.1807,colorado
17,0.2179,0.2697,0.2225,0.2899,colorado
18,0.4482,0.1802,0.1902,0.1815,colorado
19,0.4912,0.1348,0.215,0.1589,colorado
20,0.5322,0.1341,0.2122,0.1215,colorado
21,0.3424,0.1923,0.2209,0.2444,colorado
22,0.4926,0.112,0.2386,0.1569,colorado
23,0.4255,0.163,0.2224,0.1891,colorado
24,0.4817,0.1502,0.2133,0.1548,colorado
25,0.5778,0.1161,0.1891,0.117,colorado
26,0.3884,0.2212,0.2048,0.1857,colorado
27,0.5215,0.1356,0.2014,0.1415,colorado
28,0.4435,0.1646,0.2237,0.1682,colorado
29,0.4318,0.1476,0.2325,0.1881,colorado
30,0.3056,0.1788,0.215,0.3006,colorado
31,0.34,0.1575,0.2241,0.2784,colorado
32,0.2465,0.2142,0.2143,0.3251,colorado
33,0.5817,0.1241,0.1849,0.1093,colorado
34,0.2935,0.1995,0.2315,0.2755,colorado
35,0.3587,0.1626,0.2259,0.2528,colorado
36,0.3781,0.1715,0.224,0.2264,colorado
37,0.5634,0.1154,0.2051,0.1161,colorado
38,0.5308,0.1135,0.2319,0.1238,colorado
39,0.5222,0.1295,0.2186,0.1297,colorado
40,0.3891,0.1693,0.2364,0.2052,colorado
41,0.3783,0.1885,0.2432,0.1899,colorado
42,0.2181,0.2484,0.2172,0.3163,colorado
43,0.5935,0.1042,0.2188,0.0835,colorado
44,0.5287,0.1224,0.2446,0.1043,colorado
45,0.5466,0.132,0.2253,0.096,colorado
46,0.3309,0.2236,0.2361,0.2094,colorado
47,0.3376,0.1938,0.2152,0.2535,colorado
48,0.3719,0.1419,0.2058,0.2804,colorado
49,0.4521,0.1341,0.2062,0.2076,colorado
50,0.2276,0.2098,0.2099,0.3528,colorado
51,0.4037,0.1603,0.2237,0.2123,colorado
52,0.5063,0.1655,0.1844,0.1437,colorado
53,0.4408,0.2056,0.205,0.1486,colorado
54,0.3326,0.203,0.1949,0.2694,colorado
55,0.3753,0.1832,0.2089,0.2327,colorado
56,0.4098,0.1477,0.2211,0.2214,colorado
57,0.3303,0.2027,0.2044,0.2626,colorado
58,0.3363,0.1962,0.2121,0.2554,colorado
59,0.4055,0.1961,0.214,0.1844,colorado
60,0.3621,0.1967,0.2237,0.2175,colorado
61,0.3967,0.2122,0.1894,0.2017,colorado
62,0.3138,0.2063,0.2054,0.2744,colorado
63,0.3679,0.1534,0.2062,0.2726,colorado
64,0.3851,0.1832,0.184,0.2477,colorado
65,0.3118,0.1817,0.1527,0.3539,colorado
1,0.3568,0.2482,0.2141,0.1809,connecticut
2,0.5101,0.1708,0.1629,0.1562,connecticut
3,0.1894,0.2919,0.2424,0.2763,connecticut
4,0.3418,0.2344,0.202,0.2219,connecticut
5,0.365,0.1922,0.2595,0.1833,connecticut
6,0.1892,0.2697,0.2439,0.2972,connecticut
7,0.2764,0.2859,0.2099,0.2278,connecticut
8,0.4901,0.1567,0.1912,0.1621,connecticut
9,0.4057,0.1688,0.2102,0.2153,connecticut
10,0.3021,0.223,0.2517,0.2232,connecticut
11,0.393,0.1548,0.2136,0.2386,connecticut
12,0.4243,0.1678,0.2137,0.1941,connecticut
13,0.4797,0.1532,0.2055,0.1616,connecticut
14,0.5883,0.1035,0.2177,0.0905,connecticut
15,0.448,0.1663,0.2172,0.1684,connecticut
16,0.6174,0.0905,0.21,0.082,connecticut
17,0.6305,0.0986,0.1803,0.0906,connecticut
18,0.694,0.0839,0.1622,0.06,connecticut
19,0.7318,0.0784,0.1452,0.0446,connecticut
20,0.4767,0.1862,0.1797,0.1574,connecticut
21,0.5918,0.1308,0.1849,0.0926,connecticut
22,0.3497,0.1599,0.2304,0.26,connecticut
23,0.5237,0.1283,0.2116,0.1364,connecticut
24,0.3056,0.2082,0.2052,0.2809,connecticut
25,0.1643,0.3083,0.2137,0.3137,connecticut
26,0.3553,0.2209,0.1894,0.2344,connecticut
27,0.4024,0.1869,0.2416,0.1691,connecticut
28,0.5114,0.1319,0.2273,0.1294,connecticut
29,0.5579,0.1269,0.2021,0.1132,connecticut
30,0.4622,0.1275,0.2689,0.1414,connecticut
31,0.6541,0.1069,0.1534,0.0856,connecticut
32,0.427,0.1493,0.2694,0.1542,connecticut
33,0.4946,0.1703,0.2134,0.1216,connecticut
34,0.4892,0.1313,0.2166,0.1628,connecticut
35,0.4455,0.169,0.2146,0.171,connecticut
36,0.4805,0.1543,0.1996,0.1657,connecticut
37,0.5425,0.1545,0.1706,0.1324,connecticut
38,0.4619,0.1595,0.2182,0.1604,connecticut
39,0.2898,0.2763,0.211,0.2229,connecticut
40,0.4537,0.1949,0.1617,0.1897,connecticut
41,0.4896,0.2208,0.1748,0.1148,connecticut
42,0.3882,0.236,0.1827,0.1931,connecticut
43,0.5049,0.1765,0.161,0.1577,connecticut
44,0.3098,0.1777,0.224,0.2886,connecticut
45,0.3367,0.1844,0.2314,0.2474,connecticut
46,0.2715,0.3457,0.1969,0.186,connecticut
47,0.3816,0.181,0.1758,0.2616,connecticut
48,0.5251,0.1583,0.1623,0.1543,connecticut
49,0.2541,0.3107,0.2154,0.2197,connecticut
50,0.4153,0.1532,0.2372,0.1942,connecticut
51,0.3419,0.1535,0.2029,0.3017,connecticut
52,0.3998,0.1717,0.212,0.2166,connecticut
53,0.52,0.1443,0.1532,0.1825,connecticut
54,0.474,0.2615,0.195,0.0695,connecticut
55,0.5065,0.1176,0.1848,0.1911,connecticut
56,0.4346,0.1748,0.2035,0.1871,connecticut
57,0.5199,0.1457,0.1851,0.1494,connecticut
58,0.3908,0.166,0.2424,0.2008,connecticut
59,0.4327,0.1004,0.244,0.223,connecticut
60,0.4103,0.1736,0.2214,0.1946,connecticut
61,0.5149,0.0904,0.2331,0.1616,connecticut
62,0.5168,0.1271,0.1953,0.1608,connecticut
63,0.3795,0.1802,0.216,0.2243,connecticut
64,0.4497,0.181,0.1885,0.1809,connecticut
65,0.3101,0.2169,0.1989,0.2741,connecticut
66,0.4582,0.144,0.2395,0.1583,connecticut
67,0.3927,0.1814,0.2361,0.1898,connecticut
68,0.4519,0.1853,0.187,0.1758,connecticut
69,0.577,0.1131,0.2052,0.1047,connecticut
70,0.3942,0.1433,0.2255,0.237,connecticut
71,0.355,0.1999,0.2214,0.2237,connecticut
72,0.2238,0.2424,0.2186,0.3152,connecticut
73,0.3236,0.1946,0.2315,0.2503,connecticut
74,0.2945,0.2325,0.1982,0.2748,connecticut
75,0.2083,0.2732,0.2207,0.2978,connecticut
76,0.4461,0.1306,0.2242,0.1991,connecticut
77,0.3933,0.1642,0.2322,0.2103,connecticut
78,0.3815,0.1738,0.1921,0.2526,connecticut
79,0.33,0.1867,0.2471,0.2362,connecticut
80,0.4809,0.111,0.2001,0.2081,connecticut
81,0.464,0.1632,0.2145,0.1583,connecticut
82,0.4249,0.1477,0.2083,0.2192,connecticut
83,0.4604,0.1572,0.1934,0.1891,connecticut
84,0.3132,0.2009,0.2333,0.2527,connecticut
85,0.43,0.1639,0.2304,0.1758,connecticut
86,0.4659,0.1346,0.2117,0.1878,connecticut
87,0.482,0.1249,0.2501,0.1431,connecticut
88,0.5422,0.1494,0.223,0.0854,connecticut
89,0.5316,0.1194,0.1969,0.1521,connecticut
90,0.4743,0.1272,0.198,0.2005,connecticut
91,0.5203,0.1574,0.1646,0.1576,connecticut
92,0.4375,0.2316,0.1573,0.1737,connecticut
93,0.3481,0.3058,0.1918,0.1544,connecticut
94,0.433,0.2587,0.188,0.1203,connecticut
95,0.1722,0.3367,0.1633,0.3279,connecticut
96,0.6084,0.1376,0.1363,0.1177,connecticut
97,0.3157,0.2302,0.1955,0.2586,connecticut
98,0.5922,0.107,0.1722,0.1286,connecticut
99,0.3117,0.1726,0.2547,0.261,connecticut
100,0.444,0.1931,0.2097,0.1532,connecticut
101,0.5712,0.1155,0.1889,0.1244,connecticut
102,0.4848,0.1309,0.2338,0.1504,connecticut
103,0.5747,0.1126,0.2173,0.0953,connecticut
104,0.3373,0.2234,0.2248,0.2146,connecticut
105,0.4199,0.1492,0.2129,0.218,connecticut
106,0.5246,0.1394,0.2007,0.1352,connecticut
107,0.462,0.1624,0.2601,0.1155,connecticut
108,0.468,0.1064,0.226,0.1996,connecticut
109,0.3381,0.2193,0.2027,0.2398,connecticut
110,0.2518,0.3045,0.2016,0.2421,connecticut
111,0.641,0.0997,0.1912,0.0681,connecticut
112,0.5303,0.1265,0.2051,0.1381,connecticut
113,0.4731,0.1185,0.2346,0.1737,connecticut
114,0.6334,0.1059,0.1667,0.094,connecticut
115,0.2444,0.2616,0.2053,0.2887,connecticut
116,0.2441,0.3009,0.2292,0.2259,connecticut
117,0.4822,0.1522,0.2177,0.148,connecticut
118,0.4873,0.1292,0.2302,0.1532,connecticut
119,0.5482,0.1367,0.2093,0.1057,connecticut
120,0.4504,0.1741,0.2216,0.1539,connecticut
121,0.3429,0.1974,0.2595,0.2001,connecticut
122,0.5128,0.1374,0.2297,0.1201,connecticut
123,0.5588,0.1195,0.2146,0.107,connecticut
124,0.2144,0.2841,0.2029,0.2987,connecticut
125,0.6749,0.0704,0.2017,0.0529,connecticut
126,0.2637,0.2692,0.2006,0.2664,connecticut
127,0.306,0.2549,0.233,0.206,connecticut
128,0.1335,0.3695,0.204,0.2931,connecticut
129,0.3221,0.2416,0.2181,0.2181,connecticut
130,0.2051,0.3334,0.2093,0.2522,connecticut
131,0.4775,0.1429,0.1972,0.1824,connecticut
132,0.6318,0.1009,0.2268,0.0405,connecticut
133,0.535,0.1295,0.2287,0.1069,connecticut
134,0.5802,0.0976,0.2371,0.0851,connecticut
135,0.6593,0.0913,0.1748,0.0746,connecticut
136,0.6544,0.0649,0.2269,0.0538,connecticut
137,0.4762,0.1788,0.2139,0.1311,connecticut
138,0.4566,0.1895,0.186,0.1679,connecticut
139,0.3456,0.2701,0.1912,0.1931,connecticut
140,0.2942,0.2658,0.1835,0.2565,connecticut
141,0.6399,0.0496,0.2413,0.0691,connecticut
142,0.514,0.1093,0.2547,0.1221,connecticut
143,0.5678,0.098,0.2246,0.1096,connecticut
144,0.5474,0.1324,0.2177,0.1025,connecticut
145,0.3459,0.2896,0.2176,0.1469,connecticut
146,0.5907,0.1443,0.1836,0.0814,connecticut
147,0.5289,0.1855,0.2176,0.0679,connecticut
148,0.3801,0.2497,0.1848,0.1853,connecticut
149,0.6118,0.1034,0.2242,0.0605,connecticut
150,0.5401,0.1535,0.1893,0.117,connecticut
151,0.6592,0.0776,0.202,0.0612,connecticut
1,0.459,0.1407,0.2036,0.1968,delaware
2,0.3409,0.2568,0.2103,0.192,delaware
3,0.2663,0.3154,0.2129,0.2053,delaware
4,0.64,0.1015,0.176,0.0826,delaware
5,0.383,0.2073,0.2062,0.2035,delaware
6,0.583,0.1259,0.1832,0.1078,delaware
7,0.4694,0.1602,0.2315,0.1389,delaware
8,0.4593,0.1237,0.2005,0.2166,delaware
9,0.5331,0.1086,0.1805,0.1778,delaware
10,0.4816,0.1602,0.2005,0.1577,delaware
11,0.3091,0.1394,0.2134,0.3382,delaware
12,0.6338,0.0971,0.165,0.1041,delaware
13,0.343,0.1731,0.2358,0.2481,delaware
14,0.4648,0.1469,0.2699,0.1183,delaware
15,0.4308,0.1084,0.2325,0.2284,delaware
16,0.3174,0.1767,0.2491,0.2567,delaware
17,0.3266,0.2347,0.2291,0.2096,delaware
18,0.3885,0.1944,0.2286,0.1885,delaware
19,0.3258,0.1892,0.2275,0.2575,delaware
20,0.4412,0.1541,0.2472,0.1574,delaware
21,0.4402,0.1657,0.2327,0.1614,delaware
22,0.6287,0.0705,0.2034,0.0974,delaware
23,0.5062,0.152,0.2081,0.1336,delaware
24,0.3344,0.2133,0.2322,0.2201,delaware
25,0.4375,0.201,0.2061,0.1554,delaware
26,0.4444,0.1684,0.1792,0.208,delaware
27,0.5122,0.1186,0.1985,0.1707,delaware
28,0.3082,0.1779,0.2365,0.2775,delaware
29,0.3941,0.175,0.2302,0.2007,delaware
30,0.2964,0.196,0.2063,0.3014,delaware
31,0.3471,0.2288,0.239,0.1851,delaware
32,0.3294,0.2044,0.2109,0.2553,delaware
33,0.3518,0.1988,0.1993,0.25,delaware
34,0.4124,0.1876,0.2078,0.1922,delaware
35,0.2691,0.234,0.1966,0.3003,delaware
36,0.3425,0.1645,0.2271,0.2659,delaware
37,0.3119,0.2025,0.2092,0.2764,delaware
38,0.4176,0.1489,0.2787,0.1549,delaware
39,0.3174,0.1851,0.1974,0.3002,delaware
40,0.2805,0.197,0.2238,0.2987,delaware
41,0.3185,0.2304,0.2334,0.2176,delaware
1,0.3247,0.1942,0.2797,0.2014,florida
2,0.383,0.2092,0.2273,0.1805,florida
3,0.3721,0.1841,0.2226,0.2211,florida
4,0.391,0.2163,0.2149,0.1778,florida
5,0.3293,0.2171,0.2179,0.2357,florida
6,0.3451,0.2073,0.2311,0.2165,florida
7,0.3159,0.2063,0.223,0.2548,florida
8,0.3592,0.2283,0.239,0.1735,florida
9,0.5479,0.1386,0.2171,0.0964,florida
10,0.3177,0.2115,0.2039,0.2669,florida
11,0.4202,0.162,0.2253,0.1925,florida
12,0.41,0.1608,0.2297,0.1995,florida
13,0.2878,0.2256,0.2481,0.2385,florida
14,0.2777,0.2087,0.2644,0.2492,florida
15,0.3423,0.1835,0.2515,0.2227,florida
16,0.4619,0.1453,0.2439,0.1489,florida
17,0.4849,0.1437,0.2424,0.129,florida
18,0.3851,0.1532,0.2537,0.208,florida
19,0.2635,0.2127,0.2301,0.2938,florida
20,0.4012,0.2202,0.2159,0.1627,florida
21,0.4831,0.1689,0.211,0.137,florida
22,0.3137,0.2017,0.2585,0.2261,florida
23,0.2904,0.2178,0.2616,0.2302,florida
24,0.3454,0.1929,0.2373,0.2244,florida
25,0.3732,0.195,0.2683,0.1635,florida
26,0.2987,0.2232,0.2581,0.2199,florida
27,0.3018,0.1957,0.2633,0.2392,florida
28,0.465,0.1507,0.241,0.1434,florida
29,0.4651,0.1367,0.2547,0.1436,florida
30,0.4338,0.16,0.2538,0.1523,florida
31,0.3613,0.1769,0.254,0.2078,florida
32,0.3503,0.2107,0.2403,0.1987,florida
33,0.2931,0.2251,0.2798,0.202,florida
34,0.3215,0.1976,0.2539,0.2269,florida
35,0.3188,0.2109,0.244,0.2263,florida
36,0.2712,0.2197,0.266,0.2432,florida
37,0.4396,0.1583,0.25,0.1521,florida
38,0.4082,0.1738,0.2336,0.1844,florida
39,0.3124,0.2105,0.2509,0.2261,florida
40,0.3387,0.1697,0.2444,0.2473,florida
41,0.2869,0.2323,0.2376,0.2433,florida
42,0.3199,0.1992,0.2514,0.2295,florida
43,0.233,0.2525,0.2528,0.2617,florida
44,0.471,0.1716,0.2536,0.1038,florida
45,0.2805,0.2506,0.2303,0.2386,florida
46,0.2339,0.2904,0.2443,0.2315,florida
47,0.5039,0.1425,0.2248,0.1288,florida
48,0.2654,0.2172,0.2472,0.2702,florida
49,0.3743,0.1999,0.2537,0.1721,florida
50,0.4637,0.1454,0.2266,0.1643,florida
51,0.3861,0.1988,0.2167,0.1983,florida
52,0.4748,0.1642,0.2057,0.1553,florida
53,0.365,0.1949,0.2349,0.2051,florida
54,0.3409,0.1975,0.2546,0.2069,florida
55,0.2881,0.2035,0.2258,0.2825,florida
56,0.2584,0.1901,0.2156,0.3359,florida
57,0.4199,0.1494,0.2459,0.1849,florida
58,0.3362,0.1857,0.2204,0.2577,florida
59,0.3972,0.1661,0.2587,0.178,florida
60,0.5141,0.1259,0.2382,0.1217,florida
61,0.2852,0.2388,0.2382,0.2378,florida
62,0.2892,0.2205,0.2434,0.2469,florida
63,0.4489,0.1716,0.2376,0.142,florida
64,0.4991,0.1289,0.2643,0.1077,florida
