district,"management, business, science, and arts occupations",service occupations,sales and office occupations,blue collar occupations,state
1,0.2887,0.183,0.2563,0.2719,alaska
2,0.3461,0.1976,0.2242,0.2321,alaska
3,0.3435,0.1598,0.2203,0.2764,alaska
4,0.4352,0.1808,0.1744,0.2096,alaska
5,0.4395,0.1769,0.1851,0.1985,alaska
6,0.3192,0.1998,0.2086,0.2724,alaska
7,0.3129,0.1998,0.2277,0.2596,alaska
8,0.3068,0.195,0.1828,0.3155,alaska
9,0.366,0.1911,0.1407,0.3022,alaska
10,0.3088,0.1669,0.1826,0.3417,alaska
11,0.3688,0.1951,0.1949,0.2412,alaska
12,0.3977,0.15,0.2119,0.2404,alaska
13,0.397,0.1758,0.2154,0.2118,alaska
14,0.5028,0.1188,0.1943,0.1841,alaska
15,0.3185,0.227,0.2107,0.2439,alaska
16,0.3606,0.2284,0.2355,0.1755,alaska
17,0.3566,0.1597,0.2694,0.2143,alaska
18,0.4011,0.1826,0.219,0.1973,alaska
19,0.2583,0.2842,0.21,0.2474,alaska
20,0.3887,0.2158,0.2292,0.1663,alaska
21,0.4982,0.1656,0.1622,0.1741,alaska
22,0.4147,0.1643,0.2289,0.1921,alaska
23,0.3381,0.1855,0.2155,0.2608,alaska
24,0.5088,0.118,0.2281,0.1451,alaska
25,0.4203,0.1483,0.2453,0.186,alaska
26,0.5029,0.1428,0.1784,0.1759,alaska
27,0.3823,0.1645,0.2806,0.1727,alaska
28,0.5196,0.1133,0.187,0.1802,alaska
29,0.3736,0.1784,0.2033,0.2447,alaska
30,0.38,0.2289,0.1416,0.2494,alaska
31,0.4,0.1651,0.1786,0.2564,alaska
32,0.2831,0.1494,0.1984,0.3692,alaska
33,0.4422,0.1747,0.1775,0.2056,alaska
34,0.4506,0.1108,0.2084,0.2302,alaska
35,0.3551,0.1825,0.1852,0.2773,alaska
36,0.325,0.1955,0.2207,0.2588,alaska
37,0.274,0.1749,0.152,0.3991,alaska
38,0.3381,0.196,0.2645,0.2014,alaska
39,0.3688,0.2302,0.1909,0.2101,alaska
40,0.3849,0.1524,0.1449,0.3179,alaska
1,0.3295,0.1817,0.2278,0.2611,arkansas
2,0.3752,0.1365,0.2034,0.2849,arkansas
3,0.2577,0.2112,0.1604,0.3707,arkansas
4,0.2479,0.1368,0.1465,0.4688,arkansas
5,0.2407,0.2056,0.1611,0.3926,arkansas
6,0.3863,0.1278,0.216,0.2699,arkansas
7,0.2989,0.1943,0.1812,0.3256,arkansas
