district,percent owner-occupied housing units,state
1,47.4,alaska
2,30.3,alaska
3,75.3,alaska
4,77.7,alaska
5,59.7,alaska
6,65.4,alaska
7,63.5,alaska
8,81.5,alaska
9,79.7,alaska
10,82.0,alaska
11,74.9,alaska
12,82.8,alaska
13,44.0,alaska
14,79.3,alaska
15,42.6,alaska
16,61.9,alaska
17,52.6,alaska
18,41.1,alaska
19,46.5,alaska
20,37.3,alaska
21,61.8,alaska
22,69.4,alaska
23,60.1,alaska
24,82.3,alaska
25,76.7,alaska
26,72.3,alaska
27,82.1,alaska
28,86.8,alaska
29,81.2,alaska
30,67.7,alaska
31,78.3,alaska
32,54.4,alaska
33,58.3,alaska
34,71.9,alaska
35,66.1,alaska
36,65.9,alaska
37,53.0,alaska
38,55.3,alaska
39,67.2,alaska
40,51.8,alaska
1,56.1,arkansas
2,77.8,arkansas
3,67.7,arkansas
4,71.5,arkansas
5,66.9,arkansas
6,78.8,arkansas
7,73.7,arkansas
8,71.1,arkansas
9,67.9,arkansas
10,82.8,arkansas
11,66.1,arkansas
12,51.6,arkansas
13,70.4,arkansas
14,75.0,arkansas
15,78.2,arkansas
16,63.5,arkansas
17,46.9,arkansas
18,67.0,arkansas
19,71.7,arkansas
20,78.0,arkansas
21,78.5,arkansas
22,78.2,arkansas
23,70.6,arkansas
24,65.4,arkansas
25,55.8,arkansas
26,76.3,arkansas
27,85.0,arkansas
28,74.5,arkansas
29,57.2,arkansas
30,57.2,arkansas
31,80.9,arkansas
32,71.9,arkansas
33,46.6,arkansas
34,45.7,arkansas
35,57.9,arkansas
36,52.6,arkansas
37,37.1,arkansas
38,63.8,arkansas
39,62.5,arkansas
40,78.9,arkansas
41,69.1,arkansas
42,48.5,arkansas
43,67.4,arkansas
44,76.7,arkansas
45,70.1,arkansas
46,57.6,arkansas
47,70.0,arkansas
48,54.3,arkansas
49,61.6,arkansas
50,58.8,arkansas
51,58.2,arkansas
52,69.2,arkansas
53,61.0,arkansas
54,62.9,arkansas
55,52.6,arkansas
56,72.6,arkansas
57,61.3,arkansas
58,53.9,arkansas
59,51.9,arkansas
60,74.9,arkansas
61,78.1,arkansas
62,74.1,arkansas
63,73.3,arkansas
64,83.2,arkansas
65,72.0,arkansas
66,72.8,arkansas
67,79.6,arkansas
68,86.1,arkansas
69,73.9,arkansas
70,53.0,arkansas
71,58.4,arkansas
72,42.7,arkansas
