district,percent owner-occupied housing units,state
73,71.9,arkansas
74,77.3,arkansas
75,80.8,arkansas
76,56.0,arkansas
77,52.2,arkansas
78,43.1,arkansas
79,65.6,arkansas
80,74.7,arkansas
81,82.9,arkansas
82,75.5,arkansas
83,81.0,arkansas
84,59.5,arkansas
85,51.3,arkansas
86,24.6,arkansas
87,66.6,arkansas
88,49.6,arkansas
89,38.5,arkansas
90,71.1,arkansas
91,70.1,arkansas
92,82.7,arkansas
93,51.3,arkansas
94,44.0,arkansas
95,72.1,arkansas
96,76.3,arkansas
97,78.8,arkansas
98,66.3,arkansas
99,78.8,arkansas
100,73.5,arkansas
1,70.3,california
2,61.4,california
3,59.7,california
4,59.2,california
5,71.7,california
6,73.1,california
7,51.3,california
8,55.2,california
9,62.2,california
10,62.3,california
11,66.0,california
12,63.4,california
13,54.3,california
14,62.4,california
15,52.9,california
16,72.2,california
17,32.1,california
18,42.3,california
19,50.7,california
20,59.9,california
21,53.3,california
22,58.4,california
23,60.1,california
24,53.8,california
25,54.5,california
26,57.9,california
27,55.9,california
28,60.3,california
29,60.5,california
30,57.2,california
31,45.5,california
32,50.7,california
33,61.0,california
34,63.1,california
35,60.0,california
36,62.6,california
37,54.1,california
38,71.0,california
39,54.8,california
40,54.9,california
41,56.0,california
42,66.4,california
43,35.9,california
44,64.1,california
45,54.1,california
46,37.2,california
47,62.7,california
48,62.0,california
49,51.2,california
50,35.1,california
51,35.2,california
52,55.9,california
53,12.0,california
54,37.8,california
55,70.2,california
56,65.1,california
57,67.5,california
58,51.7,california
59,31.1,california
60,65.4,california
61,60.1,california
62,38.5,california
63,47.3,california
64,51.1,california
65,52.0,california
66,57.9,california
67,73.7,california
68,62.7,california
69,42.0,california
70,40.7,california
71,65.2,california
72,57.3,california
73,70.3,california
74,49.9,california
75,64.3,california
76,55.7,california
77,65.8,california
78,38.2,california
79,52.9,california
80,43.6,california
1,61.3,colorado
2,39.9,colorado
3,54.4,colorado
4,56.0,colorado
5,35.1,colorado
6,58.4,colorado
7,69.8,colorado
8,48.5,colorado
9,41.9,colorado
10,51.3,colorado
11,67.0,colorado
12,72.8,colorado
13,66.6,colorado
14,68.5,colorado
15,74.5,colorado
16,61.7,colorado
17,48.5,colorado
18,50.0,colorado
19,88.8,colorado
20,64.8,colorado
21,67.8,colorado
22,86.4,colorado
23,56.5,colorado
24,60.6,colorado
25,88.9,colorado
26,71.4,colorado
27,76.6,colorado
28,63.4,colorado
29,72.3,colorado
30,69.6,colorado
31,71.9,colorado
32,67.7,colorado
33,68.2,colorado
34,58.4,colorado
35,62.0,colorado
36,71.5,colorado
37,74.9,colorado
38,78.3,colorado
39,89.5,colorado
40,70.9,colorado
41,52.1,colorado
42,43.4,colorado
43,76.3,colorado
44,68.0,colorado
45,84.9,colorado
46,67.5,colorado
47,67.4,colorado
48,81.5,colorado
49,85.2,colorado
50,54.0,colorado
51,66.0,colorado
52,61.5,colorado
53,51.7,colorado
54,72.0,colorado
55,66.1,colorado
56,78.7,colorado
57,67.5,colorado
58,71.4,colorado
59,69.7,colorado
60,77.8,colorado
61,72.1,colorado
62,64.3,colorado
63,83.1,colorado
64,74.7,colorado
65,66.4,colorado
1,18.4,connecticut
2,77.3,connecticut
3,22.0,connecticut
4,12.1,connecticut
5,59.7,connecticut
6,43.4,connecticut
7,33.7,connecticut
8,89.8,connecticut
9,63.5,connecticut
10,57.2,connecticut
11,40.4,connecticut
12,59.4,connecticut
13,64.0,connecticut
14,85.3,connecticut
15,69.9,connecticut
16,77.4,connecticut
17,86.4,connecticut
18,60.8,connecticut
19,81.2,connecticut
20,65.8,connecticut
21,72.1,connecticut
22,64.3,connecticut
23,82.5,connecticut
24,55.9,connecticut
25,22.2,connecticut
26,48.2,connecticut
27,81.1,connecticut
28,82.1,connecticut
29,63.4,connecticut
30,86.0,connecticut
31,87.8,connecticut
32,77.4,connecticut
33,50.0,connecticut
34,87.3,connecticut
35,85.4,connecticut
36,76.9,connecticut
37,75.0,connecticut
38,80.2,connecticut
39,34.7,connecticut
40,46.4,connecticut
41,56.6,connecticut
42,84.7,connecticut
43,76.1,connecticut
44,66.9,connecticut
45,76.8,connecticut
46,47.0,connecticut
47,83.2,connecticut
48,79.9,connecticut
49,43.1,connecticut
50,81.1,connecticut
51,68.8,connecticut
52,80.9,connecticut
53,80.8,connecticut
54,46.4,connecticut
55,90.2,connecticut
56,44.2,connecticut
57,69.8,connecticut
58,67.4,connecticut
59,83.9,connecticut
60,80.4,connecticut
61,87.1,connecticut
62,89.7,connecticut
63,71.9,connecticut
64,77.6,connecticut
65,59.6,connecticut
66,79.4,connecticut
67,80.0,connecticut
68,76.8,connecticut
69,82.5,connecticut
70,72.3,connecticut
71,69.6,connecticut
72,41.3,connecticut
73,59.1,connecticut
74,46.3,connecticut
75,21.9,connecticut
76,87.6,connecticut
77,68.8,connecticut
78,77.0,connecticut
79,51.3,connecticut
80,88.6,connecticut
81,74.3,connecticut
82,73.7,connecticut
83,78.0,connecticut
84,31.7,connecticut
85,66.6,connecticut
86,88.2,connecticut
87,82.6,connecticut
88,62.9,connecticut
89,91.6,connecticut
90,84.5,connecticut
91,61.2,connecticut
92,32.5,connecticut
93,20.2,connecticut
94,50.9,connecticut
95,24.9,connecticut
96,31.3,connecticut
97,40.0,connecticut
98,86.0,connecticut
99,69.4,connecticut
100,54.8,connecticut
101,87.1,connecticut
102,61.4,connecticut
103,79.8,connecticut
104,55.8,connecticut
105,75.4,connecticut
106,89.6,connecticut
107,83.1,connecticut
108,84.8,connecticut
109,63.2,connecticut
110,35.2,connecticut
111,84.3,connecticut
112,90.1,connecticut
113,75.9,connecticut
114,89.1,connecticut
115,42.1,connecticut
116,42.8,connecticut
117,83.6,connecticut
118,63.2,connecticut
119,85.7,connecticut
120,90.3,connecticut
121,67.8,connecticut
122,84.3,connecticut
123,84.2,connecticut
124,37.8,connecticut
125,82.0,connecticut
126,71.4,connecticut
127,61.1,connecticut
128,19.1,connecticut
129,40.5,connecticut
130,22.9,connecticut
131,80.1,connecticut
132,83.7,connecticut
133,74.7,connecticut
134,94.0,connecticut
135,90.3,connecticut
136,86.9,connecticut
137,46.8,connecticut
138,72.1,connecticut
139,67.9,connecticut
140,40.3,connecticut
141,81.9,connecticut
142,75.7,connecticut
143,80.4,connecticut
144,80.4,connecticut
145,30.3,connecticut
146,23.8,connecticut
147,81.1,connecticut
148,49.6,connecticut
149,81.2,connecticut
150,54.3,connecticut
151,75.1,connecticut
1,50.7,delaware
2,35.2,delaware
3,42.4,delaware
4,58.5,delaware
5,62.4,delaware
6,77.5,delaware
7,69.3,delaware
8,77.8,delaware
9,97.5,delaware
10,68.3,delaware
11,88.1,delaware
12,87.4,delaware
13,68.6,delaware
14,85.8,delaware
15,77.5,delaware
16,64.9,delaware
17,69.8,delaware
18,52.6,delaware
19,75.0,delaware
20,87.0,delaware
21,68.0,delaware
22,87.8,delaware
23,63.0,delaware
24,59.2,delaware
25,59.6,delaware
26,55.9,delaware
27,86.6,delaware
28,70.1,delaware
29,86.8,delaware
30,73.1,delaware
31,46.2,delaware
32,45.9,delaware
33,73.0,delaware
34,80.8,delaware
35,76.6,delaware
36,78.8,delaware
37,75.7,delaware
38,91.4,delaware
39,72.7,delaware
40,73.2,delaware
41,81.2,delaware
1,66.3,florida
2,61.1,florida
3,78.7,florida
4,62.8,florida
5,75.9,florida
6,66.1,florida
7,77.6,florida
8,42.8,florida
9,66.4,florida
10,74.7,florida
11,75.1,florida
12,57.7,florida
13,42.0,florida
14,59.1,florida
15,61.3,florida
16,59.5,florida
17,81.6,florida
18,77.1,florida
19,71.7,florida
20,49.0,florida
21,65.8,florida
22,79.8,florida
23,71.0,florida
24,78.8,florida
25,75.3,florida
26,57.6,florida
27,78.7,florida
28,75.7,florida
29,65.1,florida
30,53.4,florida
31,75.9,florida
32,74.4,florida
33,86.7,florida
34,84.0,florida
35,78.4,florida
36,62.5,florida
37,81.6,florida
38,76.0,florida
39,69.6,florida
40,60.5,florida
41,71.7,florida
42,74.8,florida
43,59.0,florida
44,63.9,florida
45,60.9,florida
46,29.1,florida
47,53.5,florida
48,54.7,florida
49,53.8,florida
50,74.3,florida
51,74.8,florida
52,73.6,florida
53,78.2,florida
54,80.6,florida
55,77.0,florida
56,71.5,florida
57,79.6,florida
58,60.5,florida
59,59.3,florida
60,58.1,florida
61,41.0,florida
62,51.0,florida
63,54.3,florida
64,74.3,florida
65,74.2,florida
66,72.4,florida
67,60.6,florida
68,61.1,florida
69,74.1,florida
70,56.5,florida
71,70.6,florida
72,70.1,florida
73,83.4,florida
74,82.8,florida
75,81.6,florida
76,80.4,florida
77,76.7,florida
78,61.1,florida
79,71.9,florida
80,73.5,florida
81,74.5,florida
82,80.6,florida
83,78.6,florida
84,69.5,florida
85,78.1,florida
86,69.5,florida
87,50.7,florida
88,48.0,florida
89,66.4,florida
90,74.6,florida
91,80.0,florida
92,53.7,florida
93,66.0,florida
94,48.0,florida
95,57.6,florida
96,70.4,florida
97,66.4,florida
98,70.7,florida
99,65.1,florida
100,56.3,florida
101,56.5,florida
102,60.6,florida
103,68.4,florida
104,77.8,florida
105,61.7,florida
106,77.7,florida
107,52.8,florida
108,40.5,florida
109,32.8,florida
110,43.8,florida
111,39.3,florida
112,41.6,florida
113,28.1,florida
114,63.6,florida
115,61.5,florida
116,61.6,florida
117,48.4,florida
118,71.4,florida
119,69.1,florida
120,62.9,florida
1,73.4,georgia
2,76.1,georgia
3,72.9,georgia
4,54.4,georgia
5,64.5,georgia
6,76.5,georgia
7,76.3,georgia
8,77.7,georgia
9,76.7,georgia
10,76.5,georgia
11,74.6,georgia
12,68.7,georgia
13,53.6,georgia
14,77.3,georgia
15,60.8,georgia
16,69.0,georgia
17,77.5,georgia
18,60.4,georgia
19,75.5,georgia
20,69.2,georgia
21,76.0,georgia
22,87.1,georgia
23,71.4,georgia
24,84.5,georgia
25,89.3,georgia
26,82.7,georgia
27,75.7,georgia
28,75.8,georgia
29,50.2,georgia
30,73.1,georgia
31,78.4,georgia
32,72.3,georgia
33,72.8,georgia
34,67.8,georgia
35,70.2,georgia
36,93.5,georgia
37,65.9,georgia
38,69.7,georgia
39,62.8,georgia
40,58.7,georgia
41,58.4,georgia
42,24.8,georgia
43,57.6,georgia
44,72.2,georgia
45,81.1,georgia
46,86.5,georgia
47,79.0,georgia
48,61.5,georgia
49,70.9,georgia
50,68.8,georgia
51,58.7,georgia
52,63.1,georgia
53,47.7,georgia
54,47.0,georgia
55,47.3,georgia
56,37.8,georgia
57,45.1,georgia
58,31.9,georgia
59,47.6,georgia
60,41.2,georgia
61,46.9,georgia
62,65.0,georgia
63,72.7,georgia
64,68.2,georgia
65,52.3,georgia
66,66.3,georgia
67,80.6,georgia
68,76.4,georgia
69,71.4,georgia
70,69.7,georgia
71,85.2,georgia
72,83.1,georgia
73,77.8,georgia
74,39.7,georgia
75,48.8,georgia
76,73.6,georgia
77,38.9,georgia
78,60.5,georgia
79,52.5,georgia
80,48.9,georgia
81,57.2,georgia
82,41.7,georgia
83,61.9,georgia
84,64.2,georgia
85,42.8,georgia
86,58.5,georgia
87,57.0,georgia
88,49.4,georgia
89,66.1,georgia
90,73.0,georgia
91,61.5,georgia
92,42.7,georgia
93,81.2,georgia
94,72.4,georgia
95,56.1,georgia
96,40.9,georgia
97,73.8,georgia
98,76.6,georgia
99,33.9,georgia
100,37.1,georgia
101,64.5,georgia
102,75.2,georgia
103,86.9,georgia
104,81.1,georgia
105,74.9,georgia
106,79.5,georgia
107,81.7,georgia
108,70.9,georgia
109,73.9,georgia
110,68.1,georgia
111,73.3,georgia
112,77.3,georgia
113,62.7,georgia
114,81.7,georgia
115,73.2,georgia
116,75.2,georgia
117,55.8,georgia
118,44.2,georgia
119,55.1,georgia
120,73.3,georgia
121,74.2,georgia
122,86.3,georgia
123,66.3,georgia
124,36.3,georgia
125,55.2,georgia
126,69.6,georgia
127,54.7,georgia
128,67.4,georgia
129,76.5,georgia
130,64.5,georgia
131,70.8,georgia
132,49.8,georgia
133,79.8,georgia
134,57.8,georgia
135,30.1,georgia
136,47.4,georgia
137,69.1,georgia
138,57.0,georgia
139,61.9,georgia
140,69.0,georgia
141,64.5,georgia
142,52.4,georgia
143,40.5,georgia
144,81.2,georgia
145,62.6,georgia
146,76.7,georgia
147,53.9,georgia
148,66.3,georgia
149,69.2,georgia
150,61.7,georgia
151,65.0,georgia
152,73.9,georgia
153,41.8,georgia
154,56.0,georgia
155,65.9,georgia
156,67.1,georgia
157,61.9,georgia
158,60.4,georgia
159,70.8,georgia
160,57.3,georgia
161,67.1,georgia
162,39.7,georgia
163,43.8,georgia
164,51.7,georgia
165,53.2,georgia
166,82.5,georgia
167,75.2,georgia
168,51.4,georgia
169,66.5,georgia
170,60.8,georgia
171,61.3,georgia
172,63.9,georgia
173,60.7,georgia
174,68.7,georgia
175,70.3,georgia
176,65.3,georgia
177,36.7,georgia
178,77.4,georgia
179,59.3,georgia
180,62.3,georgia
1,68.8,hawaii
2,58.3,hawaii
3,77.9,hawaii
4,79.2,hawaii
5,69.9,hawaii
9,58.4,hawaii
10,52.8,hawaii
11,60.0,hawaii
13,59.1,hawaii
14,70.4,hawaii
15,66.3,hawaii
16,58.5,hawaii
17,85.3,hawaii
18,83.3,hawaii
19,66.8,hawaii
20,60.4,hawaii
22,42.1,hawaii
24,43.9,hawaii
30,19.1,hawaii
33,81.5,hawaii
34,78.4,hawaii
35,49.2,hawaii
36,79.6,hawaii
37,76.7,hawaii
39,74.9,hawaii
40,62.6,hawaii
41,72.8,hawaii
43,59.5,hawaii
44,51.7,hawaii
45,36.9,hawaii
47,57.7,hawaii
49,76.3,hawaii
50,52.9,hawaii
51,79.7,hawaii
1,57.6,illinois
2,42.9,illinois
3,57.7,illinois
4,39.8,illinois
5,32.2,illinois
6,36.1,illinois
7,71.4,illinois
8,52.0,illinois
9,35.5,illinois
10,36.8,illinois
11,50.6,illinois
12,37.4,illinois
13,34.9,illinois
14,30.9,illinois
15,70.2,illinois
16,62.0,illinois
17,78.7,illinois
18,70.7,illinois
19,68.7,illinois
20,73.5,illinois
21,56.3,illinois
22,70.7,illinois
23,64.1,illinois
24,53.5,illinois
25,37.3,illinois
26,35.8,illinois
27,70.7,illinois
28,67.1,illinois
29,67.9,illinois
30,65.5,illinois
31,59.9,illinois
32,55.7,illinois
33,59.1,illinois
34,61.9,illinois
35,79.7,illinois
36,78.5,illinois
37,93.2,illinois
38,73.9,illinois
39,43.2,illinois
40,44.0,illinois
41,75.1,illinois
42,75.6,illinois
43,64.4,illinois
44,72.0,illinois
45,81.3,illinois
46,64.3,illinois
47,80.2,illinois
48,72.9,illinois
49,75.7,illinois
50,86.4,illinois
51,87.4,illinois
52,84.9,illinois
53,78.1,illinois
54,77.1,illinois
55,65.7,illinois
56,68.8,illinois
57,67.6,illinois
58,78.4,illinois
59,66.1,illinois
60,49.3,illinois
61,76.1,illinois
62,78.0,illinois
63,73.3,illinois
64,79.1,illinois
65,83.3,illinois
66,82.2,illinois
67,47.0,illinois
68,71.9,illinois
69,80.8,illinois
70,62.7,illinois
71,73.0,illinois
72,67.1,illinois
73,76.6,illinois
74,76.5,illinois
75,78.9,illinois
76,71.1,illinois
77,60.3,illinois
78,58.6,illinois
79,67.8,illinois
80,74.6,illinois
81,74.5,illinois
82,86.6,illinois
83,59.6,illinois
84,68.8,illinois
85,74.5,illinois
86,59.7,illinois
87,76.1,illinois
88,71.1,illinois
89,75.3,illinois
90,71.3,illinois
91,75.3,illinois
92,58.0,illinois
93,69.0,illinois
94,74.4,illinois
95,75.8,illinois
96,57.4,illinois
97,88.8,illinois
98,84.4,illinois
99,72.4,illinois
100,77.6,illinois
101,82.4,illinois
102,77.4,illinois
103,35.6,illinois
104,67.8,illinois
105,64.9,illinois
106,74.9,illinois
107,76.1,illinois
108,80.4,illinois
109,78.0,illinois
110,68.6,illinois
111,72.0,illinois
112,70.1,illinois
113,63.1,illinois
114,60.8,illinois
115,68.0,illinois
116,75.7,illinois
117,72.2,illinois
118,69.5,illinois
1,58.7,indiana
2,51.5,indiana
3,55.2,indiana
4,71.1,indiana
5,62.2,indiana
6,60.6,indiana
7,73.9,indiana
8,72.8,indiana
9,71.9,indiana
10,71.0,indiana
11,87.0,indiana
12,80.4,indiana
13,76.4,indiana
14,62.0,indiana
15,86.1,indiana
16,79.5,indiana
17,74.9,indiana
18,76.1,indiana
19,84.7,indiana
20,77.1,indiana
21,73.1,indiana
22,74.8,indiana
23,70.9,indiana
24,82.6,indiana
25,81.5,indiana
26,53.6,indiana
27,41.1,indiana
28,82.1,indiana
29,77.0,indiana
30,70.1,indiana
31,69.7,indiana
32,80.8,indiana
33,78.2,indiana
34,48.9,indiana
35,77.9,indiana
36,61.8,indiana
37,71.9,indiana
38,74.5,indiana
39,71.9,indiana
40,81.4,indiana
41,74.2,indiana
42,77.6,indiana
43,58.4,indiana
44,78.0,indiana
45,68.3,indiana
46,73.5,indiana
47,76.8,indiana
48,68.0,indiana
49,73.9,indiana
50,72.3,indiana
51,81.2,indiana
52,82.8,indiana
53,76.5,indiana
54,73.3,indiana
55,71.5,indiana
56,65.8,indiana
57,77.1,indiana
58,66.3,indiana
59,68.4,indiana
60,71.2,indiana
61,31.5,indiana
62,73.8,indiana
63,74.9,indiana
64,83.0,indiana
65,83.4,indiana
66,70.7,indiana
67,77.5,indiana
68,81.5,indiana
69,72.8,indiana
70,84.5,indiana
71,65.0,indiana
72,71.7,indiana
73,80.3,indiana
74,79.1,indiana
75,81.4,indiana
76,70.8,indiana
77,53.7,indiana
78,68.7,indiana
79,78.0,indiana
80,50.7,indiana
81,57.9,indiana
82,79.2,indiana
83,81.6,indiana
84,74.8,indiana
85,75.1,indiana
86,62.2,indiana
87,48.7,indiana
88,90.7,indiana
89,70.0,indiana
90,78.9,indiana
91,62.6,indiana
92,54.7,indiana
93,66.4,indiana
94,45.2,indiana
95,46.0,indiana
96,49.7,indiana
97,46.1,indiana
98,39.3,indiana
99,39.3,indiana
100,51.5,indiana
1,79.6,iowa
2,72.0,iowa
3,75.8,iowa
4,80.1,iowa
5,77.3,iowa
6,73.7,iowa
7,75.4,iowa
8,77.4,iowa
9,65.0,iowa
10,77.3,iowa
11,69.9,iowa
12,76.9,iowa
13,58.2,iowa
14,64.2,iowa
15,63.6,iowa
16,60.8,iowa
17,76.2,iowa
18,70.2,iowa
19,85.3,iowa
20,72.8,iowa
21,73.5,iowa
22,80.9,iowa
23,75.9,iowa
24,74.2,iowa
25,81.3,iowa
26,78.6,iowa
27,70.2,iowa
28,79.0,iowa
29,73.4,iowa
30,79.2,iowa
31,73.7,iowa
32,55.6,iowa
33,64.3,iowa
34,47.5,iowa
35,54.7,iowa
36,72.6,iowa
37,73.8,iowa
38,80.3,iowa
39,73.6,iowa
40,74.0,iowa
41,54.9,iowa
42,64.1,iowa
43,64.5,iowa
44,66.4,iowa
45,39.0,iowa
46,47.1,iowa
47,76.0,iowa
48,79.0,iowa
49,78.7,iowa
50,77.3,iowa
51,79.5,iowa
52,77.6,iowa
53,66.1,iowa
54,74.1,iowa
55,75.2,iowa
56,77.0,iowa
57,88.6,iowa
58,80.9,iowa
59,62.4,iowa
60,70.9,iowa
61,58.6,iowa
62,64.0,iowa
63,84.5,iowa
64,78.0,iowa
65,67.2,iowa
66,73.3,iowa
67,75.5,iowa
68,77.9,iowa
69,69.3,iowa
70,73.8,iowa
71,68.3,iowa
72,78.6,iowa
73,81.1,iowa
74,56.0,iowa
75,81.8,iowa
76,71.5,iowa
77,77.3,iowa
78,71.5,iowa
79,67.0,iowa
80,76.6,iowa
81,65.2,iowa
82,76.5,iowa
83,71.7,iowa
84,75.3,iowa
85,48.6,iowa
86,45.6,iowa
87,65.4,iowa
88,80.3,iowa
89,69.3,iowa
90,53.3,iowa
91,71.9,iowa
92,76.3,iowa
93,72.2,iowa
94,73.6,iowa
95,84.4,iowa
96,79.8,iowa
97,82.3,iowa
98,69.7,iowa
99,67.6,iowa
100,64.1,iowa
1,70.8,kansas
2,75.8,kansas
3,51.7,kansas
4,74.6,kansas
5,76.6,kansas
6,82.4,kansas
7,72.3,kansas
8,72.0,kansas
9,68.8,kansas
10,55.3,kansas
11,66.3,kansas
12,78.9,kansas
13,77.1,kansas
14,64.7,kansas
15,64.1,kansas
16,66.1,kansas
17,73.6,kansas
18,80.3,kansas
19,74.1,kansas
20,75.9,kansas
21,74.5,kansas
22,47.9,kansas
23,46.2,kansas
24,50.8,kansas
25,79.6,kansas
26,87.4,kansas
27,92.8,kansas
28,58.9,kansas
29,62.6,kansas
30,44.7,kansas
31,40.7,kansas
32,47.4,kansas
33,68.4,kansas
34,49.9,kansas
35,60.9,kansas
36,81.6,kansas
37,61.2,kansas
38,80.3,kansas
39,85.7,kansas
40,67.7,kansas
41,46.4,kansas
42,74.2,kansas
43,68.4,kansas
44,48.8,kansas
45,60.1,kansas
46,33.7,kansas
47,86.7,kansas
48,62.7,kansas
49,57.8,kansas
50,87.4,kansas
51,78.6,kansas
52,80.9,kansas
53,55.5,kansas
54,78.3,kansas
55,55.7,kansas
56,61.8,kansas
57,55.2,kansas
58,59.3,kansas
59,71.2,kansas
60,52.0,kansas
61,75.5,kansas
62,72.8,kansas
63,72.8,kansas
64,57.7,kansas
65,36.7,kansas
66,29.8,kansas
67,56.9,kansas
68,61.3,kansas
69,62.8,kansas
70,76.0,kansas
71,62.9,kansas
72,69.9,kansas
73,70.0,kansas
74,73.5,kansas
75,67.0,kansas
76,71.6,kansas
77,78.0,kansas
78,91.6,kansas
79,71.0,kansas
80,68.8,kansas
81,54.0,kansas
82,80.8,kansas
83,47.1,kansas
84,46.2,kansas
85,58.1,kansas
86,46.1,kansas
87,60.7,kansas
88,47.3,kansas
89,57.8,kansas
90,76.3,kansas
91,84.8,kansas
92,57.8,kansas
93,84.8,kansas
94,86.4,kansas
95,42.9,kansas
96,54.5,kansas
97,71.0,kansas
98,69.5,kansas
99,84.5,kansas
100,75.9,kansas
101,89.0,kansas
102,58.5,kansas
103,34.6,kansas
104,72.7,kansas
105,50.9,kansas
106,76.8,kansas
107,73.7,kansas
108,76.1,kansas
109,79.9,kansas
110,75.2,kansas
111,59.5,kansas
112,64.2,kansas
113,72.2,kansas
114,74.8,kansas
115,72.5,kansas
116,68.6,kansas
117,71.2,kansas
118,72.3,kansas
119,59.9,kansas
120,71.2,kansas
121,86.0,kansas
122,71.6,kansas
123,60.6,kansas
124,71.1,kansas
125,62.0,kansas
1,73.5,kentucky
2,75.9,kentucky
3,59.0,kentucky
4,76.9,kentucky
5,66.9,kentucky
6,83.1,kentucky
7,69.2,kentucky
8,43.5,kentucky
9,56.0,kentucky
10,74.1,kentucky
11,62.6,kentucky
12,74.6,kentucky
13,55.9,kentucky
14,80.7,kentucky
15,78.2,kentucky
16,70.5,kentucky
17,73.7,kentucky
18,77.0,kentucky
19,66.3,kentucky
20,38.8,kentucky
21,74.3,kentucky
22,71.9,kentucky
23,65.8,kentucky
24,73.9,kentucky
25,59.1,kentucky
26,76.2,kentucky
27,64.0,kentucky
28,70.7,kentucky
29,83.6,kentucky
30,50.5,kentucky
31,67.6,kentucky
32,56.5,kentucky
33,76.0,kentucky
34,68.7,kentucky
35,65.1,kentucky
36,75.5,kentucky
37,58.8,kentucky
38,59.9,kentucky
39,63.3,kentucky
40,43.4,kentucky
41,31.3,kentucky
42,41.0,kentucky
43,55.2,kentucky
44,68.1,kentucky
45,71.5,kentucky
46,62.4,kentucky
47,71.3,kentucky
48,78.8,kentucky
49,79.7,kentucky
50,78.1,kentucky
51,69.3,kentucky
52,70.4,kentucky
53,81.3,kentucky
54,71.6,kentucky
55,73.8,kentucky
56,62.9,kentucky
57,60.4,kentucky
58,70.9,kentucky
59,86.6,kentucky
60,81.4,kentucky
61,80.1,kentucky
62,73.1,kentucky
63,69.5,kentucky
64,82.0,kentucky
65,47.8,kentucky
66,87.0,kentucky
67,59.5,kentucky
68,79.7,kentucky
69,58.5,kentucky
70,72.0,kentucky
71,81.4,kentucky
72,66.7,kentucky
73,71.7,kentucky
74,69.3,kentucky
75,40.0,kentucky
76,54.8,kentucky
77,50.1,kentucky
78,67.2,kentucky
79,40.2,kentucky
80,71.2,kentucky
81,47.8,kentucky
82,67.9,kentucky
83,75.1,kentucky
84,72.3,kentucky
85,73.8,kentucky
86,68.7,kentucky
87,67.7,kentucky
88,73.6,kentucky
89,72.4,kentucky
90,72.0,kentucky
91,69.7,kentucky
92,74.5,kentucky
93,78.6,kentucky
94,68.6,kentucky
95,70.6,kentucky
96,77.5,kentucky
97,71.1,kentucky
98,77.5,kentucky
99,68.2,kentucky
100,67.3,kentucky
1,62.4,maine
2,85.3,maine
3,76.2,maine
4,87.7,maine
5,85.7,maine
6,81.3,maine
7,79.4,maine
8,73.0,maine
9,81.2,maine
10,89.2,maine
11,58.4,maine
12,29.6,maine
13,67.9,maine
14,55.1,maine
15,82.3,maine
16,83.3,maine
17,92.4,maine
18,44.5,maine
19,78.4,maine
20,89.1,maine
21,90.7,maine
22,83.4,maine
23,91.3,maine
24,89.1,maine
25,86.3,maine
26,79.3,maine
27,84.6,maine
28,79.9,maine
29,78.8,maine
30,88.9,maine
31,63.8,maine
32,83.2,maine
33,49.3,maine
34,56.9,maine
35,74.4,maine
