district,earnings $1 - $24'999,earnings $25'000 - 49'999,earnings $50'000 - 74'999,earnings $75'000 or more,state,median earnings
68,0.2826,0.3343,0.2112,0.1719,arkansas,30791
69,0.2653,0.422,0.1698,0.143,arkansas,27094
70,0.232,0.3751,0.2165,0.1763,arkansas,30503
71,0.3476,0.3514,0.1719,0.1291,arkansas,19596
72,0.2718,0.4441,0.1724,0.1117,arkansas,26399
73,0.2621,0.4355,0.2096,0.0928,arkansas,28247
74,0.2559,0.4619,0.1836,0.0986,arkansas,27489
75,0.183,0.4382,0.2201,0.1587,arkansas,33655
76,0.1804,0.3761,0.2008,0.2427,arkansas,32725
77,0.2377,0.3846,0.1712,0.2066,arkansas,29023
78,0.2874,0.5413,0.1121,0.0591,arkansas,25190
79,0.283,0.3742,0.2268,0.116,arkansas,27204
80,0.1723,0.4552,0.1992,0.1733,arkansas,32660
81,0.1675,0.4379,0.2012,0.1935,arkansas,35505
82,0.2202,0.4783,0.2201,0.0814,arkansas,28470
83,0.2201,0.5195,0.164,0.0964,arkansas,27378
84,0.1241,0.333,0.2801,0.2628,arkansas,41506
85,0.1363,0.415,0.2155,0.2332,arkansas,32231
86,0.2294,0.375,0.2296,0.1661,arkansas,21818
87,0.1874,0.4225,0.189,0.2011,arkansas,33534
88,0.1913,0.4136,0.1846,0.2105,arkansas,30767
89,0.2952,0.4919,0.1343,0.0786,arkansas,26291
90,0.1137,0.3564,0.2144,0.3155,arkansas,43133
91,0.1435,0.2977,0.2413,0.3175,arkansas,43140
92,0.1434,0.3881,0.2149,0.2537,arkansas,37905
93,0.1105,0.269,0.1936,0.4269,arkansas,52302
94,0.2055,0.4811,0.1616,0.1518,arkansas,32184
95,0.1648,0.3908,0.1936,0.2509,arkansas,34472
96,0.2246,0.4204,0.1877,0.1673,arkansas,32775
97,0.1429,0.4331,0.2302,0.1937,arkansas,31068
98,0.2311,0.4658,0.2014,0.1017,arkansas,28780
99,0.2649,0.4743,0.1407,0.1202,arkansas,24973
100,0.2582,0.4891,0.0951,0.1576,arkansas,28664
1,0.1296,0.3337,0.2356,0.301,california,33844
2,0.1477,0.3428,0.2072,0.3023,california,32166
3,0.1738,0.3852,0.2044,0.2366,california,30420
4,0.1293,0.3207,0.2199,0.3302,california,35559
5,0.1585,0.3445,0.2262,0.2708,california,32451
6,0.0766,0.21,0.1992,0.5142,california,52499
7,0.1286,0.3345,0.2436,0.2933,california,38861
8,0.1393,0.3495,0.2343,0.2769,california,35965
9,0.1479,0.3342,0.2313,0.2867,california,36456
10,0.0872,0.237,0.1905,0.4853,california,46965
11,0.106,0.2935,0.2404,0.36,california,41617
12,0.13,0.3417,0.2263,0.302,california,37308
13,0.1573,0.3689,0.2248,0.2489,california,34196
14,0.1009,0.2567,0.2314,0.4109,california,44825
15,0.0898,0.242,0.2094,0.4588,california,46367
16,0.047,0.1144,0.141,0.6976,california,78539
17,0.0666,0.1762,0.1647,0.5925,california,66484
18,0.116,0.2821,0.2248,0.377,california,43771
19,0.0779,0.2009,0.2156,0.5056,california,56141
20,0.0734,0.2638,0.2443,0.4185,california,51422
21,0.171,0.4315,0.2096,0.1879,california,30009
22,0.071,0.176,0.1674,0.5855,california,64001
23,0.1316,0.337,0.224,0.3074,california,37283
24,0.065,0.1422,0.1335,0.6593,california,74969
25,0.0638,0.1887,0.1768,0.5707,california,62535
26,0.2081,0.4163,0.1943,0.1813,california,28111
27,0.1157,0.3416,0.1942,0.3484,california,39944
28,0.0575,0.1505,0.1477,0.6443,california,72680
29,0.1006,0.2351,0.2013,0.4629,california,43571
30,0.1698,0.3581,0.1901,0.2819,california,31448
31,0.2606,0.4348,0.1693,0.1354,california,24761
32,0.2739,0.4186,0.178,0.1295,california,25203
33,0.2024,0.3632,0.2173,0.2171,california,31205
34,0.1555,0.3103,0.2295,0.3046,california,36179
35,0.1624,0.3597,0.2012,0.2768,california,31602
36,0.1536,0.3767,0.2076,0.262,california,36418
37,0.1186,0.3088,0.2143,0.3583,california,35106
38,0.0984,0.243,0.2001,0.4584,california,47189
39,0.1955,0.4054,0.2028,0.1963,california,31593
40,0.1633,0.3449,0.2206,0.2712,california,33977
41,0.1124,0.2429,0.2058,0.4389,california,45593
42,0.1791,0.341,0.2039,0.276,california,32877
43,0.1419,0.2634,0.2104,0.3844,california,42555
44,0.1375,0.3153,0.1914,0.3557,california,36995
45,0.1434,0.29,0.1939,0.3727,california,39630
46,0.1827,0.3281,0.1908,0.2984,california,35258
47,0.1932,0.4157,0.2139,0.1772,california,31391
48,0.1919,0.3832,0.2062,0.2186,california,31145
49,0.1971,0.3395,0.1962,0.2672,california,34194
50,0.0809,0.1765,0.2073,0.5353,california,59062
51,0.2032,0.3887,0.194,0.2141,california,31351
52,0.2127,0.402,0.2056,0.1796,california,30491
53,0.2875,0.4154,0.145,0.1521,california,26698
54,0.1364,0.2789,0.2057,0.379,california,40833
55,0.1106,0.281,0.2222,0.3863,california,43753
56,0.2287,0.412,0.1797,0.1797,california,26759
57,0.1571,0.3867,0.2234,0.2328,california,35539
58,0.1797,0.4011,0.207,0.2122,california,33036
59,0.3479,0.4571,0.1226,0.0723,california,23286
60,0.1632,0.3463,0.2129,0.2776,california,35399
61,0.1785,0.3979,0.2138,0.2098,california,31489
62,0.1544,0.3257,0.1932,0.3267,california,37452
63,0.2305,0.4411,0.1794,0.149,california,29160
64,0.2431,0.4315,0.1779,0.1474,california,27777
65,0.1535,0.3387,0.216,0.2918,california,36060
