district,percent female,state
13,0.5361,connecticut
14,0.5281,connecticut
15,0.5485,connecticut
16,0.5185,connecticut
17,0.5246,connecticut
18,0.571,connecticut
19,0.5099,connecticut
20,0.5417,connecticut
21,0.5117,connecticut
22,0.5385,connecticut
23,0.5257,connecticut
24,0.5576,connecticut
25,0.5155,connecticut
26,0.5114,connecticut
27,0.5279,connecticut
28,0.5505,connecticut
29,0.5404,connecticut
30,0.5182,connecticut
31,0.5202,connecticut
32,0.4945,connecticut
33,0.5298,connecticut
34,0.4944,connecticut
35,0.5176,connecticut
36,0.5183,connecticut
37,0.5355,connecticut
38,0.507,connecticut
39,0.5254,connecticut
40,0.4191,connecticut
41,0.5399,connecticut
42,0.4682,connecticut
43,0.5199,connecticut
44,0.5151,connecticut
45,0.4891,connecticut
46,0.5195,connecticut
47,0.4961,connecticut
48,0.5005,connecticut
49,0.5597,connecticut
50,0.4785,connecticut
51,0.5129,connecticut
52,0.4677,connecticut
53,0.4908,connecticut
54,0.5128,connecticut
55,0.5053,connecticut
56,0.5322,connecticut
57,0.5215,connecticut
58,0.5225,connecticut
59,0.4314,connecticut
60,0.4982,connecticut
61,0.4748,connecticut
62,0.5058,connecticut
63,0.5155,connecticut
64,0.5001,connecticut
65,0.5055,connecticut
66,0.5217,connecticut
67,0.5036,connecticut
68,0.5209,connecticut
69,0.5273,connecticut
70,0.5035,connecticut
71,0.5325,connecticut
72,0.5488,connecticut
73,0.5513,connecticut
74,0.5177,connecticut
75,0.5183,connecticut
76,0.5175,connecticut
77,0.541,connecticut
78,0.5092,connecticut
79,0.5106,connecticut
80,0.4957,connecticut
81,0.523,connecticut
82,0.5206,connecticut
83,0.5186,connecticut
84,0.5554,connecticut
85,0.5492,connecticut
86,0.4914,connecticut
87,0.514,connecticut
88,0.5524,connecticut
89,0.5199,connecticut
90,0.51,connecticut
91,0.5383,connecticut
92,0.5611,connecticut
93,0.5482,connecticut
94,0.5672,connecticut
95,0.5623,connecticut
96,0.5117,connecticut
97,0.5546,connecticut
98,0.5133,connecticut
99,0.5345,connecticut
100,0.5293,connecticut
101,0.5281,connecticut
102,0.5471,connecticut
103,0.4804,connecticut
104,0.5173,connecticut
105,0.5121,connecticut
106,0.5036,connecticut
107,0.5117,connecticut
108,0.5096,connecticut
109,0.5136,connecticut
110,0.5434,connecticut
111,0.5225,connecticut
112,0.5321,connecticut
113,0.5339,connecticut
114,0.5356,connecticut
115,0.5268,connecticut
116,0.4906,connecticut
117,0.5246,connecticut
118,0.5252,connecticut
119,0.5351,connecticut
120,0.5304,connecticut
121,0.5681,connecticut
122,0.5193,connecticut
123,0.5252,connecticut
124,0.569,connecticut
125,0.5313,connecticut
126,0.5405,connecticut
127,0.5201,connecticut
128,0.5872,connecticut
129,0.5285,connecticut
130,0.5508,connecticut
131,0.5258,connecticut
132,0.5276,connecticut
133,0.542,connecticut
134,0.511,connecticut
135,0.5117,connecticut
136,0.5158,connecticut
137,0.5655,connecticut
138,0.5252,connecticut
139,0.5002,connecticut
140,0.5112,connecticut
141,0.5148,connecticut
142,0.52,connecticut
143,0.514,connecticut
144,0.5156,connecticut
145,0.5336,connecticut
146,0.5193,connecticut
147,0.5322,connecticut
148,0.5465,connecticut
149,0.5155,connecticut
150,0.5335,connecticut
151,0.5274,connecticut
1,0.5297,delaware
2,0.5049,delaware
3,0.5791,delaware
4,0.5404,delaware
5,0.5713,delaware
6,0.5287,delaware
7,0.5418,delaware
8,0.5367,delaware
9,0.4339,delaware
10,0.5416,delaware
11,0.5012,delaware
12,0.5214,delaware
13,0.5456,delaware
14,0.5078,delaware
15,0.5345,delaware
16,0.5613,delaware
17,0.5191,delaware
18,0.493,delaware
19,0.5081,delaware
20,0.5296,delaware
21,0.5312,delaware
22,0.5104,delaware
23,0.5387,delaware
24,0.5251,delaware
25,0.5082,delaware
26,0.5405,delaware
27,0.5052,delaware
28,0.5305,delaware
29,0.5159,delaware
30,0.5203,delaware
31,0.5564,delaware
32,0.511,delaware
33,0.5376,delaware
34,0.5253,delaware
35,0.5294,delaware
36,0.5236,delaware
37,0.5527,delaware
38,0.5225,delaware
39,0.5195,delaware
40,0.5264,delaware
41,0.4936,delaware
1,0.5138,florida
2,0.4993,florida
3,0.4882,florida
4,0.4868,florida
5,0.4682,florida
6,0.5052,florida
7,0.4375,florida
8,0.53,florida
9,0.541,florida
10,0.4803,florida
11,0.4986,florida
12,0.5289,florida
13,0.5284,florida
14,0.5384,florida
15,0.5166,florida
16,0.5254,florida
17,0.5167,florida
18,0.5172,florida
19,0.4788,florida
20,0.5194,florida
21,0.5172,florida
