district,native,foreign born,state
1,0.9144,0.0856,alaska
2,0.9345,0.0655,alaska
3,0.9707,0.0293,alaska
4,0.9857,0.0143,alaska
5,0.9405,0.0595,alaska
6,0.9517,0.0483,alaska
7,0.9552,0.0448,alaska
8,0.9628,0.0372,alaska
9,0.9343,0.0657,alaska
10,0.9737,0.0263,alaska
11,0.9731,0.0269,alaska
12,0.9804,0.0196,alaska
13,0.9517,0.0483,alaska
14,0.9631,0.0369,alaska
15,0.8864,0.1136,alaska
16,0.9145,0.0855,alaska
17,0.872,0.128,alaska
18,0.8676,0.1324,alaska
19,0.8506,0.1494,alaska
20,0.8985,0.1015,alaska
21,0.8719,0.1281,alaska
22,0.8804,0.1196,alaska
23,0.8357,0.1643,alaska
24,0.9135,0.0865,alaska
25,0.8425,0.1575,alaska
26,0.8887,0.1113,alaska
27,0.9125,0.0875,alaska
28,0.9447,0.0553,alaska
29,0.9708,0.0292,alaska
30,0.9709,0.0291,alaska
31,0.974,0.026,alaska
32,0.8484,0.1516,alaska
33,0.9071,0.0929,alaska
34,0.9363,0.0637,alaska
35,0.9336,0.0664,alaska
36,0.9292,0.0708,alaska
37,0.7918,0.2082,alaska
38,0.9826,0.0174,alaska
39,0.9855,0.0145,alaska
40,0.9601,0.0399,alaska
1,0.9863,0.0137,arkansas
2,0.9774,0.0226,arkansas
3,0.9438,0.0562,arkansas
4,0.897,0.103,arkansas
5,0.9901,0.0099,arkansas
6,0.9816,0.0184,arkansas
7,0.9844,0.0156,arkansas
8,0.9668,0.0332,arkansas
9,0.9781,0.0219,arkansas
10,0.9831,0.0169,arkansas
11,0.976,0.024,arkansas
12,0.9901,0.0099,arkansas
13,0.9935,0.0065,arkansas
14,0.9793,0.0207,arkansas
15,0.9851,0.0149,arkansas
16,0.9827,0.0173,arkansas
17,0.9872,0.0128,arkansas
18,0.9745,0.0255,arkansas
19,0.956,0.044,arkansas
20,0.9638,0.0362,arkansas
21,0.977,0.023,arkansas
