district,less than highschool,highschool,college or associate,bachelor or higher,state
81,0.1426,0.4154,0.2989,0.1431,arkansas
82,0.1931,0.439,0.2657,0.1022,arkansas
83,0.17,0.4019,0.3036,0.1244,arkansas
84,0.0785,0.2301,0.2767,0.4148,arkansas
85,0.0717,0.202,0.3863,0.34,arkansas
86,0.0481,0.1843,0.4449,0.3227,arkansas
87,0.1705,0.327,0.2837,0.2187,arkansas
88,0.2089,0.2718,0.2511,0.2682,arkansas
89,0.3631,0.3181,0.2443,0.0745,arkansas
90,0.1395,0.287,0.2433,0.3302,arkansas
91,0.1039,0.2827,0.2674,0.346,arkansas
92,0.0993,0.3216,0.2964,0.2827,arkansas
93,0.0742,0.2451,0.243,0.4377,arkansas
94,0.1807,0.3549,0.2556,0.2088,arkansas
95,0.1074,0.3357,0.3208,0.2361,arkansas
96,0.1978,0.3686,0.2593,0.1743,arkansas
97,0.1428,0.3647,0.292,0.2006,arkansas
98,0.1706,0.3302,0.3497,0.1494,arkansas
99,0.1518,0.377,0.3363,0.135,arkansas
100,0.1275,0.3518,0.3535,0.1671,arkansas
1,0.1018,0.2521,0.423,0.2231,california
2,0.1176,0.2366,0.3807,0.2651,california
3,0.1567,0.2511,0.4085,0.1837,california
4,0.1424,0.2145,0.3595,0.2836,california
5,0.1554,0.2659,0.3862,0.1924,california
6,0.0621,0.1909,0.372,0.3749,california
7,0.1546,0.2355,0.3491,0.2608,california
8,0.1065,0.2397,0.4012,0.2526,california
9,0.1647,0.246,0.357,0.2323,california
10,0.102,0.164,0.3066,0.4273,california
11,0.1299,0.2588,0.4044,0.2069,california
12,0.1703,0.2949,0.3662,0.1685,california
13,0.2281,0.2617,0.3467,0.1636,california
14,0.1198,0.2195,0.3584,0.3024,california
15,0.106,0.1516,0.2859,0.4565,california
16,0.0461,0.1206,0.2578,0.5755,california
17,0.1354,0.1294,0.2137,0.5215,california
18,0.1946,0.1914,0.2893,0.3247,california
19,0.106,0.1496,0.2659,0.4785,california
20,0.1335,0.2435,0.2975,0.3255,california
21,0.2817,0.278,0.3287,0.1116,california
22,0.0951,0.1621,0.2761,0.4668,california
23,0.1334,0.2257,0.3884,0.2525,california
24,0.0888,0.1151,0.1889,0.6073,california
25,0.1059,0.1816,0.2528,0.4597,california
26,0.2855,0.2744,0.3129,0.1272,california
27,0.2322,0.2181,0.2883,0.2614,california
28,0.0721,0.1325,0.2501,0.5453,california
29,0.1012,0.1627,0.3604,0.3756,california
30,0.3063,0.2326,0.304,0.1571,california
31,0.373,0.2477,0.2904,0.089,california
32,0.374,0.2871,0.2699,0.069,california
33,0.1843,0.3089,0.3843,0.1225,california
34,0.1519,0.2813,0.3719,0.1949,california
35,0.1668,0.2067,0.3927,0.2338,california
36,0.2028,0.2836,0.3674,0.1463,california
37,0.1341,0.176,0.3708,0.3191,california
38,0.0988,0.2017,0.3651,0.3344,california
39,0.2922,0.2672,0.2715,0.1691,california
40,0.1698,0.2437,0.3557,0.2308,california
41,0.0976,0.1702,0.3221,0.4101,california
42,0.1406,0.2749,0.3627,0.2218,california
43,0.1313,0.1782,0.2882,0.4023,california
44,0.1776,0.1889,0.3269,0.3066,california
45,0.1368,0.2035,0.3093,0.3503,california
46,0.1889,0.202,0.2807,0.3284,california
47,0.2838,0.2889,0.3106,0.1167,california
48,0.2219,0.2823,0.3155,0.1804,california
49,0.2101,0.2362,0.2582,0.2954,california
50,0.0543,0.1024,0.2348,0.6085,california
51,0.3316,0.2117,0.2501,0.2067,california
52,0.2708,0.2705,0.3128,0.1459,california
53,0.368,0.2152,0.2117,0.2052,california
54,0.1389,0.1639,0.3092,0.388,california
55,0.0986,0.1814,0.3337,0.3862,california
56,0.3017,0.2734,0.2991,0.1258,california
57,0.2087,0.2734,0.3348,0.1831,california
58,0.2467,0.2594,0.3088,0.1851,california
59,0.4316,0.2476,0.2474,0.0734,california
60,0.2112,0.2752,0.3353,0.1783,california
61,0.2107,0.28,0.3435,0.1658,california
62,0.1947,0.2015,0.3218,0.282,california
63,0.3463,0.26,0.2842,0.1095,california
64,0.3354,0.2682,0.2916,0.1048,california
65,0.1705,0.2252,0.3287,0.2756,california
66,0.0855,0.1644,0.2906,0.4594,california
67,0.1438,0.2742,0.3886,0.1935,california
68,0.1017,0.165,0.3132,0.4201,california
69,0.3633,0.2483,0.2542,0.1342,california
70,0.1762,0.1895,0.3441,0.2901,california
71,0.1322,0.2726,0.378,0.2172,california
72,0.1762,0.2087,0.3388,0.2763,california
73,0.0612,0.1431,0.3301,0.4656,california
74,0.0625,0.1385,0.3038,0.4952,california
75,0.1574,0.2179,0.3634,0.2613,california
76,0.1086,0.22,0.3401,0.3314,california
77,0.0557,0.1447,0.2893,0.5102,california
78,0.0571,0.1376,0.2966,0.5087,california
79,0.1331,0.2123,0.3797,0.275,california
80,0.2786,0.2652,0.319,0.1372,california
1,0.2142,0.2827,0.2845,0.2186,colorado
2,0.0364,0.093,0.2335,0.6371,colorado
3,0.085,0.1885,0.2722,0.4543,colorado
4,0.2092,0.2211,0.2305,0.3391,colorado
5,0.2239,0.2059,0.2232,0.3471,colorado
6,0.062,0.1372,0.2193,0.5815,colorado
7,0.2171,0.2497,0.2805,0.2527,colorado
8,0.0948,0.1257,0.2505,0.5289,colorado
9,0.0609,0.1686,0.3024,0.4681,colorado
10,0.0358,0.1108,0.3245,0.5289,colorado
11,0.0953,0.2031,0.2972,0.4044,colorado
12,0.0717,0.1681,0.251,0.5092,colorado
13,0.028,0.148,0.3283,0.4957,colorado
14,0.0326,0.1556,0.3396,0.4723,colorado
15,0.0519,0.2202,0.4151,0.3128,colorado
16,0.0682,0.2487,0.401,0.2821,colorado
17,0.1534,0.3055,0.4072,0.1339,colorado
18,0.0822,0.22,0.3744,0.3235,colorado
19,0.0385,0.1829,0.34,0.4386,colorado
20,0.0485,0.1577,0.3587,0.4351,colorado
21,0.0676,0.2827,0.4755,0.1743,colorado
22,0.0404,0.1957,0.3367,0.4271,colorado
23,0.0896,0.2214,0.3306,0.3584,colorado
24,0.0888,0.2228,0.3156,0.3729,colorado
25,0.0351,0.1498,0.2801,0.5349,colorado
26,0.0947,0.2073,0.2698,0.4283,colorado
27,0.0594,0.2256,0.3277,0.3874,colorado
28,0.0887,0.2555,0.33,0.3258,colorado
29,0.0721,0.2502,0.351,0.3267,colorado
30,0.2096,0.276,0.3113,0.2032,colorado
31,0.1366,0.3106,0.3435,0.2093,colorado
32,0.2841,0.3215,0.2759,0.1185,colorado
33,0.045,0.1468,0.2765,0.5318,colorado
34,0.183,0.2967,0.3317,0.1885,colorado
35,0.1469,0.2493,0.3226,0.2812,colorado
36,0.1008,0.2409,0.3641,0.2942,colorado
37,0.0394,0.1467,0.295,0.5189,colorado
38,0.0439,0.1652,0.2859,0.5049,colorado
39,0.0415,0.1785,0.3057,0.4743,colorado
40,0.0705,0.2386,0.3923,0.2986,colorado
41,0.0748,0.247,0.3378,0.3404,colorado
42,0.2121,0.3233,0.3116,0.153,colorado
43,0.0279,0.1226,0.2853,0.5643,colorado
44,0.0355,0.145,0.3023,0.5173,colorado
45,0.0397,0.1529,0.3068,0.5006,colorado
46,0.1175,0.2893,0.3882,0.205,colorado
47,0.1208,0.2933,0.3926,0.1933,colorado
48,0.1016,0.2606,0.3605,0.2772,colorado
49,0.0408,0.2212,0.3341,0.4038,colorado
50,0.1981,0.3052,0.3604,0.1363,colorado
51,0.0635,0.2593,0.3545,0.3227,colorado
52,0.0534,0.157,0.3144,0.4751,colorado
53,0.0339,0.1653,0.4394,0.3614,colorado
54,0.1308,0.3329,0.3391,0.1972,colorado
55,0.0945,0.2642,0.3865,0.2547,colorado
56,0.0939,0.2714,0.3296,0.3051,colorado
57,0.1333,0.3162,0.3057,0.2447,colorado
58,0.1162,0.3016,0.3194,0.2628,colorado
59,0.0632,0.2118,0.3499,0.3752,colorado
60,0.1042,0.336,0.3367,0.223,colorado
61,0.0667,0.2294,0.2842,0.4197,colorado
62,0.1691,0.2897,0.3551,0.1862,colorado
63,0.1093,0.2735,0.3396,0.2776,colorado
64,0.1223,0.3213,0.3648,0.1916,colorado
65,0.149,0.3436,0.3503,0.1571,colorado
1,0.2137,0.2775,0.2958,0.213,connecticut
2,0.0585,0.2172,0.2685,0.4558,connecticut
3,0.3407,0.3213,0.2375,0.1005,connecticut
4,0.2931,0.2209,0.3124,0.1737,connecticut
5,0.1886,0.309,0.3119,0.1905,connecticut
6,0.2638,0.3517,0.2609,0.1236,connecticut
7,0.187,0.2878,0.3832,0.142,connecticut
8,0.0387,0.2645,0.3211,0.3757,connecticut
9,0.0995,0.3142,0.298,0.2883,connecticut
10,0.1534,0.3445,0.3433,0.1588,connecticut
11,0.1279,0.293,0.2814,0.2977,connecticut
12,0.0809,0.2857,0.3311,0.3023,connecticut
13,0.0707,0.2457,0.2722,0.4114,connecticut
14,0.0419,0.2207,0.2673,0.4701,connecticut
15,0.0876,0.2715,0.2993,0.3415,connecticut
16,0.0384,0.116,0.2265,0.619,connecticut
17,0.0383,0.1441,0.2189,0.5987,connecticut
18,0.0545,0.138,0.1892,0.6183,connecticut
19,0.0246,0.0992,0.1664,0.7098,connecticut
20,0.1007,0.2261,0.2448,0.4284,connecticut
21,0.0478,0.1916,0.2126,0.548,connecticut
22,0.1115,0.3327,0.3095,0.2463,connecticut
23,0.0628,0.231,0.243,0.4632,connecticut
24,0.1498,0.3262,0.3012,0.2228,connecticut
25,0.2695,0.4065,0.2367,0.0872,connecticut
26,0.135,0.3389,0.3193,0.2068,connecticut
27,0.0823,0.261,0.2867,0.37,connecticut
28,0.0904,0.2498,0.2611,0.3987,connecticut
29,0.0666,0.2141,0.2679,0.4513,connecticut
30,0.0603,0.2912,0.2746,0.3739,connecticut
31,0.033,0.1501,0.202,0.615,connecticut
32,0.0728,0.2719,0.2549,0.4003,connecticut
33,0.0581,0.2361,0.3815,0.3243,connecticut
34,0.0599,0.2739,0.2844,0.3818,connecticut
35,0.0631,0.2835,0.2724,0.381,connecticut
36,0.0404,0.2455,0.2797,0.4344,connecticut
37,0.0603,0.2374,0.2746,0.4276,connecticut
38,0.0674,0.3278,0.2742,0.3307,connecticut
39,0.1504,0.3267,0.3719,0.151,connecticut
40,0.0384,0.3262,0.3537,0.2817,connecticut
41,0.0727,0.271,0.2547,0.4016,connecticut
42,0.0801,0.3387,0.3207,0.2605,connecticut
43,0.0548,0.2809,0.2568,0.4075,connecticut
44,0.1329,0.3757,0.3225,0.169,connecticut
45,0.1215,0.3894,0.3295,0.1596,connecticut
46,0.1426,0.395,0.3052,0.1572,connecticut
