district,percent of tot. population in poverty,state
1,15.3,alaska
2,6.4,alaska
3,7.4,alaska
4,5.1,alaska
5,5.9,alaska
6,13.0,alaska
7,11.4,alaska
8,9.5,alaska
9,7.8,alaska
10,11.1,alaska
11,8.0,alaska
12,8.4,alaska
13,6.4,alaska
14,2.5,alaska
15,13.0,alaska
16,7.7,alaska
17,7.6,alaska
18,12.8,alaska
19,19.9,alaska
20,16.7,alaska
21,9.7,alaska
22,6.5,alaska
23,6.8,alaska
24,2.5,alaska
25,5.2,alaska
26,6.7,alaska
27,6.4,alaska
28,2.7,alaska
29,12.1,alaska
30,9.6,alaska
31,10.8,alaska
32,9.2,alaska
33,10.0,alaska
34,4.3,alaska
35,11.1,alaska
36,11.0,alaska
37,13.6,alaska
38,26.8,alaska
39,30.1,alaska
40,17.2,alaska
1,23.0,arkansas
2,19.1,arkansas
3,27.7,arkansas
4,20.6,arkansas
5,32.2,arkansas
6,16.6,arkansas
7,22.9,arkansas
8,20.6,arkansas
9,26.4,arkansas
10,15.8,arkansas
11,30.6,arkansas
12,31.3,arkansas
13,18.9,arkansas
14,13.8,arkansas
15,14.1,arkansas
16,24.5,arkansas
17,36.7,arkansas
18,22.0,arkansas
19,18.9,arkansas
20,23.7,arkansas
21,18.6,arkansas
22,17.1,arkansas
23,7.4,arkansas
24,17.5,arkansas
25,27.4,arkansas
26,16.1,arkansas
27,8.3,arkansas
28,10.7,arkansas
29,26.5,arkansas
30,20.4,arkansas
31,7.1,arkansas
32,6.7,arkansas
33,19.6,arkansas
34,24.9,arkansas
35,9.4,arkansas
36,25.9,arkansas
37,37.8,arkansas
38,18.2,arkansas
39,11.2,arkansas
40,14.4,arkansas
41,11.9,arkansas
42,16.4,arkansas
43,12.1,arkansas
44,11.7,arkansas
45,17.4,arkansas
46,20.0,arkansas
47,23.3,arkansas
48,29.7,arkansas
49,21.0,arkansas
50,30.3,arkansas
51,17.4,arkansas
52,16.2,arkansas
53,18.5,arkansas
54,20.0,arkansas
55,32.0,arkansas
56,21.2,arkansas
57,17.9,arkansas
58,19.1,arkansas
59,23.0,arkansas
60,20.8,arkansas
61,20.9,arkansas
62,25.1,arkansas
63,19.2,arkansas
64,15.6,arkansas
65,21.1,arkansas
66,16.7,arkansas
67,10.6,arkansas
68,16.4,arkansas
69,20.5,arkansas
70,16.8,arkansas
71,25.1,arkansas
72,21.8,arkansas
73,16.7,arkansas
74,16.3,arkansas
75,14.9,arkansas
76,18.9,arkansas
77,21.8,arkansas
78,37.8,arkansas
79,20.5,arkansas
80,12.8,arkansas
81,15.1,arkansas
82,21.2,arkansas
83,15.1,arkansas
84,12.8,arkansas
85,21.7,arkansas
86,31.2,arkansas
87,17.1,arkansas
88,16.5,arkansas
89,27.4,arkansas
90,9.2,arkansas
91,8.1,arkansas
92,9.2,arkansas
93,7.9,arkansas
94,18.4,arkansas
95,9.7,arkansas
96,13.3,arkansas
97,14.9,arkansas
98,19.6,arkansas
99,19.3,arkansas
100,13.5,arkansas
1,15.8,california
2,15.9,california
3,20.3,california
4,15.8,california
5,15.5,california
6,7.7,california
7,21.5,california
8,17.9,california
9,16.7,california
10,9.6,california
11,11.5,california
12,14.2,california
13,19.9,california
14,12.6,california
15,14.1,california
16,4.5,california
17,14.2,california
18,18.4,california
19,9.7,california
20,10.0,california
21,23.7,california
22,6.6,california
23,18.5,california
24,8.0,california
25,7.5,california
26,27.5,california
27,14.1,california
28,6.9,california
29,11.6,california
30,15.9,california
31,35.7,california
32,29.9,california
33,23.7,california
34,16.7,california
35,15.4,california
36,21.0,california
37,13.7,california
38,7.5,california
39,18.2,california
40,19.6,california
41,11.9,california
42,17.8,california
43,14.4,california
44,10.8,california
45,14.0,california
46,19.0,california
47,19.5,california
48,13.4,california
49,15.4,california
50,11.5,california
51,23.1,california
52,17.7,california
53,30.9,california
54,17.9,california
55,8.5,california
56,24.3,california
57,12.4,california
58,14.2,california
59,36.0,california
60,13.9,california
61,19.9,california
62,18.1,california
63,20.8,california
64,25.9,california
65,14.9,california
66,8.5,california
67,13.0,california
68,9.4,california
69,20.5,california
70,18.7,california
71,14.6,california
72,14.5,california
73,6.3,california
74,11.2,california
75,13.0,california
76,11.9,california
77,6.4,california
78,14.3,california
79,14.4,california
80,22.1,california
1,18.6,colorado
2,13.0,colorado
3,12.3,colorado
4,23.2,colorado
5,21.9,colorado
6,12.5,colorado
7,14.2,colorado
8,17.2,colorado
9,10.9,colorado
10,18.1,colorado
11,11.7,colorado
12,8.9,colorado
13,16.5,colorado
14,5.7,colorado
15,6.1,colorado
16,13.1,colorado
17,24.6,colorado
18,17.2,colorado
19,4.8,colorado
20,9.1,colorado
21,10.1,colorado
22,4.2,colorado
23,11.7,colorado
24,13.0,colorado
25,4.1,colorado
26,8.7,colorado
27,6.3,colorado
28,10.6,colorado
29,7.2,colorado
30,15.9,colorado
31,8.1,colorado
32,19.1,colorado
33,5.5,colorado
34,13.3,colorado
35,11.3,colorado
36,10.4,colorado
37,3.9,colorado
38,6.1,colorado
39,4.2,colorado
40,8.3,colorado
41,13.2,colorado
42,23.1,colorado
43,3.3,colorado
44,4.9,colorado
45,3.6,colorado
46,17.9,colorado
47,18.4,colorado
48,8.3,colorado
49,7.3,colorado
50,22.8,colorado
51,9.4,colorado
52,12.6,colorado
53,22.8,colorado
54,16.2,colorado
55,16.7,colorado
56,6.4,colorado
57,11.2,colorado
58,17.7,colorado
59,11.7,colorado
60,12.8,colorado
61,11.9,colorado
62,27.1,colorado
63,8.6,colorado
64,14.1,colorado
65,13.4,colorado
1,31.2,connecticut
2,4.4,connecticut
3,39.9,connecticut
4,37.8,connecticut
5,18.9,connecticut
6,22.2,connecticut
7,27.1,connecticut
8,2.7,connecticut
9,12.4,connecticut
10,16.3,connecticut
11,11.3,connecticut
12,11.6,connecticut
13,10.2,connecticut
14,2.8,connecticut
15,6.5,connecticut
16,3.5,connecticut
17,2.8,connecticut
18,8.7,connecticut
19,4.2,connecticut
20,8.9,connecticut
21,6.5,connecticut
22,10.2,connecticut
23,4.5,connecticut
24,15.0,connecticut
25,34.9,connecticut
26,16.2,connecticut
27,4.4,connecticut
28,4.7,connecticut
29,6.8,connecticut
30,4.4,connecticut
31,3.2,connecticut
32,5.3,connecticut
33,9.1,connecticut
34,5.1,connecticut
35,7.2,connecticut
36,5.0,connecticut
37,3.9,connecticut
38,7.2,connecticut
39,31.2,connecticut
40,5.8,connecticut
41,11.9,connecticut
42,5.2,connecticut
43,7.6,connecticut
44,10.2,connecticut
45,8.4,connecticut
46,18.7,connecticut
47,5.0,connecticut
48,5.2,connecticut
49,26.4,connecticut
50,5.9,connecticut
51,8.3,connecticut
52,8.2,connecticut
53,6.9,connecticut
54,20.0,connecticut
55,2.1,connecticut
56,10.7,connecticut
57,4.2,connecticut
58,11.0,connecticut
59,3.8,connecticut
60,5.7,connecticut
61,4.8,connecticut
62,3.1,connecticut
63,9.3,connecticut
64,6.5,connecticut
65,13.4,connecticut
66,6.1,connecticut
67,6.3,connecticut
68,4.2,connecticut
69,7.4,connecticut
70,8.7,connecticut
71,13.6,connecticut
72,31.1,connecticut
73,20.3,connecticut
74,15.9,connecticut
75,40.5,connecticut
76,4.5,connecticut
77,9.0,connecticut
78,6.6,connecticut
79,13.3,connecticut
80,3.4,connecticut
81,4.8,connecticut
82,4.8,connecticut
83,7.3,connecticut
84,22.8,connecticut
85,4.2,connecticut
86,3.0,connecticut
87,3.9,connecticut
88,8.4,connecticut
89,3.0,connecticut
90,3.8,connecticut
91,6.2,connecticut
92,20.4,connecticut
93,31.8,connecticut
94,18.7,connecticut
95,39.6,connecticut
96,14.6,connecticut
97,21.4,connecticut
98,4.9,connecticut
99,9.6,connecticut
100,13.6,connecticut
101,2.7,connecticut
102,5.8,connecticut
103,2.3,connecticut
104,20.2,connecticut
105,5.5,connecticut
106,4.5,connecticut
107,4.1,connecticut
108,5.0,connecticut
109,12.6,connecticut
110,16.6,connecticut
111,2.7,connecticut
112,4.0,connecticut
113,5.9,connecticut
114,4.9,connecticut
115,12.1,connecticut
116,22.9,connecticut
117,6.3,connecticut
118,10.7,connecticut
119,3.9,connecticut
120,4.8,connecticut
121,14.0,connecticut
122,4.0,connecticut
123,1.9,connecticut
124,22.4,connecticut
125,3.0,connecticut
126,13.6,connecticut
127,13.6,connecticut
128,35.8,connecticut
129,16.7,connecticut
130,30.1,connecticut
131,7.0,connecticut
132,3.1,connecticut
133,6.2,connecticut
134,3.1,connecticut
135,2.8,connecticut
136,4.5,connecticut
137,10.4,connecticut
138,3.5,connecticut
139,10.4,connecticut
140,14.2,connecticut
141,4.9,connecticut
142,2.6,connecticut
