district,monthly housing costs - $499 or lower,monthly housing costs - $500 - 999,monthly housing costs - $1000 1999,monthly housing costs - $2000 or higher,monthly housing costs - median,state
1,13.0,19.79,52.22,15.0,1205.0,alaska
2,4.07,16.76,50.16,29.0,1514.0,alaska
3,8.14,16.29,50.76,24.81,1540.0,alaska
4,12.68,29.11,36.72,21.49,1239.0,alaska
5,10.2,28.03,40.62,21.15,1294.0,alaska
6,28.56,21.86,29.55,20.03,987.0,alaska
7,10.46,23.38,48.57,17.59,1281.0,alaska
8,15.3,19.04,44.33,21.32,1410.0,alaska
9,21.34,23.44,38.14,17.09,1134.0,alaska
10,19.38,22.01,39.91,18.7,1236.0,alaska
11,11.3,22.05,44.59,22.06,1371.0,alaska
12,11.59,15.07,37.09,36.24,1644.0,alaska
13,2.78,13.49,38.16,45.57,1890.0,alaska
14,2.88,17.31,26.38,53.44,2068.0,alaska
15,5.89,15.46,53.5,25.15,1440.0,alaska
16,6.2,16.2,52.47,25.13,1538.0,alaska
17,4.18,19.52,51.77,24.53,1400.0,alaska
18,8.63,37.33,40.92,13.13,1067.0,alaska
19,10.13,30.7,45.84,13.32,1129.0,alaska
20,10.04,28.1,44.9,16.96,1153.0,alaska
21,4.67,18.48,48.8,28.05,1526.0,alaska
22,2.24,16.92,40.31,40.54,1774.0,alaska
23,4.94,25.91,44.35,24.8,1446.0,alaska
24,2.74,17.38,33.22,46.65,1917.0,alaska
25,3.05,18.27,40.68,38.0,1752.0,alaska
26,4.56,18.14,44.32,32.99,1531.0,alaska
27,9.78,18.79,44.31,27.12,1576.0,alaska
28,2.79,21.23,26.37,49.61,1984.0,alaska
29,23.8,25.59,35.43,15.18,1019.0,alaska
30,14.97,28.83,45.15,11.06,1107.0,alaska
31,26.19,25.44,35.59,12.79,963.0,alaska
32,13.45,24.64,40.54,21.37,1270.0,alaska
33,15.7,25.81,39.22,19.26,1151.0,alaska
34,5.38,18.01,38.86,37.76,1670.0,alaska
35,23.35,30.0,30.47,16.19,939.0,alaska
36,16.18,27.82,39.0,17.0,1123.0,alaska
37,26.76,34.34,28.81,10.09,775.0,alaska
38,36.78,22.64,30.0,10.59,703.0,alaska
39,38.17,35.46,17.98,8.39,607.0,alaska
40,24.99,36.89,31.15,6.97,813.0,alaska
1,32.2,47.42,17.2,3.18,702.0,arkansas
2,42.75,33.57,21.2,2.48,591.0,arkansas
3,41.71,45.17,11.93,1.19,621.0,arkansas
4,46.06,39.68,13.56,0.7,537.0,arkansas
5,53.66,38.52,7.06,0.75,473.0,arkansas
6,37.23,39.32,20.81,2.64,640.0,arkansas
7,45.0,38.98,13.76,2.25,558.0,arkansas
8,49.91,35.53,14.08,0.48,501.0,arkansas
9,42.82,42.77,13.05,1.36,564.0,arkansas
10,41.93,36.16,20.1,1.81,589.0,arkansas
11,50.41,38.68,9.79,1.12,497.0,arkansas
12,45.91,39.17,14.35,0.58,534.0,arkansas
13,40.18,39.85,18.93,1.04,618.0,arkansas
14,33.27,40.23,23.6,2.9,663.0,arkansas
15,38.72,34.91,23.28,3.09,613.0,arkansas
16,34.35,45.97,18.31,1.37,695.0,arkansas
17,38.58,50.97,10.44,0.01,588.0,arkansas
18,40.05,39.97,17.09,2.89,597.0,arkansas
19,46.8,38.34,13.21,1.65,532.0,arkansas
20,49.34,33.96,15.09,1.61,508.0,arkansas
21,45.98,35.87,14.42,3.74,543.0,arkansas
22,34.95,35.91,24.59,4.55,706.0,arkansas
23,19.48,41.17,29.84,9.51,885.0,arkansas
24,24.29,44.45,26.64,4.62,822.0,arkansas
25,32.96,43.64,20.42,2.98,698.0,arkansas
26,34.52,42.29,20.93,2.26,672.0,arkansas
27,32.17,30.31,35.57,1.94,837.0,arkansas
28,24.64,37.06,35.27,3.03,876.0,arkansas
29,18.77,52.25,26.4,2.58,768.0,arkansas
30,22.02,43.39,30.65,3.93,841.0,arkansas
31,20.01,24.84,34.74,20.4,1115.0,arkansas
32,8.17,26.1,41.8,23.94,1244.0,arkansas
33,14.2,45.98,33.85,5.98,900.0,arkansas
34,18.63,51.29,28.57,1.51,833.0,arkansas
35,9.9,33.5,42.39,14.21,1109.0,arkansas
36,29.29,44.0,24.74,1.97,729.0,arkansas
37,28.66,48.21,22.39,0.74,762.0,arkansas
38,18.45,39.93,36.85,4.77,900.0,arkansas
39,12.35,39.99,36.58,11.08,976.0,arkansas
40,30.94,34.23,31.31,3.52,801.0,arkansas
41,17.84,38.37,38.28,5.5,915.0,arkansas
42,18.61,48.26,32.09,1.04,829.0,arkansas
43,19.1,36.39,40.37,4.14,931.0,arkansas
44,28.11,29.17,38.12,4.6,880.0,arkansas
45,31.16,46.54,18.27,4.03,695.0,arkansas
46,24.97,45.49,25.56,3.98,742.0,arkansas
47,50.48,36.59,12.17,0.76,496.0,arkansas
48,44.63,44.69,10.25,0.43,533.0,arkansas
