district,monthly housing costs - $499 or lower,monthly housing costs - $500 - 999,monthly housing costs - $1000 1999,monthly housing costs - $2000 or higher,monthly housing costs - median,state
49,39.26,45.66,14.38,0.7,589.0,arkansas
50,34.95,46.14,15.75,3.16,648.0,arkansas
51,22.36,50.7,25.07,1.87,784.0,arkansas
52,41.11,38.29,19.23,1.36,608.0,arkansas
53,27.93,41.5,27.76,2.81,780.0,arkansas
54,36.82,45.58,16.62,0.97,655.0,arkansas
55,38.07,48.57,13.07,0.29,595.0,arkansas
56,45.16,42.11,10.53,2.2,537.0,arkansas
57,23.0,50.29,24.8,1.9,737.0,arkansas
58,22.83,41.36,29.29,6.52,833.0,arkansas
59,30.02,49.63,14.89,5.45,704.0,arkansas
60,52.98,34.14,11.55,1.34,473.0,arkansas
61,46.6,38.33,12.87,2.2,525.0,arkansas
62,49.79,35.52,13.06,1.62,502.0,arkansas
63,32.97,43.99,21.2,1.85,664.0,arkansas
64,46.62,35.26,15.46,2.66,536.0,arkansas
65,43.75,36.72,18.38,1.16,581.0,arkansas
66,40.05,38.98,17.16,3.81,598.0,arkansas
67,22.41,29.29,39.68,8.62,980.0,arkansas
68,39.87,35.18,22.55,2.4,621.0,arkansas
69,43.35,39.15,15.98,1.51,592.0,arkansas
70,14.28,44.59,35.95,5.18,887.0,arkansas
71,27.93,48.19,21.36,2.52,714.0,arkansas
72,17.07,56.11,24.25,2.57,803.0,arkansas
73,46.74,34.41,15.85,3.0,540.0,arkansas
74,43.49,39.04,15.49,1.98,560.0,arkansas
75,34.01,37.86,24.08,4.05,705.0,arkansas
76,21.87,43.65,27.88,6.6,790.0,arkansas
77,26.7,45.9,24.45,2.94,759.0,arkansas
78,31.7,55.24,12.6,0.47,642.0,arkansas
79,25.76,52.72,20.64,0.88,708.0,arkansas
80,26.98,39.74,28.72,4.56,803.0,arkansas
81,35.69,35.85,25.25,3.21,667.0,arkansas
82,48.44,36.67,13.05,1.84,520.0,arkansas
83,47.86,33.86,17.46,0.83,519.0,arkansas
84,12.59,42.6,31.34,13.48,928.0,arkansas
85,13.36,39.52,38.94,8.18,965.0,arkansas
86,11.41,53.42,30.61,4.56,839.0,arkansas
87,21.73,36.79,35.76,5.73,879.0,arkansas
88,18.57,46.9,28.01,6.52,810.0,arkansas
89,16.42,60.58,22.34,0.66,796.0,arkansas
90,14.16,26.28,43.23,16.33,1177.0,arkansas
91,14.66,23.98,49.45,11.92,1138.0,arkansas
92,26.41,32.12,31.16,10.31,869.0,arkansas
93,7.13,31.86,47.28,13.73,1136.0,arkansas
94,16.23,50.93,29.56,3.28,848.0,arkansas
95,18.74,30.26,35.11,15.89,1017.0,arkansas
96,28.87,35.44,28.94,6.74,857.0,arkansas
97,36.09,33.84,21.88,8.19,674.0,arkansas
98,38.68,42.31,18.09,0.92,601.0,arkansas
99,46.31,37.05,15.44,1.2,531.0,arkansas
100,40.02,41.2,16.62,2.16,629.0,arkansas
1,15.8,27.32,36.92,19.96,1139.0,california
2,14.39,23.41,34.28,27.92,1302.0,california
3,14.84,30.19,40.14,14.84,1091.0,california
4,9.99,18.81,37.06,34.14,1554.0,california
5,13.17,25.01,40.43,21.38,1253.0,california
6,5.08,15.44,32.78,46.69,1909.0,california
7,9.31,20.5,47.55,22.65,1396.0,california
8,8.9,19.25,51.37,20.47,1356.0,california
9,8.78,19.68,44.72,26.82,1484.0,california
10,6.33,11.44,27.51,54.72,2170.0,california
11,7.19,12.98,32.84,46.99,1927.0,california
12,9.63,20.38,45.93,24.06,1420.0,california
13,9.28,22.24,43.28,25.2,1373.0,california
14,7.44,13.25,34.21,45.09,1884.0,california
15,5.84,12.69,32.82,48.65,1963.0,california
16,3.66,8.48,18.69,69.17,2777.0,california
17,10.91,13.25,24.25,51.59,2074.0,california
18,7.81,14.34,37.09,40.75,1743.0,california
19,6.87,12.02,22.5,58.61,2334.0,california
20,6.36,11.25,26.45,55.94,2167.0,california
21,13.06,28.66,47.12,11.16,1128.0,california
22,4.96,9.23,18.69,67.12,2674.0,california
23,9.17,23.47,46.05,21.32,1323.0,california
24,4.55,8.38,19.2,67.87,2675.0,california
25,5.47,9.18,17.79,67.56,2592.0,california
26,15.99,32.61,41.35,10.05,1022.0,california
27,6.16,11.86,27.08,54.9,2161.0,california
28,4.01,9.56,20.86,65.57,2644.0,california
29,6.77,13.18,26.85,53.2,2115.0,california
30,7.77,15.42,38.23,38.58,1704.0,california
31,16.55,36.71,40.31,6.43,960.0,california
32,16.41,35.43,42.31,5.85,979.0,california
33,13.78,25.46,49.0,11.76,1182.0,california
34,10.72,26.54,44.42,18.32,1244.0,california
35,9.61,17.55,40.09,32.74,1571.0,california
36,10.11,21.78,46.36,21.75,1362.0,california
37,7.98,13.69,33.93,44.39,1846.0,california
38,4.39,10.5,25.71,59.4,2275.0,california
39,7.17,14.35,39.67,38.81,1692.0,california
40,8.44,17.72,44.93,28.9,1535.0,california
41,6.62,12.23,35.45,45.71,1883.0,california
42,12.66,25.56,40.21,21.57,1220.0,california
43,4.49,10.52,43.76,41.23,1784.0,california
44,6.93,11.82,29.1,52.15,2063.0,california
45,3.81,10.23,34.43,51.53,2053.0,california
46,3.94,9.97,46.42,39.66,1740.0,california
47,11.0,16.86,47.16,24.98,1419.0,california
48,11.26,13.59,40.52,34.62,1650.0,california
49,8.85,15.3,42.24,33.61,1565.0,california
50,3.7,7.88,32.31,56.11,2194.0,california
51,8.36,18.71,44.9,28.04,1406.0,california
52,9.72,13.98,47.4,28.9,1572.0,california
53,10.0,21.76,47.27,20.98,1278.0,california
54,4.7,11.3,40.18,43.82,1848.0,california
55,5.77,13.34,29.35,51.54,2047.0,california
56,16.1,31.7,40.19,12.01,1044.0,california
57,12.06,14.4,36.81,36.74,1643.0,california
58,10.56,13.12,44.83,31.49,1584.0,california
59,8.23,22.04,50.6,19.12,1312.0,california
60,7.34,12.81,39.17,40.68,1765.0,california
61,7.64,13.87,51.09,27.4,1567.0,california
62,6.08,11.41,42.56,39.95,1715.0,california
63,9.47,16.58,48.77,25.18,1434.0,california
64,11.13,18.23,46.07,24.57,1395.0,california
65,8.33,10.43,41.49,39.75,1779.0,california
66,6.89,12.41,30.56,50.15,2006.0,california
67,8.05,13.17,34.81,43.97,1847.0,california
68,4.89,9.79,27.25,58.07,2250.0,california
69,8.39,9.61,48.46,33.54,1676.0,california
70,7.14,13.51,45.91,33.44,1557.0,california
71,9.18,14.54,38.45,37.82,1664.0,california
72,11.07,13.7,32.75,42.48,1813.0,california
73,3.96,9.77,21.19,65.08,2450.0,california
74,5.34,9.78,25.77,59.1,2241.0,california
75,6.04,12.51,35.18,46.27,1900.0,california
76,5.93,10.91,32.93,50.22,2008.0,california
77,4.84,10.39,23.95,60.83,2314.0,california
78,5.26,9.62,40.37,44.75,1875.0,california
79,7.77,11.1,35.9,45.23,1872.0,california
80,10.87,14.65,49.53,24.95,1473.0,california
1,15.38,17.09,52.69,14.84,1318.0,colorado
2,6.15,16.71,50.09,27.06,1452.0,colorado
3,8.28,17.9,47.34,26.48,1479.0,colorado
4,16.39,14.86,41.48,27.27,1409.0,colorado
5,13.78,13.27,47.21,25.74,1568.0,colorado
6,7.82,19.01,43.54,29.62,1477.0,colorado
7,6.56,8.04,53.85,31.54,1666.0,colorado
8,11.64,14.97,44.95,28.44,1450.0,colorado
9,8.02,14.99,57.97,19.02,1391.0,colorado
10,5.39,18.0,44.97,31.63,1569.0,colorado
11,11.78,17.44,44.66,26.12,1468.0,colorado
12,9.57,15.78,43.12,31.54,1610.0,colorado
13,11.28,20.06,36.03,32.63,1475.0,colorado
14,7.07,10.41,52.48,30.04,1671.0,colorado
15,10.53,10.87,61.1,17.49,1499.0,colorado
16,14.88,24.06,52.38,8.68,1162.0,colorado
17,12.51,30.78,53.22,3.5,1067.0,colorado
18,15.36,33.16,42.27,9.21,1023.0,colorado
19,9.97,15.73,37.05,37.25,1744.0,colorado
20,10.45,20.75,47.6,21.2,1344.0,colorado
21,10.73,14.48,65.27,9.52,1447.0,colorado
22,8.3,16.52,39.54,35.64,1679.0,colorado
23,11.03,19.02,51.07,18.89,1372.0,colorado
24,10.52,21.03,41.57,26.88,1391.0,colorado
25,7.22,17.73,31.38,43.67,1836.0,colorado
26,10.45,16.08,39.17,34.3,1611.0,colorado
27,10.17,17.48,37.81,34.54,1619.0,colorado
28,10.36,16.85,49.68,23.11,1475.0,colorado
29,10.94,12.99,56.18,19.9,1507.0,colorado
30,6.25,18.0,47.38,28.37,1555.0,colorado
31,9.63,11.66,56.54,22.17,1549.0,colorado
32,14.8,19.16,49.47,16.57,1294.0,colorado
33,6.8,12.61,40.15,40.43,1802.0,colorado
34,9.36,18.06,55.92,16.66,1385.0,colorado
35,11.15,15.68,52.78,20.39,1426.0,colorado
36,7.48,12.27,48.44,31.8,1616.0,colorado
37,4.22,14.67,38.71,42.4,1855.0,colorado
38,10.27,19.37,37.61,32.75,1565.0,colorado
39,8.32,17.82,28.45,45.41,1837.0,colorado
40,8.92,13.74,56.4,20.94,1516.0,colorado
41,9.72,14.95,60.45,14.87,1390.0,colorado
42,10.6,14.32,66.7,8.38,1284.0,colorado
43,5.89,12.84,33.71,47.56,1954.0,colorado
44,3.7,10.45,43.85,42.0,1850.0,colorado
45,3.87,12.4,28.49,55.24,2141.0,colorado
46,22.0,36.52,36.65,4.83,885.0,colorado
47,25.83,32.0,37.21,4.96,866.0,colorado
48,13.64,16.28,50.7,19.38,1419.0,colorado
49,12.01,20.49,35.73,31.77,1513.0,colorado
50,16.62,31.36,47.66,4.36,1028.0,colorado
51,14.35,18.98,49.11,17.56,1335.0,colorado
52,11.28,17.4,50.34,20.99,1441.0,colorado
53,10.93,20.99,50.59,17.49,1338.0,colorado
54,21.59,28.48,42.05,7.89,999.0,colorado
55,22.69,27.31,43.12,6.88,1000.0,colorado
56,7.13,13.3,35.87,43.7,1821.0,colorado
57,16.96,23.91,37.59,21.54,1172.0,colorado
58,30.25,26.59,34.28,8.87,869.0,colorado
59,21.27,22.7,41.04,14.99,1119.0,colorado
60,30.13,24.62,35.13,10.12,907.0,colorado
61,14.93,21.88,39.53,23.65,1285.0,colorado
62,34.08,39.31,23.97,2.64,683.0,colorado
63,11.79,17.63,38.34,32.24,1589.0,colorado
64,28.37,30.66,24.53,16.44,820.0,colorado
65,27.21,35.83,30.85,6.12,805.0,colorado
1,14.82,35.9,42.81,6.47,991.0,connecticut
2,3.15,13.4,37.07,46.38,1889.0,connecticut
3,9.76,31.89,54.31,4.04,1072.0,connecticut
4,11.76,33.9,46.33,8.01,1051.0,connecticut
5,12.78,26.2,46.08,14.94,1202.0,connecticut
6,4.78,28.05,56.79,10.38,1234.0,connecticut
7,11.95,27.94,57.11,3.0,1100.0,connecticut
8,3.51,30.3,38.89,27.3,1442.0,connecticut
9,9.62,21.54,55.15,13.69,1319.0,connecticut
10,9.36,30.11,52.77,7.76,1130.0,connecticut
11,2.63,21.66,64.57,11.15,1372.0,connecticut
12,3.48,21.94,64.59,9.99,1321.0,connecticut
13,3.27,22.05,48.72,25.96,1439.0,connecticut
14,1.59,13.97,39.48,44.97,1878.0,connecticut
15,5.08,15.78,52.43,26.71,1548.0,connecticut
16,1.39,12.75,38.78,47.08,1922.0,connecticut
17,0.66,15.05,39.2,45.08,1818.0,connecticut
18,3.33,11.17,44.77,40.73,1704.0,connecticut
19,0.87,7.21,45.27,46.65,1892.0,connecticut
20,3.61,20.52,53.42,22.45,1416.0,connecticut
21,3.71,16.05,45.79,34.45,1610.0,connecticut
22,4.12,33.82,48.41,13.65,1211.0,connecticut
23,4.42,18.56,38.86,38.16,1661.0,connecticut
24,2.41,24.87,60.37,12.35,1223.0,connecticut
25,16.18,34.72,44.74,4.36,990.0,connecticut
26,4.86,33.52,54.82,6.8,1142.0,connecticut
27,3.98,24.56,48.52,22.94,1437.0,connecticut
28,3.33,17.29,49.11,30.27,1559.0,connecticut
29,2.59,20.47,55.25,21.69,1409.0,connecticut
30,1.89,20.21,42.85,35.05,1607.0,connecticut
31,0.65,12.89,38.99,47.47,1930.0,connecticut
32,3.77,19.73,48.53,27.96,1520.0,connecticut
33,7.11,20.14,53.99,18.76,1352.0,connecticut
34,1.63,24.34,43.79,30.25,1538.0,connecticut
35,3.5,22.2,38.9,35.4,1526.0,connecticut
36,3.73,23.85,34.81,37.61,1629.0,connecticut
37,3.94,20.75,42.6,32.71,1547.0,connecticut
38,4.01,24.52,49.4,22.07,1416.0,connecticut
39,9.73,28.16,54.21,7.9,1129.0,connecticut
40,5.72,20.72,56.39,17.17,1452.0,connecticut
41,6.62,26.45,46.74,20.18,1229.0,connecticut
42,2.64,27.94,48.58,20.84,1386.0,connecticut
43,4.9,24.49,40.02,30.6,1463.0,connecticut
44,9.15,30.24,49.15,11.45,1163.0,connecticut
45,5.67,32.68,46.51,15.14,1265.0,connecticut
46,8.0,31.2,50.39,10.42,1120.0,connecticut
47,6.87,26.65,45.43,21.05,1381.0,connecticut
48,2.88,19.32,49.2,28.59,1585.0,connecticut
49,15.65,34.08,44.99,5.28,1005.0,connecticut
50,5.46,28.49,41.54,24.51,1328.0,connecticut
51,10.67,28.92,50.22,10.19,1135.0,connecticut
52,3.18,29.24,43.69,23.89,1383.0,connecticut
53,2.55,24.08,40.07,33.3,1461.0,connecticut
54,3.01,24.57,48.46,23.97,1396.0,connecticut
55,1.51,20.02,38.89,39.58,1740.0,connecticut
56,5.25,25.45,58.37,10.92,1233.0,connecticut
57,2.75,22.43,44.98,29.84,1498.0,connecticut
58,3.38,30.99,54.73,10.91,1262.0,connecticut
59,2.89,28.26,52.38,16.46,1331.0,connecticut
60,5.41,27.36,47.37,19.87,1347.0,connecticut
61,2.16,20.9,38.64,38.3,1640.0,connecticut
62,1.9,20.91,40.93,36.26,1716.0,connecticut
63,3.51,34.04,47.79,14.66,1167.0,connecticut
64,6.07,28.01,38.89,27.03,1374.0,connecticut
65,6.44,37.98,49.06,6.51,1072.0,connecticut
66,2.8,20.86,44.97,31.36,1587.0,connecticut
67,2.24,18.15,39.24,40.37,1746.0,connecticut
68,2.89,27.38,46.11,23.62,1365.0,connecticut
69,1.2,13.6,45.3,39.9,1706.0,connecticut
70,3.37,23.66,50.47,22.5,1364.0,connecticut
71,4.08,28.84,47.76,19.31,1290.0,connecticut
72,9.9,37.13,46.18,6.79,1037.0,connecticut
73,5.15,27.17,55.14,12.54,1208.0,connecticut
74,8.85,31.21,51.22,8.71,1124.0,connecticut
75,18.86,41.77,37.32,2.05,901.0,connecticut
76,2.1,24.93,39.5,33.47,1607.0,connecticut
77,6.07,29.38,46.82,17.72,1236.0,connecticut
78,2.56,26.47,44.75,26.21,1425.0,connecticut
79,6.4,26.93,57.68,8.99,1269.0,connecticut
80,2.58,24.84,39.95,32.63,1617.0,connecticut
81,5.26,25.06,42.31,27.37,1364.0,connecticut
82,3.39,30.96,47.63,18.03,1307.0,connecticut
83,3.17,27.24,49.09,20.51,1316.0,connecticut
84,12.73,34.26,47.79,5.22,1037.0,connecticut
85,3.54,30.46,48.88,17.12,1241.0,connecticut
86,1.53,20.18,38.13,40.16,1704.0,connecticut
87,1.41,16.15,42.23,40.22,1759.0,connecticut
88,2.2,10.3,55.86,31.64,1688.0,connecticut
89,2.01,15.73,41.04,41.23,1787.0,connecticut
90,1.77,22.41,40.69,35.14,1590.0,connecticut
91,5.09,15.37,48.3,31.23,1561.0,connecticut
92,8.35,13.53,60.36,17.76,1364.0,connecticut
93,15.81,21.02,53.0,10.17,1172.0,connecticut
94,6.67,18.73,52.6,22.0,1414.0,connecticut
95,15.27,21.26,52.8,10.68,1158.0,connecticut
96,2.93,10.94,59.52,26.61,1565.0,connecticut
97,11.85,20.16,56.46,11.53,1244.0,connecticut
98,1.24,15.42,38.46,44.88,1769.0,connecticut
99,4.81,19.86,50.41,24.92,1448.0,connecticut
100,5.57,30.06,46.94,17.43,1193.0,connecticut
101,1.48,11.13,35.25,52.13,2058.0,connecticut
102,3.81,19.38,53.79,23.02,1468.0,connecticut
103,2.35,21.97,41.0,34.67,1606.0,connecticut
104,5.72,28.59,46.52,19.16,1201.0,connecticut
105,3.46,19.11,43.38,34.06,1512.0,connecticut
106,2.0,9.83,33.97,54.21,2135.0,connecticut
107,2.9,11.93,37.73,47.43,1922.0,connecticut
108,2.85,17.89,36.61,42.65,1744.0,connecticut
109,4.29,17.35,45.05,33.3,1630.0,connecticut
110,12.38,19.8,53.56,14.26,1352.0,connecticut
111,1.13,7.38,24.79,66.7,2693.0,connecticut
112,0.93,10.43,32.02,56.62,2279.0,connecticut
113,2.73,22.32,43.75,31.2,1551.0,connecticut
114,0.6,14.81,35.09,49.51,1983.0,connecticut
115,4.6,18.07,60.74,16.59,1313.0,connecticut
116,3.27,23.73,60.69,12.31,1235.0,connecticut
117,4.22,15.83,43.23,36.72,1682.0,connecticut
118,2.8,15.19,51.59,30.41,1655.0,connecticut
119,0.89,18.46,33.43,47.22,1925.0,connecticut
120,1.91,16.59,39.99,41.51,1805.0,connecticut
121,5.67,17.98,48.29,28.07,1571.0,connecticut
122,0.83,16.74,41.12,41.31,1765.0,connecticut
123,1.73,5.92,34.56,57.79,2391.0,connecticut
124,10.62,27.67,52.27,9.43,1164.0,connecticut
125,1.37,2.04,16.97,79.63,3680.0,connecticut
126,7.35,15.88,52.3,24.46,1543.0,connecticut
127,3.13,13.06,56.55,27.26,1513.0,connecticut
128,9.57,24.65,53.13,12.66,1186.0,connecticut
129,7.95,16.51,50.42,25.12,1360.0,connecticut
130,19.04,19.91,54.24,6.82,1165.0,connecticut
131,2.42,22.2,41.65,33.73,1468.0,connecticut
132,1.17,5.75,29.1,63.98,2599.0,connecticut
133,0.88,10.0,37.39,51.73,2059.0,connecticut
134,0.65,5.18,29.23,64.93,2523.0,connecticut
135,2.77,3.72,20.25,73.26,3179.0,connecticut
136,0.54,3.32,20.87,75.28,3372.0,connecticut
137,3.01,13.26,40.78,42.96,1843.0,connecticut
138,0.94,14.34,36.76,47.97,1940.0,connecticut
139,4.88,29.41,49.18,16.53,1261.0,connecticut
140,5.19,14.8,48.81,31.2,1612.0,connecticut
141,1.67,4.41,18.32,75.6,3452.0,connecticut
142,1.68,7.38,29.17,61.77,2344.0,connecticut
143,0.67,5.56,24.03,69.74,2723.0,connecticut
144,0.68,9.77,32.85,56.69,2313.0,connecticut
145,9.19,12.83,36.21,41.76,1816.0,connecticut
146,4.63,4.12,34.27,56.97,2161.0,connecticut
147,1.36,4.35,32.48,61.81,2449.0,connecticut
148,1.29,11.39,43.0,44.31,1877.0,connecticut
149,0.71,5.33,21.11,72.85,3208.0,connecticut
150,4.26,6.59,25.81,63.33,2570.0,connecticut
151,1.87,9.99,21.93,66.2,3031.0,connecticut
1,13.06,28.36,50.68,7.9,,delaware
2,21.84,34.76,40.73,2.67,932.0,delaware
3,17.12,27.31,53.95,1.63,1050.0,delaware
4,8.16,21.83,47.32,22.69,1246.0,delaware
5,11.13,16.64,64.41,7.82,1258.0,delaware
6,10.27,22.99,44.21,22.53,1377.0,delaware
7,13.34,20.93,51.76,13.96,1246.0,delaware
8,11.52,12.25,54.76,21.46,1463.0,delaware
9,8.68,17.62,29.92,43.78,1869.0,delaware
10,12.77,21.19,43.22,22.82,1244.0,delaware
11,22.3,18.52,39.88,19.31,1171.0,delaware
12,8.73,19.71,31.29,40.27,1694.0,delaware
13,15.79,25.02,55.2,3.99,1114.0,delaware
14,22.13,26.0,30.35,21.51,1056.0,delaware
15,9.59,17.09,50.74,22.58,1480.0,delaware
16,16.57,27.62,51.67,4.14,1083.0,delaware
17,20.11,26.25,45.23,8.4,1057.0,delaware
18,12.17,17.91,65.02,4.9,1233.0,delaware
19,23.72,24.88,46.0,5.41,1025.0,delaware
20,24.9,19.27,38.58,17.25,1142.0,delaware
21,15.42,15.6,56.08,12.9,1248.0,delaware
22,9.36,18.09,40.9,31.65,1603.0,delaware
23,9.72,21.06,48.6,20.61,1232.0,delaware
24,16.04,19.46,58.6,5.89,1192.0,delaware
25,10.46,24.07,43.11,22.36,1308.0,delaware
26,6.66,18.26,59.64,15.43,1379.0,delaware
27,11.15,15.67,52.13,21.05,1513.0,delaware
28,16.57,24.37,54.43,4.62,1114.0,delaware
29,18.16,16.84,49.43,15.56,1360.0,delaware
30,23.09,24.65,46.35,5.91,1037.0,delaware
31,15.24,23.62,52.46,8.68,1145.0,delaware
32,17.12,23.26,54.35,5.27,1177.0,delaware
33,23.29,27.79,40.75,8.17,980.0,delaware
34,18.0,22.0,46.68,13.32,1213.0,delaware
35,23.99,29.68,42.03,4.3,920.0,delaware
36,22.2,21.14,47.16,9.5,1095.0,delaware
37,17.17,29.13,38.63,15.07,1063.0,delaware
38,23.15,24.45,32.78,19.62,1077.0,delaware
39,24.31,29.74,38.55,7.4,925.0,delaware
40,28.26,29.56,34.94,7.23,842.0,delaware
41,20.54,29.45,43.06,6.95,1000.0,delaware
1,22.54,32.08,39.97,5.41,937.0,florida
2,18.07,31.61,39.67,10.66,1005.0,florida
3,19.15,27.04,43.88,9.93,1067.0,florida
4,12.06,25.57,47.39,14.99,1192.0,florida
5,35.22,31.02,24.64,9.12,725.0,florida
6,18.66,28.33,44.55,8.46,1048.0,florida
7,38.29,32.23,25.74,3.73,652.0,florida
8,19.81,40.79,36.5,2.9,890.0,florida
9,12.7,25.87,45.57,15.86,1160.0,florida
10,37.42,35.35,22.43,4.8,682.0,florida
11,12.93,21.52,45.3,20.25,1291.0,florida
12,8.02,20.84,57.99,13.15,1268.0,florida
13,20.99,42.83,33.13,3.06,865.0,florida
14,21.81,32.81,40.43,4.96,944.0,florida
15,14.96,29.76,48.44,6.84,1069.0,florida
16,9.0,24.29,53.1,13.61,1226.0,florida
17,8.9,20.48,39.67,30.94,1469.0,florida
18,15.75,24.67,47.07,12.51,1156.0,florida
19,37.56,34.77,25.15,2.52,681.0,florida
20,21.78,40.36,32.16,5.7,857.0,florida
21,19.3,31.67,37.79,11.24,984.0,florida
22,35.7,30.91,28.14,5.24,714.0,florida
23,29.19,38.53,28.57,3.71,803.0,florida
24,20.89,27.87,41.51,9.73,1023.0,florida
25,18.62,29.89,41.29,10.21,1026.0,florida
26,21.64,35.78,37.4,5.18,920.0,florida
27,20.31,27.21,46.38,6.1,1035.0,florida
28,11.32,21.98,46.45,20.26,1339.0,florida
29,8.83,19.95,52.1,19.12,1355.0,florida
30,11.29,20.47,56.59,11.65,1228.0,florida
31,19.96,29.59,38.84,11.61,1010.0,florida
32,20.07,27.97,42.04,9.92,1040.0,florida
33,32.42,34.33,26.3,6.95,698.0,florida
34,39.15,34.87,21.92,4.05,646.0,florida
35,30.68,32.08,33.85,3.4,825.0,florida
36,27.45,36.42,32.52,3.61,833.0,florida
37,17.68,24.51,41.66,16.16,1174.0,florida
38,26.04,25.81,36.83,11.31,958.0,florida
39,20.45,26.17,44.26,9.12,1057.0,florida
