district,non-white,black/afroamerican,state
1,0.33756329693124276,0.05094259044597645,alaska
2,0.30523868735470616,0.11201816510785532,alaska
3,0.2055238792697599,0.038865930846890204,alaska
4,0.15067157712305027,0.005740901213171577,alaska
5,0.33238451046670225,0.04453537330249659,alaska
6,0.34265467429817387,0.010193513218860724,alaska
7,0.1890371533228676,0.012384440955869528,alaska
8,0.1575609756097561,0.006829268292682927,alaska
9,0.1815814147307011,0.01672049171788728,alaska
10,0.15973920130399347,0.004650270866292727,alaska
11,0.18935991016282988,0.014598540145985401,alaska
12,0.1795224759101913,0.024540750937485166,alaska
13,0.25414419812262834,0.05607149990013981,alaska
14,0.14488251242657027,0.011974694984184365,alaska
15,0.5449852110782468,0.1700994891099758,alaska
16,0.5349070553443177,0.09167722855935784,alaska
17,0.4966160056993588,0.04535739729280456,alaska
18,0.4658053018489641,0.0876030296279795,alaska
19,0.6931623931623931,0.10005341880341881,alaska
20,0.4276222700707475,0.07456167333128268,alaska
21,0.3448880575203133,0.026363476939264628,alaska
22,0.38113086313985867,0.02227457699721568,alaska
23,0.4489311163895487,0.027067336905485278,alaska
24,0.2528574760905062,0.026650338231863774,alaska
25,0.45416712906447676,0.046443236044834094,alaska
26,0.3212194281777472,0.009071075898495809,alaska
27,0.34381151207873545,0.031136295854458693,alaska
28,0.18274538036957044,0.027357811375089993,alaska
29,0.1671933352484918,0.012065498419994254,alaska
30,0.21708938685052942,0.006303866042846589,alaska
31,0.13534942820838627,0.0021346886912325287,alaska
32,0.47280405405405407,0.006418918918918919,alaska
33,0.3485537946545321,0.010722318112872012,alaska
34,0.2929060468327484,0.007536965652148898,alaska
35,0.37846517917511835,0.012452107279693486,alaska
36,0.40586024726322095,0.005882032569032187,alaska
37,0.7862608797242829,0.02675389917635376,alaska
38,0.8996044861028336,0.00785609795741453,alaska
39,0.8969516576003285,0.005799035204762394,alaska
40,0.7847685866244201,0.01273056467126853,alaska
1,0.41919261504546707,0.36387434554973824,arkansas
2,0.17782730884775658,0.13599508996349777,arkansas
3,0.4027268728925377,0.2952279724380589,arkansas
4,0.3388055476931786,0.11247523351259553,arkansas
5,0.5821925867817219,0.563836046283585,arkansas
6,0.26463068181818183,0.2391690340909091,arkansas
7,0.42380183091007,0.39733825678898377,arkansas
8,0.3412124787963714,0.29987462202227305,arkansas
9,0.3041643019296254,0.2789798524404086,arkansas
10,0.12919522224397886,0.10088114352849031,arkansas
11,0.5212458990473932,0.4860271156962726,arkansas
12,0.5737557913615304,0.5519354356598416,arkansas
13,0.23060077377910795,0.18837141397182275,arkansas
