district,percent owner-occupied housing units,state
65,65.4,colorado
1,16.2,connecticut
2,80.0,connecticut
3,18.5,connecticut
4,12.3,connecticut
5,59.3,connecticut
6,44.4,connecticut
7,32.0,connecticut
8,90.9,connecticut
9,65.2,connecticut
10,51.6,connecticut
11,44.7,connecticut
12,61.2,connecticut
13,65.4,connecticut
14,85.8,connecticut
15,72.5,connecticut
16,82.7,connecticut
17,87.9,connecticut
18,61.3,connecticut
19,82.6,connecticut
20,69.7,connecticut
21,72.3,connecticut
22,66.1,connecticut
23,82.0,connecticut
24,53.7,connecticut
25,20.1,connecticut
26,48.8,connecticut
27,80.9,connecticut
28,79.7,connecticut
29,63.3,connecticut
30,82.7,connecticut
31,85.9,connecticut
32,82.9,connecticut
33,51.4,connecticut
34,84.1,connecticut
35,83.3,connecticut
36,79.1,connecticut
37,81.6,connecticut
38,85.1,connecticut
39,28.6,connecticut
40,48.8,connecticut
41,51.1,connecticut
42,79.6,connecticut
43,74.3,connecticut
44,68.5,connecticut
45,75.9,connecticut
46,43.9,connecticut
47,83.4,connecticut
48,78.5,connecticut
49,46.2,connecticut
50,81.9,connecticut
51,71.4,connecticut
52,76.4,connecticut
53,84.0,connecticut
54,55.1,connecticut
55,91.2,connecticut
56,46.8,connecticut
57,68.1,connecticut
58,62.7,connecticut
59,85.6,connecticut
60,78.4,connecticut
61,83.6,connecticut
62,91.1,connecticut
63,73.9,connecticut
64,79.1,connecticut
65,55.2,connecticut
66,78.1,connecticut
67,78.5,connecticut
68,80.6,connecticut
69,85.5,connecticut
70,71.7,connecticut
71,70.4,connecticut
72,38.5,connecticut
73,58.3,connecticut
74,42.1,connecticut
75,22.0,connecticut
76,88.9,connecticut
77,70.1,connecticut
78,80.1,connecticut
79,54.2,connecticut
80,88.8,connecticut
81,75.5,connecticut
82,75.6,connecticut
83,78.3,connecticut
84,36.9,connecticut
85,69.4,connecticut
86,89.7,connecticut
87,83.3,connecticut
88,68.5,connecticut
89,90.5,connecticut
90,83.8,connecticut
91,65.2,connecticut
92,32.9,connecticut
93,25.9,connecticut
94,43.7,connecticut
95,19.5,connecticut
96,33.6,connecticut
97,39.4,connecticut
98,85.0,connecticut
99,66.5,connecticut
100,55.8,connecticut
101,88.0,connecticut
102,64.4,connecticut
103,81.2,connecticut
104,53.0,connecticut
105,74.5,connecticut
106,85.7,connecticut
107,82.0,connecticut
108,85.7,connecticut
109,61.7,connecticut
110,37.3,connecticut
111,84.0,connecticut
112,90.2,connecticut
113,77.5,connecticut
114,85.5,connecticut
115,49.0,connecticut
116,46.4,connecticut
117,82.6,connecticut
118,65.5,connecticut
119,86.7,connecticut
120,88.1,connecticut
121,70.3,connecticut
122,86.6,connecticut
123,85.9,connecticut
124,37.2,connecticut
125,76.3,connecticut
126,66.4,connecticut
127,62.1,connecticut
128,19.8,connecticut
129,35.8,connecticut
130,22.8,connecticut
131,74.4,connecticut
132,84.8,connecticut
133,73.3,connecticut
134,92.7,connecticut
135,90.3,connecticut
136,84.7,connecticut
137,51.1,connecticut
138,75.1,connecticut
139,68.8,connecticut
140,38.5,connecticut
141,84.5,connecticut
142,83.2,connecticut
143,80.6,connecticut
144,78.6,connecticut
145,34.2,connecticut
146,27.7,connecticut
147,84.2,connecticut
148,52.7,connecticut
149,81.9,connecticut
150,51.6,connecticut
151,75.5,connecticut
1,56.3,delaware
2,35.7,delaware
3,39.5,delaware
4,61.8,delaware
5,62.3,delaware
6,77.3,delaware
7,72.4,delaware
8,80.4,delaware
9,94.2,delaware
10,65.6,delaware
11,86.5,delaware
12,86.8,delaware
13,72.5,delaware
14,81.9,delaware
15,75.1,delaware
16,65.2,delaware
17,65.8,delaware
18,57.0,delaware
19,71.8,delaware
20,82.9,delaware
21,72.0,delaware
22,91.5,delaware
23,66.4,delaware
24,63.3,delaware
25,55.5,delaware
26,66.0,delaware
27,85.9,delaware
28,68.4,delaware
29,86.9,delaware
30,79.2,delaware
31,52.6,delaware
32,44.1,delaware
33,72.3,delaware
34,75.4,delaware
35,79.2,delaware
36,77.1,delaware
37,72.5,delaware
38,81.9,delaware
39,72.7,delaware
40,74.6,delaware
41,73.9,delaware
1,65.4,florida
2,56.7,florida
3,74.4,florida
4,60.7,florida
5,73.7,florida
6,60.7,florida
7,76.6,florida
8,42.5,florida
9,65.8,florida
10,72.9,florida
11,69.7,florida
12,61.6,florida
13,45.2,florida
14,59.9,florida
15,62.1,florida
16,59.3,florida
17,75.8,florida
18,74.5,florida
19,73.2,florida
20,48.8,florida
21,64.8,florida
22,76.4,florida
23,73.1,florida
24,77.7,florida
25,72.5,florida
26,56.9,florida
27,77.4,florida
28,73.9,florida
29,67.1,florida
30,54.8,florida
31,75.9,florida
32,73.1,florida
33,87.0,florida
34,82.0,florida
35,77.4,florida
36,64.2,florida
37,81.1,florida
38,74.0,florida
39,70.6,florida
40,60.7,florida
41,67.3,florida
42,72.5,florida
43,53.1,florida
44,64.3,florida
45,57.9,florida
46,28.4,florida
47,53.3,florida
48,50.8,florida
49,51.1,florida
50,71.7,florida
51,71.5,florida
52,70.5,florida
53,72.9,florida
54,75.3,florida
55,74.6,florida
56,71.1,florida
57,77.9,florida
58,59.8,florida
59,59.3,florida
60,56.0,florida
61,40.0,florida
62,50.4,florida
63,53.9,florida
64,71.4,florida
65,70.2,florida
66,68.8,florida
67,58.5,florida
68,57.2,florida
69,71.2,florida
70,49.7,florida
71,66.6,florida
72,69.2,florida
73,81.5,florida
74,78.3,florida
75,78.1,florida
76,78.0,florida
77,69.2,florida
78,60.1,florida
79,67.6,florida
80,69.9,florida
81,75.0,florida
82,76.1,florida
83,76.0,florida
84,66.6,florida
85,76.3,florida
86,69.9,florida
87,50.4,florida
88,47.8,florida
89,66.2,florida
90,74.9,florida
91,78.8,florida
92,55.1,florida
93,64.2,florida
94,46.7,florida
95,57.4,florida
96,70.4,florida
97,64.6,florida
98,69.6,florida
99,65.8,florida
100,56.8,florida
101,56.8,florida
102,63.0,florida
103,70.9,florida
104,78.4,florida
105,61.0,florida
106,75.9,florida
107,53.9,florida
108,41.4,florida
109,34.7,florida
110,44.5,florida
111,38.7,florida
112,42.8,florida
113,29.1,florida
114,65.1,florida
115,63.8,florida
116,62.2,florida
117,46.8,florida
118,75.2,florida
119,71.3,florida
120,63.0,florida
1,71.3,georgia
2,75.5,georgia
3,73.2,georgia
4,53.3,georgia
5,62.6,georgia
6,70.6,georgia
7,77.1,georgia
8,77.0,georgia
9,69.7,georgia
10,71.2,georgia
11,72.4,georgia
12,68.1,georgia
13,50.1,georgia
14,71.6,georgia
15,58.7,georgia
16,70.1,georgia
17,76.5,georgia
18,58.2,georgia
19,76.8,georgia
20,73.4,georgia
21,78.5,georgia
22,87.9,georgia
23,70.1,georgia
24,83.7,georgia
25,89.2,georgia
26,81.3,georgia
27,71.7,georgia
28,74.5,georgia
29,47.5,georgia
30,69.9,georgia
31,75.4,georgia
32,71.2,georgia
33,72.0,georgia
34,61.6,georgia
35,70.4,georgia
36,91.9,georgia
37,65.3,georgia
38,67.5,georgia
39,60.6,georgia
40,55.8,georgia
41,56.4,georgia
42,23.0,georgia
43,57.5,georgia
44,73.0,georgia
45,76.7,georgia
46,84.8,georgia
47,74.3,georgia
48,58.1,georgia
49,68.9,georgia
50,72.3,georgia
51,52.9,georgia
52,61.9,georgia
53,46.1,georgia
54,50.2,georgia
55,43.9,georgia
56,32.3,georgia
57,44.2,georgia
58,30.0,georgia
59,42.4,georgia
60,40.2,georgia
61,48.1,georgia
62,64.0,georgia
63,68.7,georgia
64,64.9,georgia
65,62.0,georgia
66,65.4,georgia
67,80.1,georgia
68,73.9,georgia
69,67.8,georgia
70,66.3,georgia
71,84.2,georgia
72,80.9,georgia
73,77.3,georgia
74,38.9,georgia
75,52.4,georgia
76,74.8,georgia
77,40.9,georgia
78,61.7,georgia
79,50.1,georgia
80,47.4,georgia
81,52.7,georgia
82,40.1,georgia
83,59.6,georgia
84,56.7,georgia
85,41.3,georgia
86,56.3,georgia
87,59.2,georgia
88,51.4,georgia
89,62.3,georgia
90,70.0,georgia
91,61.3,georgia
92,42.7,georgia
93,80.5,georgia
94,73.9,georgia
95,54.9,georgia
96,42.9,georgia
97,76.4,georgia
98,72.5,georgia
99,36.4,georgia
