district,percent owner-occupied housing units,state
12,24.5,maine
13,64.4,maine
14,50.1,maine
15,82.9,maine
16,87.8,maine
17,90.0,maine
18,44.6,maine
19,74.4,maine
20,88.0,maine
21,86.9,maine
22,86.8,maine
23,89.9,maine
24,82.0,maine
25,88.8,maine
26,84.9,maine
27,80.7,maine
28,80.7,maine
29,75.7,maine
30,89.0,maine
31,58.9,maine
32,82.0,maine
33,37.1,maine
34,52.8,maine
35,69.9,maine
36,48.7,maine
37,69.4,maine
38,19.1,maine
39,32.1,maine
40,13.7,maine
41,49.6,maine
42,57.6,maine
43,81.9,maine
44,81.0,maine
45,87.9,maine
46,91.1,maine
47,74.7,maine
48,76.8,maine
49,70.2,maine
50,62.7,maine
51,81.6,maine
52,58.5,maine
53,86.9,maine
54,77.2,maine
55,83.3,maine
56,74.0,maine
57,80.4,maine
58,69.2,maine
59,67.3,maine
60,18.9,maine
61,40.6,maine
62,22.1,maine
63,72.4,maine
64,79.8,maine
65,83.1,maine
66,83.9,maine
67,73.7,maine
68,83.4,maine
69,78.0,maine
70,82.2,maine
71,79.1,maine
72,84.0,maine
73,71.3,maine
74,74.4,maine
75,84.8,maine
76,89.0,maine
77,80.6,maine
78,77.0,maine
79,85.7,maine
80,78.2,maine
81,75.5,maine
82,86.9,maine
83,64.8,maine
84,75.1,maine
85,59.1,maine
86,41.4,maine
87,68.7,maine
88,83.1,maine
89,83.7,maine
90,78.7,maine
91,81.2,maine
92,79.9,maine
93,62.2,maine
94,75.7,maine
95,83.8,maine
96,84.5,maine
97,67.0,maine
98,77.9,maine
99,78.7,maine
100,77.9,maine
101,85.6,maine
102,79.9,maine
103,80.5,maine
104,82.5,maine
105,82.6,maine
106,76.1,maine
107,65.1,maine
108,71.1,maine
109,48.3,maine
110,49.2,maine
111,76.9,maine
112,85.0,maine
113,68.7,maine
114,82.8,maine
115,72.5,maine
116,82.9,maine
117,83.9,maine
118,87.0,maine
119,78.0,maine
120,70.3,maine
121,82.1,maine
122,60.9,maine
123,36.6,maine
124,51.1,maine
125,56.7,maine
126,37.3,maine
127,41.4,maine
128,59.9,maine
129,79.0,maine
130,79.1,maine
131,84.2,maine
132,68.0,maine
133,79.0,maine
134,70.2,maine
135,68.1,maine
136,78.0,maine
137,82.3,maine
138,79.2,maine
139,73.7,maine
140,69.5,maine
141,87.0,maine
142,73.0,maine
143,75.0,maine
144,67.0,maine
145,83.3,maine
146,81.7,maine
147,54.3,maine
148,71.5,maine
149,66.4,maine
150,75.6,maine
151,78.4,maine
1st barnstable,80.4,massachusetts
2nd barnstable,72.7,massachusetts
3rd barnstable,80.7,massachusetts
4th barnstable,81.0,massachusetts
"barnstable, dukes & nantucket",72.1,massachusetts
1st berkshire,67.1,massachusetts
2nd berkshire,69.9,massachusetts
3rd berkshire,59.6,massachusetts
4th berkshire,76.5,massachusetts
1st bristol,73.2,massachusetts
2nd bristol,64.5,massachusetts
3rd bristol,61.6,massachusetts
4th bristol,87.4,massachusetts
5th bristol,77.6,massachusetts
6th bristol,40.0,massachusetts
7th bristol,29.1,massachusetts
8th bristol,74.2,massachusetts
9th bristol,71.7,massachusetts
10th bristol,67.0,massachusetts
11th bristol,49.3,massachusetts
12th bristol,82.3,massachusetts
13th bristol,40.7,massachusetts
14th bristol,70.6,massachusetts
1st essex,72.5,massachusetts
2nd essex,86.5,massachusetts
3rd essex,54.5,massachusetts
4th essex,79.3,massachusetts
5th essex,66.4,massachusetts
6th essex,60.1,massachusetts
7th essex,47.7,massachusetts
8th essex,71.7,massachusetts
9th essex,76.4,massachusetts
10th essex,44.7,massachusetts
11th essex,40.2,massachusetts
12th essex,58.8,massachusetts
13th essex,76.0,massachusetts
14th essex,62.8,massachusetts
15th essex,71.9,massachusetts
16th essex,24.6,massachusetts
17th essex,43.4,massachusetts
1st franklin,73.6,massachusetts
2nd franklin,76.2,massachusetts
1st hampden,77.1,massachusetts
2nd hampden,87.6,massachusetts
3rd hampden,76.0,massachusetts
4th hampden,68.1,massachusetts
5th hampden,41.6,massachusetts
6th hampden,57.4,massachusetts
7th hampden,74.3,massachusetts
8th hampden,58.4,massachusetts
9th hampden,62.6,massachusetts
10th hampden,17.7,massachusetts
11th hampden,47.6,massachusetts
12th hampden,80.3,massachusetts
18th essex,87.8,massachusetts
1st hampshire,65.1,massachusetts
2nd hampshire,67.8,massachusetts
3rd hampshire,50.2,massachusetts
1st middlesex,81.2,massachusetts
2nd middlesex,88.4,massachusetts
3rd middlesex,78.5,massachusetts
4th middlesex,58.5,massachusetts
5th middlesex,76.0,massachusetts
6th middlesex,63.7,massachusetts
7th middlesex,52.7,massachusetts
8th middlesex,81.8,massachusetts
9th middlesex,63.0,massachusetts
10th middlesex,40.3,massachusetts
11th middlesex,67.5,massachusetts
12th middlesex,78.1,massachusetts
13th middlesex,78.3,massachusetts
14th middlesex,78.2,massachusetts
15th middlesex,76.7,massachusetts
16th middlesex,58.8,massachusetts
17th middlesex,48.5,massachusetts
18th middlesex,31.3,massachusetts
19th middlesex,86.9,massachusetts
20th middlesex,86.3,massachusetts
21st middlesex,70.6,massachusetts
22nd middlesex,81.9,massachusetts
23rd middlesex,61.8,massachusetts
24th middlesex,57.0,massachusetts
25th middlesex,35.5,massachusetts
26th middlesex,32.8,massachusetts
27th middlesex,33.8,massachusetts
28th middlesex,39.4,massachusetts
29th middlesex,49.6,massachusetts
30th middlesex,64.3,massachusetts
31st middlesex,73.8,massachusetts
32nd middlesex,70.6,massachusetts
33rd middlesex,35.9,massachusetts
34th middlesex,39.3,massachusetts
35th middlesex,56.1,massachusetts
36th middlesex,79.9,massachusetts
37th middlesex,79.5,massachusetts
18th worcester,69.5,massachusetts
5th barnstable,83.5,massachusetts
1st norfolk,56.8,massachusetts
2nd norfolk,48.7,massachusetts
3rd norfolk,56.9,massachusetts
4th norfolk,62.3,massachusetts
5th norfolk,69.3,massachusetts
6th norfolk,72.0,massachusetts
7th norfolk,75.7,massachusetts
8th norfolk,81.2,massachusetts
9th norfolk,84.6,massachusetts
10th norfolk,81.3,massachusetts
11th norfolk,75.3,massachusetts
12th norfolk,65.8,massachusetts
13th norfolk,85.2,massachusetts
14th norfolk,84.4,massachusetts
15th norfolk,44.7,massachusetts
1st plymouth,79.3,massachusetts
2nd plymouth,83.3,massachusetts
3rd plymouth,78.2,massachusetts
4th plymouth,80.7,massachusetts
5th plymouth,81.4,massachusetts
6th plymouth,88.5,massachusetts
7th plymouth,73.0,massachusetts
8th plymouth,75.9,massachusetts
9th plymouth,42.5,massachusetts
10th plymouth,72.4,massachusetts
11th plymouth,66.9,massachusetts
12th plymouth,83.0,massachusetts
1st suffolk,28.0,massachusetts
2nd suffolk,31.7,massachusetts
3rd suffolk,34.5,massachusetts
4th suffolk,36.1,massachusetts
5th suffolk,29.0,massachusetts
6th suffolk,35.9,massachusetts
7th suffolk,13.9,massachusetts
8th suffolk,35.8,massachusetts
9th suffolk,19.3,massachusetts
10th suffolk,72.3,massachusetts
11th suffolk,32.7,massachusetts
12th suffolk,50.3,massachusetts
13th suffolk,43.1,massachusetts
14th suffolk,51.7,massachusetts
15th suffolk,36.6,massachusetts
16th suffolk,53.6,massachusetts
17th suffolk,16.5,massachusetts
18th suffolk,28.1,massachusetts
19th suffolk,49.5,massachusetts
1st worcester,88.0,massachusetts
2nd worcester,66.9,massachusetts
3rd worcester,54.0,massachusetts
4th worcester,55.2,massachusetts
5th worcester,74.7,massachusetts
6th worcester,62.4,massachusetts
7th worcester,77.5,massachusetts
8th worcester,77.5,massachusetts
9th worcester,71.3,massachusetts
10th worcester,73.3,massachusetts
11th worcester,76.8,massachusetts
12th worcester,72.2,massachusetts
13th worcester,62.7,massachusetts
14th worcester,51.2,massachusetts
15th worcester,28.1,massachusetts
16th worcester,36.0,massachusetts
17th worcester,50.0,massachusetts
1,62.2,michigan
2,59.9,michigan
3,55.3,michigan
4,35.4,michigan
5,48.9,michigan
6,34.8,michigan
7,52.7,michigan
8,55.9,michigan
9,53.2,michigan
10,65.5,michigan
11,67.4,michigan
12,63.4,michigan
13,73.2,michigan
14,68.1,michigan
15,66.1,michigan
16,57.4,michigan
17,75.7,michigan
18,74.5,michigan
19,83.9,michigan
20,70.8,michigan
21,80.2,michigan
22,66.3,michigan
23,80.0,michigan
24,68.7,michigan
25,73.6,michigan
26,64.1,michigan
27,64.0,michigan
28,65.7,michigan
29,46.6,michigan
30,73.1,michigan
31,65.6,michigan
32,83.1,michigan
33,91.2,michigan
34,56.6,michigan
35,56.5,michigan
36,76.4,michigan
37,61.2,michigan
38,69.0,michigan
39,78.1,michigan
40,83.6,michigan
41,72.5,michigan
42,86.2,michigan
43,74.2,michigan
44,83.8,michigan
45,74.0,michigan
46,85.5,michigan
47,83.5,michigan
48,74.2,michigan
49,64.2,michigan
50,70.1,michigan
51,84.7,michigan
52,83.6,michigan
53,44.0,michigan
54,52.7,michigan
55,58.8,michigan
56,82.9,michigan
57,76.9,michigan
58,77.0,michigan
59,74.2,michigan
60,48.9,michigan
61,68.5,michigan
62,65.2,michigan
63,78.0,michigan
64,70.9,michigan
65,75.7,michigan
66,77.9,michigan
67,69.3,michigan
68,51.7,michigan
69,51.9,michigan
70,76.0,michigan
71,70.1,michigan
72,65.6,michigan
73,87.9,michigan
74,70.0,michigan
75,44.7,michigan
76,63.3,michigan
77,69.3,michigan
78,76.4,michigan
79,67.8,michigan
80,80.8,michigan
81,80.3,michigan
82,82.2,michigan
83,68.9,michigan
84,81.7,michigan
85,78.2,michigan
86,84.3,michigan
87,81.7,michigan
88,77.8,michigan
89,82.3,michigan
90,71.4,michigan
91,83.3,michigan
92,64.5,michigan
93,79.5,michigan
94,74.3,michigan
95,66.3,michigan
96,75.8,michigan
97,82.4,michigan
98,75.2,michigan
99,66.7,michigan
100,82.1,michigan
101,81.8,michigan
102,74.6,michigan
103,81.5,michigan
104,76.5,michigan
105,82.3,michigan
106,82.6,michigan
107,72.0,michigan
108,78.8,michigan
109,72.0,michigan
110,77.8,michigan
1a,76.9,minnesota
1b,75.3,minnesota
2a,81.2,minnesota
2b,79.2,minnesota
3a,80.0,minnesota
3b,79.6,minnesota
4a,63.5,minnesota
4b,78.8,minnesota
5a,68.5,minnesota
5b,79.5,minnesota
6a,78.7,minnesota
6b,76.5,minnesota
7a,57.9,minnesota
7b,60.0,minnesota
8a,76.5,minnesota
8b,75.5,minnesota
9a,81.8,minnesota
9b,78.2,minnesota
10a,69.0,minnesota
10b,84.3,minnesota
11a,79.7,minnesota
11b,77.2,minnesota
12a,78.2,minnesota
12b,80.9,minnesota
13a,84.5,minnesota
13b,71.5,minnesota
14a,54.1,minnesota
14b,51.7,minnesota
15a,80.1,minnesota
15b,88.4,minnesota
16a,71.9,minnesota
16b,79.0,minnesota
17a,75.2,minnesota
17b,71.6,minnesota
18a,77.2,minnesota
18b,78.0,minnesota
19a,73.6,minnesota
19b,51.9,minnesota
20a,85.4,minnesota
20b,77.7,minnesota
21a,74.2,minnesota
21b,79.4,minnesota
22a,77.8,minnesota
22b,74.7,minnesota
23a,75.3,minnesota
23b,80.2,minnesota
24a,72.2,minnesota
24b,75.2,minnesota
25a,87.4,minnesota
25b,66.5,minnesota
26a,59.2,minnesota
26b,88.3,minnesota
27a,76.3,minnesota
27b,73.0,minnesota
28a,68.5,minnesota
28b,79.8,minnesota
29a,84.5,minnesota
29b,74.4,minnesota
30a,82.1,minnesota
30b,88.1,minnesota
31a,88.1,minnesota
31b,93.4,minnesota
32a,78.9,minnesota
32b,85.6,minnesota
33a,85.6,minnesota
33b,77.1,minnesota
34a,86.3,minnesota
34b,80.6,minnesota
35a,71.2,minnesota
35b,91.8,minnesota
36a,76.7,minnesota
36b,81.9,minnesota
37a,79.8,minnesota
37b,87.3,minnesota
38a,88.0,minnesota
38b,77.6,minnesota
39a,83.4,minnesota
39b,78.6,minnesota
40a,54.0,minnesota
40b,65.3,minnesota
41a,64.0,minnesota
41b,62.2,minnesota
42a,81.3,minnesota
42b,71.3,minnesota
43a,74.2,minnesota
43b,71.4,minnesota
44a,76.8,minnesota
44b,70.5,minnesota
45a,58.3,minnesota
45b,71.5,minnesota
46a,61.8,minnesota
46b,43.9,minnesota
47a,82.8,minnesota
47b,74.3,minnesota
48a,80.8,minnesota
48b,70.5,minnesota
49a,78.7,minnesota
49b,64.1,minnesota
50a,62.9,minnesota
50b,62.7,minnesota
51a,59.1,minnesota
51b,77.7,minnesota
52a,66.9,minnesota
52b,70.8,minnesota
53a,74.0,minnesota
53b,83.8,minnesota
54a,76.7,minnesota
54b,79.0,minnesota
55a,77.0,minnesota
55b,83.0,minnesota
56a,80.5,minnesota
56b,67.2,minnesota
57a,78.9,minnesota
57b,85.1,minnesota
58a,86.3,minnesota
58b,88.7,minnesota
59a,55.6,minnesota
59b,35.6,minnesota
60a,51.7,minnesota
60b,19.9,minnesota
61a,38.3,minnesota
61b,63.2,minnesota
62a,17.8,minnesota
62b,54.7,minnesota
63a,71.2,minnesota
63b,75.6,minnesota
64a,47.1,minnesota
64b,60.5,minnesota
65a,44.0,minnesota
65b,40.6,minnesota
66a,59.9,minnesota
66b,44.7,minnesota
67a,55.8,minnesota
67b,50.1,minnesota
1,61.3,missouri
2,71.0,missouri
3,62.2,missouri
4,75.1,missouri
5,66.0,missouri
6,72.2,missouri
7,69.6,missouri
8,76.4,missouri
9,67.5,missouri
10,54.8,missouri
11,74.8,missouri
12,76.1,missouri
13,75.1,missouri
14,53.7,missouri
15,61.0,missouri
16,79.1,missouri
17,68.5,missouri
18,54.9,missouri
19,50.0,missouri
20,72.8,missouri
21,51.9,missouri
22,45.3,missouri
23,35.9,missouri
24,26.3,missouri
25,68.7,missouri
26,49.6,missouri
27,45.8,missouri
28,63.4,missouri
29,71.9,missouri
30,77.4,missouri
31,64.5,missouri
32,72.4,missouri
33,72.2,missouri
34,87.0,missouri
35,62.0,missouri
36,53.1,missouri
37,64.6,missouri
38,78.8,missouri
39,76.5,missouri
40,77.0,missouri
41,77.0,missouri
42,75.5,missouri
43,73.1,missouri
44,56.4,missouri
45,41.9,missouri
46,52.2,missouri
47,64.8,missouri
48,73.2,missouri
49,69.5,missouri
50,66.9,missouri
51,63.0,missouri
52,56.4,missouri
53,74.4,missouri
54,68.0,missouri
55,85.1,missouri
56,71.5,missouri
57,77.6,missouri
58,72.9,missouri
59,78.9,missouri
60,57.0,missouri
61,78.8,missouri
62,78.4,missouri
63,85.9,missouri
64,77.3,missouri
65,70.8,missouri
66,52.7,missouri
67,75.5,missouri
68,74.0,missouri
69,73.3,missouri
70,64.7,missouri
71,60.2,missouri
72,60.6,missouri
73,49.6,missouri
74,50.8,missouri
75,52.0,missouri
76,53.9,missouri
77,32.2,missouri
78,24.3,missouri
79,33.8,missouri
80,43.0,missouri
81,49.8,missouri
82,61.4,missouri
83,61.6,missouri
84,39.7,missouri
85,60.9,missouri
86,50.8,missouri
87,59.7,missouri
88,74.8,missouri
89,89.4,missouri
90,77.7,missouri
91,77.9,missouri
92,71.7,missouri
93,71.8,missouri
94,68.7,missouri
95,84.0,missouri
96,78.5,missouri
97,74.5,missouri
98,90.6,missouri
99,77.0,missouri
100,82.2,missouri
101,80.2,missouri
102,84.2,missouri
103,86.8,missouri
104,86.9,missouri
105,84.2,missouri
106,60.1,missouri
107,73.2,missouri
108,87.4,missouri
109,72.7,missouri
110,80.9,missouri
111,86.0,missouri
112,88.8,missouri
113,81.7,missouri
114,72.7,missouri
115,81.2,missouri
116,74.3,missouri
117,66.7,missouri
118,77.9,missouri
119,72.6,missouri
120,71.4,missouri
121,55.2,missouri
122,41.4,missouri
123,70.8,missouri
124,81.0,missouri
125,76.9,missouri
126,67.0,missouri
127,74.4,missouri
128,66.3,missouri
129,70.3,missouri
130,74.6,missouri
131,55.2,missouri
132,28.9,missouri
133,68.5,missouri
134,53.4,missouri
135,50.5,missouri
136,63.2,missouri
137,75.0,missouri
138,79.2,missouri
139,71.3,missouri
140,74.6,missouri
141,73.4,missouri
142,70.1,missouri
143,74.0,missouri
144,75.3,missouri
145,77.2,missouri
146,76.7,missouri
147,53.4,missouri
148,69.5,missouri
149,58.7,missouri
150,59.8,missouri
151,68.6,missouri
152,59.3,missouri
153,74.9,missouri
154,70.5,missouri
155,76.7,missouri
156,51.3,missouri
157,72.2,missouri
158,74.8,missouri
159,72.8,missouri
160,69.3,missouri
161,57.8,missouri
162,63.1,missouri
163,69.9,missouri
1,72.4,montana
2,85.6,montana
3,70.2,montana
4,80.1,montana
5,64.3,montana
6,84.5,montana
7,51.5,montana
8,61.3,montana
9,74.0,montana
10,81.3,montana
11,75.2,montana
12,69.7,montana
13,79.5,montana
14,74.6,montana
15,58.5,montana
16,60.4,montana
17,72.5,montana
18,61.9,montana
19,78.6,montana
20,94.1,montana
21,73.3,montana
22,66.1,montana
23,43.4,montana
24,58.4,montana
25,56.4,montana
26,40.7,montana
27,72.5,montana
28,64.1,montana
29,69.0,montana
30,73.4,montana
31,55.1,montana
32,54.5,montana
33,66.8,montana
34,75.7,montana
35,62.9,montana
36,68.9,montana
37,77.2,montana
38,68.3,montana
39,76.2,montana
40,79.8,montana
41,63.0,montana
42,60.1,montana
43,72.3,montana
44,67.5,montana
45,77.1,montana
46,76.6,montana
47,48.5,montana
48,47.7,montana
49,46.8,montana
50,56.4,montana
51,67.2,montana
52,69.9,montana
53,91.7,montana
54,63.1,montana
55,73.9,montana
56,83.1,montana
57,79.5,montana
58,78.0,montana
59,73.1,montana
60,71.8,montana
61,68.4,montana
62,65.5,montana
63,36.7,montana
64,65.5,montana
65,51.3,montana
66,41.2,montana
67,63.2,montana
68,81.8,montana
69,76.2,montana
70,84.7,montana
71,80.0,montana
72,65.7,montana
73,70.5,montana
74,46.7,montana
75,83.7,montana
76,76.4,montana
77,73.1,montana
78,68.0,montana
79,73.0,montana
80,83.6,montana
81,67.5,montana
82,58.0,montana
83,62.9,montana
84,63.4,montana
85,79.5,montana
86,59.6,montana
87,78.1,montana
88,74.5,montana
89,64.2,montana
90,49.7,montana
91,45.6,montana
92,75.5,montana
93,72.6,montana
94,69.4,montana
95,27.2,montana
96,71.3,montana
97,85.7,montana
98,47.9,montana
99,75.8,montana
100,43.0,montana
1,63.6,nevada
2,58.9,nevada
3,48.1,nevada
4,63.2,nevada
5,49.1,nevada
6,35.7,nevada
7,54.8,nevada
8,45.1,nevada
9,49.4,nevada
10,33.6,nevada
11,27.5,nevada
12,63.3,nevada
13,76.3,nevada
14,49.0,nevada
15,43.1,nevada
16,21.1,nevada
17,55.0,nevada
18,51.4,nevada
19,59.8,nevada
20,35.1,nevada
21,59.0,nevada
22,63.2,nevada
23,71.2,nevada
24,28.8,nevada
25,64.6,nevada
26,64.9,nevada
27,55.3,nevada
28,37.9,nevada
29,58.1,nevada
30,45.1,nevada
31,70.5,nevada
32,75.1,nevada
33,70.5,nevada
34,50.0,nevada
35,65.7,nevada
36,68.9,nevada
37,67.4,nevada
38,65.5,nevada
39,70.1,nevada
40,59.8,nevada
41,50.5,nevada
42,40.8,nevada
1,74.4,new mexico
2,64.6,new mexico
3,75.8,new mexico
4,72.0,new mexico
5,71.5,new mexico
6,76.6,new mexico
7,80.0,new mexico
8,79.8,new mexico
9,69.1,new mexico
10,63.3,new mexico
11,48.6,new mexico
12,76.9,new mexico
13,75.9,new mexico
14,66.3,new mexico
15,73.1,new mexico
16,62.4,new mexico
17,62.3,new mexico
18,36.2,new mexico
19,37.4,new mexico
20,59.1,new mexico
21,41.5,new mexico
22,91.5,new mexico
23,58.5,new mexico
24,54.4,new mexico
25,61.4,new mexico
26,68.9,new mexico
27,65.5,new mexico
28,69.9,new mexico
29,80.3,new mexico
30,51.0,new mexico
31,81.5,new mexico
32,65.5,new mexico
33,47.7,new mexico
34,68.7,new mexico
35,59.7,new mexico
36,77.8,new mexico
37,55.2,new mexico
38,72.7,new mexico
39,72.8,new mexico
40,78.5,new mexico
41,74.2,new mexico
42,72.0,new mexico
43,74.6,new mexico
44,89.0,new mexico
45,71.2,new mexico
46,71.5,new mexico
47,75.8,new mexico
48,51.1,new mexico
49,74.5,new mexico
50,84.9,new mexico
51,60.5,new mexico
52,70.1,new mexico
53,63.3,new mexico
54,71.2,new mexico
55,72.9,new mexico
56,73.3,new mexico
57,76.7,new mexico
58,66.3,new mexico
59,72.0,new mexico
60,81.3,new mexico
61,64.7,new mexico
62,72.6,new mexico
63,59.4,new mexico
64,60.9,new mexico
65,78.2,new mexico
66,62.9,new mexico
67,66.4,new mexico
68,78.1,new mexico
69,76.9,new mexico
70,70.2,new mexico
1,78.9,new york
2,84.1,new york
3,74.4,new york
4,78.6,new york
5,80.6,new york
6,70.3,new york
7,74.6,new york
8,87.0,new york
9,85.7,new york
10,82.9,new york
11,71.7,new york
12,86.4,new york
13,77.5,new york
14,91.5,new york
15,82.9,new york
16,80.8,new york
17,91.4,new york
18,58.8,new york
19,81.6,new york
20,73.6,new york
21,77.5,new york
22,81.2,new york
23,51.0,new york
24,59.5,new york
25,55.7,new york
26,68.6,new york
27,42.7,new york
28,46.7,new york
29,56.4,new york
30,39.5,new york
31,51.1,new york
32,43.8,new york
33,72.8,new york
34,33.8,new york
35,32.5,new york
36,20.6,new york
37,20.1,new york
38,41.8,new york
39,23.6,new york
40,35.6,new york
41,53.6,new york
42,20.7,new york
43,17.9,new york
44,34.8,new york
45,36.7,new york
46,33.5,new york
47,34.4,new york
48,33.0,new york
49,33.3,new york
50,18.6,new york
51,22.0,new york
52,37.5,new york
53,10.3,new york
54,24.2,new york
55,13.9,new york
56,20.5,new york
57,22.3,new york
58,39.5,new york
59,60.4,new york
60,20.6,new york
61,52.7,new york
62,81.1,new york
63,70.7,new york
64,63.8,new york
65,17.1,new york
66,29.5,new york
67,31.8,new york
68,8.2,new york
69,27.0,new york
70,11.9,new york
71,12.7,new york
72,6.1,new york
73,49.5,new york
74,18.5,new york
75,25.7,new york
76,26.5,new york
77,4.9,new york
78,7.5,new york
79,9.7,new york
80,23.7,new york
81,32.5,new york
82,43.6,new york
83,37.6,new york
84,5.2,new york
85,15.9,new york
86,3.6,new york
87,19.9,new york
88,73.4,new york
89,35.5,new york
90,55.5,new york
91,51.1,new york
92,71.5,new york
93,70.2,new york
94,83.6,new york
95,67.5,new york
96,74.9,new york
97,63.0,new york
98,67.6,new york
99,74.8,new york
100,64.2,new york
101,73.2,new york
102,74.9,new york
103,68.9,new york
104,53.7,new york
105,78.0,new york
106,69.7,new york
107,75.4,new york
108,38.4,new york
109,60.5,new york
110,69.2,new york
111,65.4,new york
112,76.2,new york
113,68.1,new york
114,72.8,new york
115,70.3,new york
116,63.6,new york
117,66.4,new york
118,74.7,new york
119,57.7,new york
120,72.9,new york
121,73.9,new york
122,78.3,new york
123,57.2,new york
124,70.9,new york
125,56.2,new york
126,73.6,new york
127,76.7,new york
128,60.7,new york
129,47.4,new york
130,79.0,new york
131,72.4,new york
132,74.5,new york
133,75.8,new york
134,74.0,new york
135,78.2,new york
136,62.4,new york
137,42.0,new york
138,52.3,new york
139,74.5,new york
140,65.6,new york
141,40.7,new york
142,69.6,new york
143,73.1,new york
144,77.2,new york
145,70.7,new york
146,72.3,new york
147,81.0,new york
148,72.8,new york
149,50.7,new york
150,70.0,new york
1,77.1,north carolina
2,74.2,north carolina
3,67.4,north carolina
4,72.1,north carolina
5,65.2,north carolina
6,70.8,north carolina
7,57.8,north carolina
8,69.9,north carolina
9,57.3,north carolina
10,69.4,north carolina
11,39.1,north carolina
12,56.6,north carolina
13,72.5,north carolina
14,54.3,north carolina
15,44.5,north carolina
16,74.4,north carolina
17,77.3,north carolina
18,45.9,north carolina
19,65.3,north carolina
20,67.7,north carolina
21,50.5,north carolina
22,71.1,north carolina
23,62.8,north carolina
24,36.6,north carolina
25,77.4,north carolina
26,74.1,north carolina
27,64.7,north carolina
28,68.8,north carolina
29,39.4,north carolina
30,54.7,north carolina
31,53.0,north carolina
32,62.3,north carolina
33,49.6,north carolina
34,47.0,north carolina
35,73.3,north carolina
36,82.7,north carolina
37,79.0,north carolina
38,45.7,north carolina
39,75.6,north carolina
40,71.5,north carolina
41,72.2,north carolina
42,48.7,north carolina
43,46.8,north carolina
44,52.1,north carolina
45,60.8,north carolina
46,69.5,north carolina
47,65.9,north carolina
48,56.5,north carolina
49,67.5,north carolina
50,79.8,north carolina
51,72.4,north carolina
52,73.3,north carolina
53,64.4,north carolina
54,70.7,north carolina
55,74.1,north carolina
56,52.6,north carolina
57,52.7,north carolina
58,50.4,north carolina
59,77.3,north carolina
60,35.0,north carolina
61,68.5,north carolina
62,67.0,north carolina
63,66.5,north carolina
64,63.1,north carolina
65,72.1,north carolina
66,68.7,north carolina
67,71.2,north carolina
68,81.4,north carolina
69,78.1,north carolina
70,67.8,north carolina
71,43.0,north carolina
72,48.1,north carolina
73,75.7,north carolina
74,76.8,north carolina
75,73.5,north carolina
76,68.8,north carolina
77,69.4,north carolina
78,78.8,north carolina
79,71.8,north carolina
80,71.9,north carolina
81,70.8,north carolina
82,76.2,north carolina
83,64.3,north carolina
84,73.4,north carolina
85,73.5,north carolina
86,70.0,north carolina
87,70.6,north carolina
88,61.2,north carolina
89,73.0,north carolina
90,72.6,north carolina
91,71.3,north carolina
92,74.6,north carolina
93,64.4,north carolina
94,74.4,north carolina
95,70.3,north carolina
96,64.3,north carolina
97,76.5,north carolina
98,70.9,north carolina
99,52.5,north carolina
100,38.8,north carolina
101,56.4,north carolina
102,25.6,north carolina
103,79.0,north carolina
104,68.0,north carolina
105,69.0,north carolina
106,41.0,north carolina
107,48.7,north carolina
108,63.5,north carolina
109,64.5,north carolina
110,69.3,north carolina
111,68.1,north carolina
112,72.3,north carolina
113,77.2,north carolina
114,52.3,north carolina
115,72.0,north carolina
116,69.2,north carolina
117,69.5,north carolina
118,74.6,north carolina
119,66.6,north carolina
120,76.8,north carolina
1,72.2,ohio
2,67.8,ohio
3,66.5,ohio
4,66.4,ohio
5,71.7,ohio
6,84.9,ohio
7,75.2,ohio
8,52.7,ohio
9,54.8,ohio
10,33.4,ohio
11,42.8,ohio
12,57.0,ohio
13,41.6,ohio
14,64.5,ohio
15,67.6,ohio
16,76.0,ohio
17,49.9,ohio
18,33.1,ohio
19,67.9,ohio
20,57.2,ohio
21,62.1,ohio
22,42.8,ohio
23,60.5,ohio
24,72.7,ohio
25,42.6,ohio
26,45.0,ohio
27,72.9,ohio
28,67.0,ohio
29,70.6,ohio
30,73.4,ohio
31,41.0,ohio
32,34.5,ohio
33,51.4,ohio
34,48.8,ohio
35,56.3,ohio
36,68.9,ohio
37,78.1,ohio
38,81.2,ohio
39,46.6,ohio
40,68.2,ohio
41,63.0,ohio
42,66.2,ohio
43,64.1,ohio
44,45.6,ohio
45,58.9,ohio
46,61.5,ohio
47,79.6,ohio
48,73.2,ohio
49,56.4,ohio
50,74.9,ohio
51,60.5,ohio
52,83.1,ohio
53,68.1,ohio
54,67.1,ohio
55,70.5,ohio
56,66.8,ohio
57,76.4,ohio
58,61.5,ohio
59,75.4,ohio
60,68.5,ohio
61,79.2,ohio
62,81.1,ohio
63,72.1,ohio
64,69.0,ohio
65,72.4,ohio
66,75.4,ohio
67,79.9,ohio
68,77.1,ohio
69,79.5,ohio
70,75.4,ohio
71,66.6,ohio
72,78.1,ohio
73,65.6,ohio
74,72.2,ohio
75,64.9,ohio
76,83.9,ohio
77,68.6,ohio
78,75.0,ohio
79,62.7,ohio
80,71.6,ohio
81,78.8,ohio
82,74.5,ohio
83,70.9,ohio
84,75.4,ohio
85,70.1,ohio
86,71.2,ohio
87,75.5,ohio
88,72.6,ohio
89,72.4,ohio
90,67.9,ohio
91,68.2,ohio
92,69.6,ohio
93,73.3,ohio
94,65.4,ohio
95,79.1,ohio
