district,non-white,black/afroamerican,state
1,0.36946329085994817,0.08875282696232556,alaska
2,0.25959343406892055,0.06305033155777802,alaska
3,0.17848228984121928,0.02235675216398492,alaska
4,0.10209878491399715,0.0024196517805481037,alaska
5,0.2870739265161576,0.040891987605135016,alaska
6,0.33771304617291603,0.014440656956925937,alaska
7,0.1889276415974849,0.015375546495063123,alaska
8,0.14719932804871647,0.0016273820148039267,alaska
9,0.13958038917273616,0.009294488531362105,alaska
10,0.15861710423706785,0.003951130751234729,alaska
11,0.17755748170446878,0.017283438002802718,alaska
12,0.15595820925654874,0.011507596022813305,alaska
13,0.24227139602993816,0.0517952055537477,alaska
14,0.1656819180624054,0.016407051125543238,alaska
15,0.5002884837295176,0.1386452804061851,alaska
16,0.46206072456683506,0.08951170495899191,alaska
17,0.4014793741109531,0.05058321479374111,alaska
18,0.4497732050005532,0.09210089611682708,alaska
19,0.6680084109342145,0.08987683989185942,alaska
20,0.41784472769409037,0.09721900347624565,alaska
21,0.3521849511154324,0.03467833414357478,alaska
22,0.29284897025171625,0.030663615560640733,alaska
23,0.4189134808853119,0.029433745329117564,alaska
24,0.2515427884877942,0.018731909781005952,alaska
25,0.39835728952772076,0.04364765966408677,alaska
26,0.3233797257997507,0.06449937681761529,alaska
27,0.36786274828164744,0.07674406018293013,alaska
28,0.15641919056553202,0.018547306352184403,alaska
29,0.1728911783644559,0.008692852543464262,alaska
30,0.17736847461076627,0.005291543706115803,alaska
31,0.10501060149536882,0.004296395491574601,alaska
32,0.4463579604578564,0.0015088449531737774,alaska
33,0.30177674569314683,0.010854890100988281,alaska
34,0.28890362511052164,0.010610079575596816,alaska
35,0.36421122698025293,0.01996893720878633,alaska
36,0.3862947240751971,0.004134737306356469,alaska
37,0.7531299795128614,0.03351923514682449,alaska
38,0.8918435875216638,0.007311525129982669,alaska
39,0.8848401147349411,0.006427281419313715,alaska
40,0.766303125702721,0.005621767483696874,alaska
1,0.3979539290741186,0.35617425932919083,arkansas
2,0.18586320056624414,0.1457113441863458,arkansas
3,0.3576594117238022,0.30171754398164247,arkansas
4,0.3099779512126833,0.12123333216673084,arkansas
5,0.5728071815971573,0.5452029175238452,arkansas
6,0.24359313077939235,0.2189894319682959,arkansas
7,0.4270970745712734,0.41060758904322187,arkansas
8,0.36034975017844395,0.30199857244825123,arkansas
9,0.3199230425670801,0.2951867248428213,arkansas
10,0.14535875936781184,0.11100393262595533,arkansas
11,0.5130366374466172,0.48347943358057993,arkansas
12,0.5576943341880642,0.5428711932277214,arkansas
13,0.21925646858117714,0.20294284901905033,arkansas
14,0.2534887829005476,0.2297473944532768,arkansas
15,0.07696584314951875,0.05219083359394003,arkansas
16,0.6381180924054484,0.6025957346131747,arkansas
17,0.8113612857029199,0.7980348476410216,arkansas
18,0.23151683443248872,0.1874349184311003,arkansas
19,0.21752102954921274,0.12696815011862822,arkansas
20,0.08574763875623474,0.006508896671265344,arkansas
21,0.07613745168268378,0.0034753005425724316,arkansas
22,0.05660963157168483,0.01714502552780461,arkansas
23,0.08802972105031169,0.05131918644921604,arkansas
24,0.15226309996331008,0.06654214335745973,arkansas
25,0.24259993896856882,0.1793306886379819,arkansas
26,0.1595823260811174,0.12604082728982005,arkansas
27,0.1406007571526097,0.08961707937690064,arkansas
28,0.10197828548591222,0.06401119030173849,arkansas
29,0.6561017531797869,0.5848057751804744,arkansas
30,0.6676208227932365,0.6083743842364532,arkansas
31,0.13442959331984383,0.060332297871127705,arkansas
32,0.26036430110334924,0.14327218123653457,arkansas
33,0.33204410517387617,0.2697201017811705,arkansas
34,0.6390917389319946,0.5974821238399514,arkansas
35,0.213486260785197,0.1753352507016875,arkansas
36,0.681466381037938,0.6264598161840923,arkansas
37,0.680161943319838,0.6276620256081104,arkansas
38,0.27386951115764674,0.20518945095216282,arkansas
39,0.32029262086513993,0.26138676844783715,arkansas
40,0.10358475263584753,0.07815085158150852,arkansas
41,0.2585018230029831,0.20947961551209812,arkansas
42,0.4077603579601735,0.3417699900946135,arkansas
43,0.08187564801498377,0.011070604368039064,arkansas
44,0.057281848586196414,0.015110975980541197,arkansas
45,0.050502941074101144,0.024329121854442935,arkansas
46,0.14146793239175734,0.08097112426818377,arkansas
47,0.2062749113248254,0.17248692726807327,arkansas
48,0.6147026490301074,0.5770772013191957,arkansas
49,0.3810670753959565,0.35668929275235384,arkansas
50,0.594098739571671,0.566506554949619,arkansas
51,0.4175366114574496,0.3655612527204987,arkansas
52,0.08912478753086815,0.05176229113883455,arkansas
53,0.13582210680084403,0.10043824054536601,arkansas
54,0.14887299230665407,0.09792144688891888,arkansas
55,0.5568085922516303,0.5253548139624089,arkansas
56,0.034177982109127196,0.0049894864392886415,arkansas
57,0.04433609621322932,0.011669104501869008,arkansas
58,0.2173345225202268,0.14467732687774734,arkansas
59,0.2523898689267764,0.19394895042869814,arkansas
60,0.03306402818806278,0.004840374417197565,arkansas
61,0.035427622474398006,0.006158317187932466,arkansas
62,0.03196222024502088,0.007186366436246663,arkansas
63,0.08419684803251924,0.023789691133842,arkansas
64,0.03333447766830307,0.0021284630437021523,arkansas
65,0.12221116953247123,0.09247548671308796,arkansas
66,0.05099009900990099,0.0185997171145686,arkansas
67,0.03957756933666239,0.009649773938862271,arkansas
68,0.04130570835666524,0.0018445930366612867,arkansas
69,0.07342776979401902,0.016150003421610895,arkansas
70,0.22548255864277678,0.1459072679534897,arkansas
71,0.13997764040510324,0.0578718926739445,arkansas
72,0.2838009777003951,0.22500502243353646,arkansas
73,0.15676141257536608,0.024296583405110535,arkansas
74,0.0642316529260711,0.012873361265035816,arkansas
75,0.06576349649397509,0.005786643066240044,arkansas
76,0.2412116679132386,0.0894811994288434,arkansas
77,0.18738744747548855,0.05132395117721603,arkansas
78,0.3775995457449074,0.14397757115480161,arkansas
79,0.12630734787984094,0.01877902897049487,arkansas
80,0.102012871422703,0.014240722990551829,arkansas
81,0.05491816829227972,0.006381220036369648,arkansas
82,0.050227014755959136,0.009577185017026106,arkansas
83,0.034306776297136375,0.0017366033456195067,arkansas
84,0.12721706747459446,0.028498390456352964,arkansas
85,0.14615004325794093,0.04467927326659251,arkansas
86,0.20501152772721756,0.07499089916272297,arkansas
87,0.1838389620301469,0.013706035743814793,arkansas
88,0.314257221900534,0.040886572733706494,arkansas
89,0.4761293869696692,0.02712361403830294,arkansas
90,0.1392650471462562,0.015186675674881767,arkansas
91,0.12623865187207026,0.022963270634308433,arkansas
92,0.06557952514679602,0.007786571355629308,arkansas
93,0.16577678263864967,0.019290389252497417,arkansas
94,0.12112472963229992,0.017303532804614274,arkansas
95,0.07100186683260734,0.01163658991910392,arkansas
96,0.09008921644685802,0.0075316783035945176,arkansas
97,0.08131182660197846,0.010333312330665995,arkansas
98,0.06161441953265023,0.004835818876602076,arkansas
99,0.03381609274484847,0.0024424644810623,arkansas
100,0.03188221586696324,0.0019418846873565654,arkansas
1,0.11448485506459667,0.013811746824449028,california
2,0.19940650526871406,0.012181018038720917,california
3,0.20766513554819235,0.017268237641937207,california
4,0.2751904120927355,0.019676612963907398,california
5,0.14476159887499757,0.01854387704834429,california
6,0.1942526157247921,0.02106199227700245,california
7,0.41664683373240646,0.0962328462364679,california
8,0.31385214635933334,0.08109618413509201,california
9,0.5235666427570017,0.12033353982589416,california
10,0.23000151468308888,0.02051461876671598,california
11,0.4378766838642975,0.1299431363207882,california
12,0.251826858587422,0.029101790228550792,california
13,0.5068871500361932,0.09100258463695134,california
14,0.41714733900880735,0.09984844523603327,california
15,0.47638069305617076,0.13207543318562123,california
16,0.3152870816260578,0.02118152112765966,california
17,0.5053208099135522,0.07087565328863031,california
18,0.6394297046944155,0.21294168863520932,california
19,0.5982479452137158,0.030217032730275355,california
20,0.607156968923957,0.08060239903203419,california
21,0.35855974448712835,0.031188096880557438,california
22,0.4138329049264068,0.017747507326577056,california
23,0.33617597799869986,0.055309049006762,california
24,0.42518709867283583,0.02482863764372162,california
25,0.7160599242448769,0.03035263362362006,california
26,0.19868577958859188,0.015425734539070523,california
27,0.6552324981330937,0.03129117059577077,california
28,0.42414591539082713,0.02374379933749732,california
29,0.25440770213994146,0.02399290809384406,california
30,0.2930123202521123,0.017121800518616857,california
31,0.43080561441012294,0.044487740833240405,california
32,0.28789734034764564,0.05579476558007075,california
33,0.2476008118881835,0.10107631623504623,california
34,0.24674803946112403,0.05173013866754593,california
35,0.20249989686894104,0.02212573738707149,california
36,0.4079903867384547,0.1402669972994548,california
37,0.21029813110297094,0.015025890605705272,california
38,0.29349095094492184,0.03227709456644156,california
39,0.34018538153709343,0.034032219447959776,california
40,0.39553729372389107,0.11203481467332176,california
41,0.38108895835093354,0.08067077806876742,california
42,0.23122191794299957,0.04488209635630186,california
43,0.3313775839860603,0.021343026624592,california
44,0.21722120138946288,0.020195533627078842,california
45,0.35066182856844846,0.04517363597523182,california
46,0.4034075177928698,0.047124639663849124,california
47,0.43799442193252125,0.0953568394482236,california
48,0.5171587157381583,0.02866950862859454,california
49,0.7316931590197935,0.009550382078839379,california
50,0.24566745649897018,0.03896758519963063,california
51,0.5240387489006344,0.025148787922775438,california
52,0.4876992233700282,0.05757317607748104,california
53,0.5998169168037353,0.051689653082422966,california
54,0.5430915810814193,0.2334996370796172,california
55,0.49259707843157907,0.02343995197421774,california
56,0.38544185190452684,0.03177418410286871,california
57,0.47928499938101543,0.017881310232969006,california
58,0.4605007077140835,0.04828042328042328,california
59,0.6860012022356468,0.18658953031808084,california
60,0.3754991448952046,0.04590731224742367,california
61,0.48538694634907226,0.12122436876482631,california
62,0.5585136291919837,0.2382192252173621,california
63,0.4440278796614918,0.06928211368725419,california
64,0.6307343529577243,0.2352362001133529,california
65,0.42480112861231023,0.029581656242795473,california
66,0.44969784572854155,0.05032533207470838,california
67,0.32619861318464605,0.05531025142463399,california
68,0.39033296526638844,0.018734878131952,california
69,0.43090625306068014,0.014149459132235968,california
70,0.4092342181602932,0.10503314427731202,california
71,0.2136077930533644,0.04534261554770908,california
72,0.48700071635007286,0.010094772291249825,california
73,0.22463336738040185,0.01458802002719588,california
74,0.29312779976844133,0.01417438023709505,california
75,0.24302361425454075,0.03032496978251523,california
76,0.20883810684541945,0.03590493601462523,california
77,0.36644294490641766,0.02856734119012454,california
78,0.20945033382600275,0.04059213767561966,california
79,0.4463928320020192,0.1048895479184372,california
80,0.32579702702758667,0.06230238678458063,california
1,0.20044111587774788,0.02680627257083303,colorado
2,0.1300382178048572,0.0302445695307635,colorado
3,0.15671433596545492,0.023094744247540724,colorado
4,0.16573360886718017,0.04210658150165947,colorado
5,0.20138322397588224,0.04937045575456641,colorado
6,0.22241947447137073,0.1006189127077735,colorado
7,0.38276274092160634,0.23738376019533483,colorado
8,0.26785757864167703,0.16893623252068232,colorado
9,0.24456674273023465,0.09769490780851506,colorado
10,0.12249277553558582,0.011132381451721069,colorado
11,0.1033942822507324,0.011200626325891505,colorado
12,0.1224707527039953,0.006094719544796802,colorado
13,0.07435923540940212,0.0076866298455038305,colorado
14,0.1549413341484634,0.03671612311599144,colorado
15,0.2004893123873294,0.07037670030201577,colorado
16,0.17697172486621815,0.05783172557813927,colorado
17,0.42095412844036695,0.12972477064220184,colorado
18,0.16209470295298614,0.05090856474503515,colorado
19,0.10257647399401718,0.020722763678471486,colorado
