feature,mean,std,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14,fold_15,fold_16,fold_17,fold_18,fold_19,fold_20,fold_21,fold_22,fold_23,fold_24,fold_25,fold_26,fold_27,fold_28,fold_29
LogisticRegression(),0.8377157066202999,0.013750102881635055,0.8518518518518519,0.8271604938271605,0.8342151675485009,0.8359788359788359,0.818342151675485,0.8356890459363958,0.823321554770318,0.8533568904593639,0.8480565371024735,0.8462897526501767,0.8377425044091711,0.8289241622574955,0.8589065255731922,0.8271604938271605,0.8518518518518519,0.8551236749116607,0.8180212014134276,0.8409893992932862,0.823321554770318,0.8303886925795053,0.8606701940035273,0.8430335097001763,0.8377425044091711,0.8271604938271605,0.8465608465608465,0.8374558303886925,0.8321554770318021,0.803886925795053,0.833922261484099,0.8621908127208481
KNeighborsClassifier(),0.8433052268152383,0.012571684177562468,0.8271604938271605,0.8395061728395061,0.8677248677248677,0.8253968253968254,0.8324514991181657,0.8533568904593639,0.833922261484099,0.8356890459363958,0.8445229681978799,0.8568904593639576,0.8536155202821869,0.8447971781305115,0.8500881834215167,0.8377425044091711,0.8659611992945326,0.8303886925795053,0.8356890459363958,0.8498233215547704,0.8374558303886925,0.8144876325088339,0.8430335097001763,0.8500881834215167,0.8253968253968254,0.8606701940035273,0.8536155202821869,0.8445229681978799,0.8445229681978799,0.8392226148409894,0.8392226148409894,0.8621908127208481
SVC(probability=True),0.8657227197470618,0.01473759442260549,0.8677248677248677,0.8624338624338624,0.8747795414462081,0.8447971781305115,0.8589065255731922,0.8816254416961131,0.842756183745583,0.8816254416961131,0.8745583038869258,0.8674911660777385,0.8606701940035273,0.8589065255731922,0.8712522045855379,0.8624338624338624,0.8994708994708994,0.872791519434629,0.8498233215547704,0.8780918727915195,0.8498233215547704,0.842756183745583,0.8818342151675485,0.8747795414462081,0.8624338624338624,0.8818342151675485,0.8659611992945326,0.8816254416961131,0.8604240282685512,0.8303886925795053,0.8551236749116607,0.8745583038869258
RandomForestClassifier(),0.856305582041742,0.015363345380071341,0.8571428571428571,0.8659611992945326,0.8694885361552028,0.8430335097001763,0.8536155202821869,0.8763250883392226,0.8392226148409894,0.8692579505300353,0.8604240282685512,0.8445229681978799,0.8712522045855379,0.8465608465608465,0.8712522045855379,0.8694885361552028,0.873015873015873,0.8604240282685512,0.8498233215547704,0.8462897526501767,0.8374558303886925,0.8356890459363958,0.8853615520282186,0.8641975308641975,0.8500881834215167,0.8571428571428571,0.8536155202821869,0.8657243816254417,0.8568904593639576,0.8144876325088339,0.8303886925795053,0.8710247349823321
XGBClassifier(),0.852541427511981,0.014419048011793088,0.8536155202821869,0.8518518518518519,0.8518518518518519,0.8395061728395061,0.8624338624338624,0.8586572438162544,0.8321554770318021,0.8621908127208481,0.8551236749116607,0.8604240282685512,0.8641975308641975,0.8447971781305115,0.873015873015873,0.8395061728395061,0.8747795414462081,0.8604240282685512,0.842756183745583,0.8639575971731449,0.8162544169611308,0.842756183745583,0.8765432098765432,0.8641975308641975,0.8359788359788359,0.8571428571428571,0.8571428571428571,0.8568904593639576,0.8639575971731449,0.8374558303886925,0.8215547703180212,0.8551236749116607
LGBMClassifier(),0.8698396079628901,0.012269469887659618,0.8659611992945326,0.8677248677248677,0.8677248677248677,0.8659611992945326,0.873015873015873,0.8745583038869258,0.8515901060070671,0.8904593639575972,0.8674911660777385,0.8710247349823321,0.8677248677248677,0.8694885361552028,0.8959435626102292,0.8800705467372134,0.8871252204585538,0.8745583038869258,0.8674911660777385,0.8692579505300353,0.8480565371024735,0.8480565371024735,0.892416225749559,0.8747795414462081,0.8606701940035273,0.8800705467372134,0.8747795414462081,0.8639575971731449,0.8710247349823321,0.8515901060070671,0.8480565371024735,0.8745583038869258
HistGradientBoostingClassifier(),0.8707232079238358,0.014605991337045151,0.8765432098765432,0.8641975308641975,0.8677248677248677,0.8747795414462081,0.8659611992945326,0.8710247349823321,0.8639575971731449,0.8939929328621908,0.8692579505300353,0.8515901060070671,0.8694885361552028,0.8589065255731922,0.8835978835978836,0.8747795414462081,0.91005291005291,0.8657243816254417,0.8710247349823321,0.8833922261484098,0.8604240282685512,0.8409893992932862,0.8994708994708994,0.873015873015873,0.8536155202821869,0.8783068783068783,0.8694885361552028,0.8851590106007067,0.8657243816254417,0.8515901060070671,0.8498233215547704,0.8780918727915195
<catboost.core.CatBoostClassifier object at 0x7faf1e07af50>,0.8717237625757451,0.012902488807879219,0.873015873015873,0.873015873015873,0.8747795414462081,0.8589065255731922,0.8659611992945326,0.8763250883392226,0.8533568904593639,0.8869257950530035,0.8657243816254417,0.8604240282685512,0.873015873015873,0.8589065255731922,0.8871252204585538,0.8800705467372134,0.8994708994708994,0.8833922261484098,0.8639575971731449,0.8798586572438163,0.8568904593639576,0.8498233215547704,0.8994708994708994,0.8765432098765432,0.8694885361552028,0.8712522045855379,0.8694885361552028,0.8851590106007067,0.8816254416961131,0.8515901060070671,0.8533568904593639,0.872791519434629
