feature,baseline,2_ordinal_uniform,2_ordinal_quantile,2_ordinal_kmeans,2_onehot_uniform,2_onehot_quantile,2_onehot_kmeans,3_ordinal_uniform,3_ordinal_quantile,3_ordinal_kmeans,3_onehot_uniform,3_onehot_quantile,3_onehot_kmeans,4_ordinal_uniform,4_ordinal_quantile,4_ordinal_kmeans,4_onehot_uniform,4_onehot_quantile,4_onehot_kmeans,5_ordinal_uniform,5_ordinal_quantile,5_ordinal_kmeans,5_onehot_uniform,5_onehot_quantile,5_onehot_kmeans,6_ordinal_uniform,6_ordinal_quantile,6_ordinal_kmeans,6_onehot_uniform,6_onehot_quantile,6_onehot_kmeans,7_ordinal_uniform,7_ordinal_quantile,7_ordinal_kmeans,7_onehot_uniform,7_onehot_quantile,7_onehot_kmeans,8_ordinal_uniform,8_ordinal_quantile,8_ordinal_kmeans,8_onehot_uniform,8_onehot_quantile,8_onehot_kmeans,9_ordinal_uniform,9_ordinal_quantile,9_ordinal_kmeans,9_onehot_uniform,9_onehot_quantile,9_onehot_kmeans,10_ordinal_uniform,10_ordinal_quantile,10_ordinal_kmeans,10_onehot_uniform,10_onehot_quantile,10_onehot_kmeans,p_values
monthly housing costs - $499 or lower,65.7531,68.3766,65.4857,65.21,68.3767,65.4857,65.21,66.1155,65.2967,65.4414,65.3972,65.0584,65.3492,65.8131,65.245,65.273,64.9623,64.9226,64.9104,65.8967,65.3253,65.512,65.2117,64.8688,64.888,65.8084,65.3616,65.3861,64.9232,64.7949,64.6804,65.9479,65.3236,65.4938,64.8889,64.61,64.557,65.8531,65.292,65.4696,64.6422,64.6723,64.4675,65.8545,65.307,65.4832,64.5985,64.5815,64.4202,65.8633,65.4048,65.5186,64.5741,64.6289,64.5075,0.000659105247084655
monthly housing costs - $500 - 999,68.7822,68.5896,68.6173,68.3032,68.5897,68.6173,68.3032,68.9753,68.72,68.6952,66.5614,67.9383,67.9529,68.6932,68.762,68.7781,66.497,67.2466,66.6701,68.8046,68.7732,68.801,66.7713,66.7172,65.9284,68.8222,68.7826,68.7667,66.1241,66.3421,66.0734,68.7801,68.7927,68.8383,65.921,66.1427,65.7554,68.7824,68.7897,68.8131,65.9736,65.8253,65.6613,68.8074,68.7835,68.8101,65.722,65.882,65.6756,68.7889,68.7947,68.8178,65.782,65.8664,65.6078,4.2660452007583704e-13
monthly housing costs - $1000 1999,67.2589,67.7744,67.7829,67.7885,67.7744,67.7829,67.7885,67.6027,67.3179,67.1931,67.5812,67.334,67.2014,67.6587,67.2733,67.2963,67.6125,67.2661,67.2533,67.3951,67.1797,67.1772,67.1008,67.173,67.1756,67.5322,67.1789,67.1645,67.1667,67.1394,67.0744,67.4144,67.1833,67.1996,66.9931,67.0944,67.1293,67.3164,67.2007,67.2095,66.9773,67.1437,67.0803,67.3629,67.1828,67.2039,66.9789,67.1058,67.0432,67.2952,67.1353,67.2018,66.9158,67.1133,67.066,0.10861051086185741
monthly housing costs - $2000 or higher,68.277,68.632,68.5473,68.1859,68.632,68.5473,68.1859,68.4674,68.5057,68.1581,68.4778,68.049,68.1008,68.2206,68.5961,68.0899,68.2015,67.8766,68.1171,68.2537,68.6002,68.2284,68.0147,67.7806,68.1173,68.1292,68.5931,68.1626,68.0921,67.6466,68.1025,68.1739,68.6244,68.219,68.1101,67.5819,68.1056,68.1641,68.6607,68.2418,68.0432,67.5144,68.1637,68.1795,68.6449,68.2306,68.1117,67.4201,68.0924,68.1988,68.6454,68.2553,67.9509,67.3865,68.0018,4.785666332218982e-05
monthly housing costs - median,67.3705,68.7242,67.5483,67.8589,68.724,67.5484,67.8589,68.5097,66.9106,67.7695,68.5002,66.7879,67.6032,67.8311,66.8638,67.2991,67.7739,66.6899,67.2095,67.7281,66.8497,67.1043,67.5281,66.8068,66.7172,67.335,66.8815,67.1567,66.9903,66.7597,66.7366,67.1439,66.8407,67.1415,66.731,66.7073,66.815,67.4722,66.8521,67.1979,67.0096,66.6589,66.8777,67.4685,66.8792,67.1798,67.1558,66.7388,66.8528,67.5551,66.8573,67.1061,67.2576,66.7379,66.7728,0.007518233633039635
percent owner-occupied housing units,54.101,60.449,59.172,56.8691,60.4485,59.1719,56.869,56.7021,57.1356,55.9229,56.675,56.3046,55.7809,57.6223,56.5285,55.3735,57.0908,55.1654,54.8364,56.8645,56.3937,55.489,55.7067,54.7288,54.8062,55.5049,56.1298,55.3402,55.0272,54.4123,54.6476,55.0811,55.8743,54.9763,54.7001,54.2607,54.3033,54.806,55.8175,54.7019,54.4867,54.1785,54.2038,54.8445,55.866,54.6875,54.3989,54.1197,54.1833,54.6469,55.7709,54.4579,54.0726,53.9543,53.9949,0.4289082627852112
average family size,67.1012,67.6218,68.0315,66.871,67.6219,68.0315,66.871,66.887,67.7975,66.8623,66.8986,67.2319,66.5439,67.7469,67.6789,67.1569,67.2969,66.8059,66.4992,67.7545,67.6381,67.1217,66.8502,66.6496,66.363,67.301,67.6423,67.0733,66.3894,66.6235,66.3477,67.1872,67.6456,67.0005,66.2931,66.348,66.2228,67.2927,67.5728,67.0844,66.4342,66.2648,66.2784,67.3483,67.6067,67.0184,66.2285,66.2764,66.2362,67.1844,67.5908,66.9964,65.9954,66.2247,66.1597,0.000821711937730937
foreign born,59.5982,67.5872,62.3596,62.7511,67.5865,62.3596,62.7507,65.408,60.7936,61.1701,65.1019,60.7043,61.1854,63.4078,60.127,60.0161,62.8998,59.8666,60.0295,62.4054,59.7616,59.9245,62.0136,59.4317,59.9273,62.0017,59.7762,59.4448,61.513,59.3251,59.3678,61.3576,59.5878,59.5228,60.838,59.0582,59.4222,60.9253,59.5276,59.4707,60.3422,59.0734,59.2797,60.6031,59.551,59.2244,59.948,59.103,58.9893,60.352,59.5365,59.2248,59.8035,59.0828,58.9896,0.14999232166464807
percent of tot. population in poverty,64.2483,65.5837,67.2225,65.3769,65.5834,67.2225,65.3769,64.2649,66.3477,65.2091,64.2465,65.4983,64.173,64.8303,66.0891,65.0114,64.2996,64.6898,63.5637,64.9954,65.7623,64.736,63.8274,64.0253,63.4465,64.6821,65.7852,64.8213,63.4912,63.8247,63.3849,64.6468,65.779,64.5784,63.4904,63.7769,63.1321,64.3749,65.7776,64.5178,63.3635,63.6371,63.2183,64.3739,65.6954,64.4947,63.3038,63.5491,63.0455,64.4749,65.6349,64.454,63.2897,63.3746,63.2226,0.006510940696381743
"management, business, science, and arts occupations",68.5863,68.1515,68.6861,68.202,68.1516,68.6861,68.2021,68.5763,68.739,68.3771,68.0661,68.0062,68.1108,68.9129,68.7718,68.4196,66.325,67.538,67.3344,68.5898,68.7671,68.6485,65.4565,67.0891,66.5393,68.5455,68.7924,68.6438,65.9543,66.6733,65.8766,68.6038,68.7836,68.587,66.0961,66.2466,65.4692,68.627,68.8036,68.6272,65.5495,66.1652,65.3574,68.5668,68.8008,68.6039,65.0316,65.9038,65.4009,68.5836,68.7902,68.5731,65.397,65.6402,65.1208,2.4796707998272986e-11
