state,district,office,year,target
alaska,001,state house,2020,0
alaska,002,state house,2020,0
alaska,003,state house,2020,0
alaska,004,state house,2020,1
alaska,005,state house,2020,1
alaska,006,state house,2020,0
alaska,007,state house,2020,0
alaska,008,state house,2020,0
alaska,009,state house,2020,0
alaska,010,state house,2020,0
alaska,011,state house,2020,0
alaska,012,state house,2020,0
alaska,013,state house,2020,0
alaska,014,state house,2020,0
alaska,015,state house,2020,0
alaska,016,state house,2020,1
alaska,017,state house,2020,1
alaska,018,state house,2020,1
alaska,019,state house,2020,1
alaska,020,state house,2020,1
alaska,021,state house,2020,1
alaska,022,state house,2020,0
alaska,023,state house,2020,1
alaska,024,state house,2020,0
alaska,025,state house,2020,1
alaska,026,state house,2020,0
alaska,027,state house,2020,1
alaska,028,state house,2020,0
alaska,029,state house,2020,0
alaska,030,state house,2020,0
alaska,031,state house,2020,0
alaska,032,state house,2020,0
alaska,033,state house,2020,1
alaska,034,state house,2020,1
alaska,035,state house,2020,1
alaska,036,state house,2020,2
alaska,037,state house,2020,1
alaska,038,state house,2020,1
alaska,039,state house,2020,1
alaska,040,state house,2020,2
arkansas,001,state house,2020,0
arkansas,002,state house,2020,0
arkansas,003,state house,2020,0
arkansas,004,state house,2020,0
arkansas,005,state house,2020,1
arkansas,006,state house,2020,0
arkansas,007,state house,2020,0
arkansas,008,state house,2020,0
arkansas,009,state house,2020,0
arkansas,010,state house,2020,0
arkansas,011,state house,2020,0
arkansas,013,state house,2020,0
arkansas,014,state house,2020,0
arkansas,015,state house,2020,0
arkansas,016,state house,2020,1
arkansas,017,state house,2020,1
arkansas,018,state house,2020,0
arkansas,019,state house,2020,0
arkansas,020,state house,2020,0
arkansas,021,state house,2020,0
arkansas,022,state house,2020,0
arkansas,023,state house,2020,0
arkansas,024,state house,2020,0
arkansas,025,state house,2020,0
arkansas,026,state house,2020,0
arkansas,027,state house,2020,0
arkansas,028,state house,2020,0
arkansas,029,state house,2020,1
arkansas,030,state house,2020,1
arkansas,031,state house,2020,0
arkansas,032,state house,2020,1
arkansas,033,state house,2020,1
arkansas,034,state house,2020,1
arkansas,035,state house,2020,1
arkansas,036,state house,2020,1
arkansas,037,state house,2020,1
arkansas,038,state house,2020,0
arkansas,039,state house,2020,0
arkansas,040,state house,2020,0
arkansas,041,state house,2020,0
arkansas,042,state house,2020,1
arkansas,043,state house,2020,0
arkansas,044,state house,2020,0
arkansas,047,state house,2020,0
arkansas,048,state house,2020,1
arkansas,049,state house,2020,0
arkansas,050,state house,2020,1
arkansas,051,state house,2020,1
arkansas,052,state house,2020,0
arkansas,053,state house,2020,0
arkansas,054,state house,2020,0
arkansas,055,state house,2020,1
arkansas,056,state house,2020,0
arkansas,057,state house,2020,0
arkansas,058,state house,2020,0
arkansas,059,state house,2020,0
arkansas,060,state house,2020,0
arkansas,061,state house,2020,0
arkansas,062,state house,2020,0
arkansas,063,state house,2020,0
arkansas,064,state house,2020,0
arkansas,065,state house,2020,0
arkansas,066,state house,2020,0
arkansas,067,state house,2020,0
arkansas,068,state house,2020,0
arkansas,069,state house,2020,0
arkansas,070,state house,2020,0
arkansas,071,state house,2020,0
arkansas,072,state house,2020,1
arkansas,073,state house,2020,0
arkansas,074,state house,2020,0
arkansas,075,state house,2020,0
arkansas,076,state house,2020,0
arkansas,077,state house,2020,0
arkansas,078,state house,2020,1
arkansas,079,state house,2020,0
arkansas,080,state house,2020,0
arkansas,081,state house,2020,0
arkansas,082,state house,2020,0
arkansas,083,state house,2020,0
arkansas,084,state house,2020,1
arkansas,085,state house,2020,1
arkansas,086,state house,2020,1
arkansas,087,state house,2020,0
arkansas,088,state house,2020,0
arkansas,089,state house,2020,1
arkansas,090,state house,2020,0
arkansas,091,state house,2020,0
arkansas,092,state house,2020,0
arkansas,093,state house,2020,0
arkansas,094,state house,2020,0
arkansas,095,state house,2020,0
arkansas,096,state house,2020,0
arkansas,097,state house,2020,0
arkansas,098,state house,2020,0
arkansas,099,state house,2020,0
arkansas,100,state house,2020,0
california,001,state house,2020,0
california,002,state house,2020,1
california,003,state house,2020,0
california,004,state house,2020,1
california,005,state house,2020,0
california,006,state house,2020,0
california,007,state house,2020,1
california,008,state house,2020,1
california,009,state house,2020,1
california,010,state house,2020,1
california,011,state house,2020,1
california,012,state house,2020,0
california,013,state house,2020,1
california,014,state house,2020,1
california,015,state house,2020,1
california,016,state house,2020,1
california,017,state house,2020,1
california,018,state house,2020,1
california,019,state house,2020,1
california,020,state house,2020,1
california,021,state house,2020,1
california,022,state house,2020,1
california,023,state house,2020,0
california,024,state house,2020,1
california,025,state house,2020,1
california,026,state house,2020,0
california,027,state house,2020,1
california,028,state house,2020,1
california,029,state house,2020,1
california,030,state house,2020,1
california,031,state house,2020,1
california,032,state house,2020,1
california,033,state house,2020,0
california,034,state house,2020,0
california,035,state house,2020,0
california,036,state house,2020,0
california,037,state house,2020,1
california,038,state house,2020,0
