state,district,office,year,target
florida,19,state house,2016,0
florida,50,state house,2016,0
florida,51,state house,2016,0
florida,53,state house,2016,0
florida,93,state house,2016,0
florida,104,state house,2016,1
florida,103,state house,2016,0
florida,105,state house,2016,0
florida,18,state house,2016,0
florida,106,state house,2016,0
florida,80,state house,2016,0
florida,56,state house,2016,0
florida,13,state house,2016,1
florida,12,state house,2016,0
florida,11,state house,2016,0
florida,14,state house,2016,1
florida,16,state house,2016,0
florida,15,state house,2016,0
florida,2,state house,2016,0
florida,1,state house,2016,0
florida,24,state house,2016,0
florida,8,state house,2016,1
florida,35,state house,2016,0
florida,60,state house,2016,0
florida,58,state house,2016,0
florida,59,state house,2016,0
florida,63,state house,2016,0
florida,70,state house,2016,1
florida,54,state house,2016,0
florida,31,state house,2016,0
florida,79,state house,2016,0
florida,76,state house,2016,0
florida,9,state house,2016,1
florida,73,state house,2016,0
florida,23,state house,2016,0
florida,83,state house,2016,0
florida,82,state house,2016,0
florida,116,state house,2016,0
florida,113,state house,2016,1
florida,118,state house,2016,1
florida,111,state house,2016,0
florida,110,state house,2016,0
florida,115,state house,2016,0
florida,119,state house,2016,0
florida,114,state house,2016,1
florida,112,state house,2016,1
florida,120,state house,2016,0
florida,4,state house,2016,0
florida,46,state house,2016,1
florida,48,state house,2016,1
florida,47,state house,2016,0
florida,30,state house,2016,0
florida,49,state house,2016,1
florida,39,state house,2016,0
florida,43,state house,2016,1
florida,42,state house,2016,0
florida,90,state house,2016,1
florida,91,state house,2016,1
florida,85,state house,2016,0
florida,86,state house,2016,1
florida,36,state house,2016,0
florida,68,state house,2016,1
florida,69,state house,2016,0
florida,66,state house,2016,0
florida,67,state house,2016,0
florida,65,state house,2016,0
florida,40,state house,2016,0
florida,41,state house,2016,0
florida,72,state house,2016,0
florida,74,state house,2016,0
florida,28,state house,2016,0
florida,29,state house,2016,0
florida,26,state house,2016,1
florida,27,state house,2016,0
florida,25,state house,2016,0
hawaii,1,state house,2016,1
hawaii,3,state house,2016,1
hawaii,4,state house,2016,1
hawaii,5,state house,2016,1
hawaii,6,state house,2016,1
hawaii,7,state house,2016,1
hawaii,17,state house,2016,0
hawaii,34,state house,2016,1
hawaii,19,state house,2016,1
hawaii,20,state house,2016,1
hawaii,22,state house,2016,1
hawaii,24,state house,2016,1
hawaii,28,state house,2016,1
hawaii,29,state house,2016,1
hawaii,31,state house,2016,1
hawaii,35,state house,2016,1
hawaii,36,state house,2016,0
hawaii,37,state house,2016,1
hawaii,40,state house,2016,0
hawaii,41,state house,2016,1
hawaii,43,state house,2016,0
hawaii,44,state house,2016,1
hawaii,46,state house,2016,1
hawaii,47,state house,2016,1
hawaii,14,state house,2016,1
hawaii,16,state house,2016,1
hawaii,8,state house,2016,1
hawaii,10,state house,2016,1
hawaii,11,state house,2016,1
hawaii,13,state house,2016,1
idaho,22,state house,2016,0
idaho,14,state house,2016,0
idaho,15,state house,2016,0
idaho,20,state house,2016,0
idaho,16,state house,2016,1
idaho,9,state house,2016,0
idaho,28,state house,2016,0
idaho,29,state house,2016,1
idaho,31,state house,2016,0
idaho,8,state house,2016,0
idaho,1,state house,2016,0
idaho,7,state house,2016,0
idaho,30,state house,2016,0
idaho,33,state house,2016,0
idaho,34,state house,2016,0
idaho,35,state house,2016,0
idaho,13,state house,2016,0
idaho,11,state house,2016,0
idaho,23,state house,2016,0
idaho,25,state house,2016,0
idaho,2,state house,2016,0
idaho,3,state house,2016,0
idaho,4,state house,2016,0
idaho,24,state house,2016,0
illinois,94,state house,2016,0
illinois,118,state house,2016,1
illinois,107,state house,2016,0
illinois,70,state house,2016,0
illinois,69,state house,2016,0
illinois,93,state house,2016,0
illinois,73,state house,2016,0
illinois,74,state house,2016,0
illinois,76,state house,2016,0
illinois,100,state house,2016,0
illinois,71,state house,2016,0
illinois,89,state house,2016,0
illinois,104,state house,2016,0
illinois,102,state house,2016,0
illinois,103,state house,2016,1
illinois,101,state house,2016,0
illinois,95,state house,2016,0
illinois,96,state house,2016,1
illinois,110,state house,2016,0
illinois,109,state house,2016,0
illinois,108,state house,2016,0
illinois,29,state house,2016,1
illinois,33,state house,2016,1
illinois,34,state house,2016,1
illinois,25,state house,2016,1
illinois,31,state house,2016,1
illinois,26,state house,2016,1
illinois,6,state house,2016,1
illinois,32,state house,2016,1
illinois,5,state house,2016,1
illinois,28,state house,2016,1
illinois,36,state house,2016,1
illinois,27,state house,2016,1
illinois,35,state house,2016,1
illinois,1,state house,2016,1
illinois,22,state house,2016,1
illinois,20,state house,2016,0
illinois,19,state house,2016,1
illinois,15,state house,2016,1
illinois,77,state house,2016,1
illinois,3,state house,2016,1
illinois,55,state house,2016,1
illinois,57,state house,2016,1
illinois,17,state house,2016,1
illinois,59,state house,2016,1
illinois,53,state house,2016,0
illinois,58,state house,2016,1
illinois,18,state house,2016,1
illinois,21,state house,2016,1
illinois,37,state house,2016,0
illinois,23,state house,2016,1
illinois,47,state house,2016,0
illinois,82,state house,2016,0
illinois,24,state house,2016,1
illinois,8,state house,2016,1
illinois,38,state house,2016,1
illinois,2,state house,2016,1
illinois,43,state house,2016,1
illinois,44,state house,2016,1
illinois,52,state house,2016,0
illinois,78,state house,2016,1
illinois,7,state house,2016,1
illinois,4,state house,2016,1
illinois,10,state house,2016,1
illinois,40,state house,2016,1
illinois,11,state house,2016,1
illinois,12,state house,2016,1
illinois,13,state house,2016,1
illinois,39,state house,2016,1
illinois,16,state house,2016,1
illinois,9,state house,2016,1
illinois,51,state house,2016,0
illinois,54,state house,2016,0
illinois,14,state house,2016,1
illinois,30,state house,2016,1
illinois,80,state house,2016,1
illinois,56,state house,2016,1
illinois,45,state house,2016,0
illinois,49,state house,2016,0
illinois,90,state house,2016,0
illinois,46,state house,2016,1
illinois,42,state house,2016,0
illinois,48,state house,2016,0
illinois,41,state house,2016,0
illinois,84,state house,2016,1
illinois,81,state house,2016,0
illinois,85,state house,2016,1
illinois,106,state house,2016,0
illinois,117,state house,2016,0
illinois,91,state house,2016,0
illinois,79,state house,2016,0
illinois,75,state house,2016,0
illinois,115,state house,2016,0
illinois,111,state house,2016,1
illinois,83,state house,2016,1
illinois,50,state house,2016,0
illinois,65,state house,2016,0
illinois,66,state house,2016,0
illinois,97,state house,2016,0
illinois,62,state house,2016,1
illinois,64,state house,2016,0
illinois,60,state house,2016,1
illinois,61,state house,2016,0
illinois,105,state house,2016,0
illinois,87,state house,2016,0
illinois,113,state house,2016,1
illinois,112,state house,2016,1
illinois,63,state house,2016,0
illinois,88,state house,2016,0
illinois,116,state house,2016,1
illinois,92,state house,2016,1
illinois,72,state house,2016,1
illinois,99,state house,2016,0
illinois,114,state house,2016,1
illinois,86,state house,2016,1
illinois,98,state house,2016,1
illinois,68,state house,2016,0
illinois,67,state house,2016,1
indiana,79,state house,2016,0
indiana,85,state house,2016,0
indiana,84,state house,2016,0
indiana,81,state house,2016,0
indiana,80,state house,2016,1
indiana,52,state house,2016,0
indiana,83,state house,2016,0
indiana,50,state house,2016,0
indiana,82,state house,2016,0
indiana,57,state house,2016,0
indiana,59,state house,2016,0
indiana,69,state house,2016,0
indiana,13,state house,2016,0
indiana,31,state house,2016,0
indiana,33,state house,2016,0
indiana,41,state house,2016,0
indiana,24,state house,2016,0
indiana,28,state house,2016,0
indiana,65,state house,2016,0
indiana,25,state house,2016,0
indiana,38,state house,2016,0
indiana,23,state house,2016,0
indiana,66,state house,2016,1
indiana,70,state house,2016,0
indiana,71,state house,2016,1
indiana,73,state house,2016,0
indiana,42,state house,2016,0
indiana,44,state house,2016,0
indiana,46,state house,2016,0
indiana,74,state house,2016,0
indiana,63,state house,2016,0
indiana,62,state house,2016,0
indiana,45,state house,2016,0
indiana,67,state house,2016,0
indiana,68,state house,2016,0
indiana,55,state house,2016,0
indiana,34,state house,2016,1
indiana,35,state house,2016,1
indiana,32,state house,2016,0
indiana,21,state house,2016,0
indiana,22,state house,2016,0
indiana,48,state house,2016,0
indiana,49,state house,2016,0
indiana,72,state house,2016,0
indiana,17,state house,2016,0
indiana,16,state house,2016,0
indiana,64,state house,2016,0
indiana,39,state house,2016,0
indiana,37,state house,2016,0
indiana,88,state house,2016,0
indiana,29,state house,2016,0
indiana,53,state house,2016,0
indiana,40,state house,2016,0
indiana,91,state house,2016,0
indiana,54,state house,2016,0
indiana,30,state house,2016,0
indiana,47,state house,2016,0
indiana,58,state house,2016,0
indiana,93,state house,2016,0
indiana,18,state house,2016,0
indiana,51,state house,2016,0
indiana,20,state house,2016,0
indiana,9,state house,2016,1
indiana,8,state house,2016,1
indiana,14,state house,2016,1
indiana,11,state house,2016,0
indiana,19,state house,2016,0
indiana,15,state house,2016,0
indiana,2,state house,2016,1
indiana,3,state house,2016,1
indiana,12,state house,2016,1
indiana,1,state house,2016,1
indiana,36,state house,2016,1
indiana,96,state house,2016,1
indiana,98,state house,2016,1
indiana,99,state house,2016,1
indiana,100,state house,2016,1
indiana,97,state house,2016,1
indiana,86,state house,2016,1
indiana,89,state house,2016,0
indiana,95,state house,2016,1
indiana,94,state house,2016,1
indiana,92,state house,2016,1
indiana,90,state house,2016,0
indiana,87,state house,2016,1
indiana,60,state house,2016,0
indiana,61,state house,2016,1
indiana,75,state house,2016,0
indiana,4,state house,2016,0
indiana,10,state house,2016,1
indiana,76,state house,2016,0
indiana,7,state house,2016,1
indiana,5,state house,2016,0
indiana,6,state house,2016,1
indiana,26,state house,2016,0
indiana,27,state house,2016,1
indiana,77,state house,2016,1
indiana,78,state house,2016,0
indiana,43,state house,2016,1
indiana,56,state house,2016,0
iowa,20,state house,2016,0
iowa,21,state house,2016,0
iowa,56,state house,2016,0
iowa,80,state house,2016,0
iowa,12,state house,2016,0
iowa,75,state house,2016,0
iowa,63,state house,2016,0
iowa,72,state house,2016,0
iowa,60,state house,2016,0
iowa,61,state house,2016,1
iowa,59,state house,2016,1
iowa,62,state house,2016,1
iowa,47,state house,2016,0
iowa,48,state house,2016,0
iowa,64,state house,2016,1
iowa,95,state house,2016,0
iowa,11,state house,2016,0
iowa,54,state house,2016,0
iowa,50,state house,2016,0
iowa,10,state house,2016,0
iowa,73,state house,2016,0
iowa,52,state house,2016,1
iowa,53,state house,2016,1
iowa,3,state house,2016,0
iowa,27,state house,2016,0
iowa,2,state house,2016,0
iowa,55,state house,2016,0
iowa,97,state house,2016,0
iowa,98,state house,2016,1
iowa,18,state house,2016,0
iowa,19,state house,2016,0
iowa,44,state house,2016,0
iowa,82,state house,2016,1
iowa,96,state house,2016,0
iowa,88,state house,2016,0
iowa,87,state house,2016,1
iowa,1,state house,2016,0
iowa,99,state house,2016,1
iowa,57,state house,2016,0
iowa,58,state house,2016,0
iowa,100,state house,2016,1
iowa,7,state house,2016,0
iowa,23,state house,2016,0
iowa,8,state house,2016,0
iowa,49,state house,2016,0
iowa,17,state house,2016,0
iowa,84,state house,2016,0
iowa,51,state house,2016,0
iowa,76,state house,2016,0
iowa,28,state house,2016,0
iowa,29,state house,2016,1
iowa,77,state house,2016,1
iowa,74,state house,2016,1
iowa,86,state house,2016,1
iowa,85,state house,2016,1
iowa,78,state house,2016,0
iowa,83,state house,2016,1
iowa,68,state house,2016,0
iowa,66,state house,2016,1
iowa,67,state house,2016,0
iowa,65,state house,2016,1
iowa,70,state house,2016,1
iowa,69,state house,2016,1
iowa,25,state house,2016,0
iowa,79,state house,2016,0
iowa,71,state house,2016,1
iowa,24,state house,2016,0
iowa,91,state house,2016,0
iowa,5,state house,2016,0
iowa,30,state house,2016,0
iowa,39,state house,2016,0
iowa,31,state house,2016,1
iowa,32,state house,2016,1
iowa,36,state house,2016,1
iowa,35,state house,2016,1
iowa,40,state house,2016,1
iowa,43,state house,2016,0
iowa,37,state house,2016,0
iowa,38,state house,2016,0
iowa,41,state house,2016,1
iowa,33,state house,2016,1
iowa,34,state house,2016,1
iowa,42,state house,2016,0
iowa,22,state house,2016,0
iowa,15,state house,2016,1
iowa,16,state house,2016,0
iowa,93,state house,2016,1
iowa,94,state house,2016,0
iowa,90,state house,2016,1
iowa,92,state house,2016,0
iowa,89,state house,2016,1
iowa,4,state house,2016,0
iowa,46,state house,2016,1
iowa,45,state house,2016,1
iowa,81,state house,2016,1
iowa,26,state house,2016,1
iowa,9,state house,2016,1
iowa,13,state house,2016,1
iowa,14,state house,2016,1
iowa,6,state house,2016,0
kansas,9,state house,2016,0
kansas,2,state house,2016,1
kansas,5,state house,2016,0
kansas,4,state house,2016,0
kansas,63,state house,2016,0
kansas,62,state house,2016,0
kansas,116,state house,2016,0
kansas,112,state house,2016,0
kansas,109,state house,2016,0
kansas,113,state house,2016,0
kansas,99,state house,2016,0
kansas,77,state house,2016,0
kansas,85,state house,2016,0
kansas,12,state house,2016,0
kansas,75,state house,2016,0
kansas,72,state house,2016,1
kansas,68,state house,2016,0
kansas,1,state house,2016,0
kansas,120,state house,2016,0
kansas,115,state house,2016,0
kansas,64,state house,2016,0
kansas,70,state house,2016,0
kansas,107,state house,2016,0
kansas,76,state house,2016,0
kansas,79,state house,2016,1
kansas,80,state house,2016,0
kansas,3,state house,2016,1
kansas,45,state house,2016,0
kansas,42,state house,2016,0
kansas,46,state house,2016,1
kansas,44,state house,2016,1
kansas,10,state house,2016,1
kansas,54,state house,2016,0
kansas,117,state house,2016,0
kansas,13,state house,2016,0
kansas,110,state house,2016,0
kansas,111,state house,2016,1
kansas,108,state house,2016,0
kansas,122,state house,2016,0
kansas,123,state house,2016,0
kansas,119,state house,2016,0
kansas,59,state house,2016,0
kansas,65,state house,2016,0
kansas,118,state house,2016,0
kansas,124,state house,2016,0
kansas,74,state house,2016,0
kansas,61,state house,2016,1
kansas,47,state house,2016,0
kansas,106,state house,2016,1
kansas,17,state house,2016,0
kansas,24,state house,2016,1
kansas,18,state house,2016,1
kansas,39,state house,2016,0
kansas,23,state house,2016,0
kansas,19,state house,2016,0
kansas,20,state house,2016,0
kansas,28,state house,2016,0
kansas,27,state house,2016,0
kansas,8,state house,2016,0
kansas,48,state house,2016,0
kansas,121,state house,2016,0
kansas,14,state house,2016,0
kansas,15,state house,2016,0
kansas,16,state house,2016,1
kansas,21,state house,2016,1
kansas,30,state house,2016,0
kansas,22,state house,2016,1
kansas,26,state house,2016,0
kansas,78,state house,2016,0
kansas,49,state house,2016,0
kansas,25,state house,2016,0
kansas,29,state house,2016,1
kansas,38,state house,2016,0
kansas,43,state house,2016,0
kansas,114,state house,2016,0
kansas,7,state house,2016,0
kansas,40,state house,2016,1
kansas,41,state house,2016,1
kansas,60,state house,2016,0
kansas,51,state house,2016,1
kansas,73,state house,2016,0
kansas,6,state house,2016,0
kansas,11,state house,2016,0
kansas,117,state house,2016,0
kansas,113,state house,2016,0
kansas,110,state house,2016,0
kansas,61,state house,2016,0
kansas,51,state house,2016,0
kansas,66,state house,2016,1
kansas,120,state house,2016,0
kansas,114,state house,2016,0
kansas,101,state house,2016,0
kansas,102,state house,2016,1
kansas,104,state house,2016,0
kansas,106,state house,2016,0
kansas,108,state house,2016,0
kansas,67,state house,2016,0
kansas,64,state house,2016,0
kansas,109,state house,2016,0
kansas,69,state house,2016,0
kansas,71,state house,2016,0
kansas,118,state house,2016,0
kansas,87,state house,2016,0
kansas,86,state house,2016,1
kansas,83,state house,2016,1
kansas,103,state house,2016,1
kansas,84,state house,2016,1
kansas,89,state house,2016,1
kansas,85,state house,2016,0
kansas,88,state house,2016,1
kansas,99,state house,2016,0
kansas,81,state house,2016,0
kansas,98,state house,2016,1
kansas,96,state house,2016,1
kansas,93,state house,2016,0
kansas,97,state house,2016,0
kansas,94,state house,2016,0
kansas,95,state house,2016,1
kansas,100,state house,2016,0
kansas,92,state house,2016,1
kansas,91,state house,2016,0
kansas,105,state house,2016,0
kansas,90,state house,2016,0
kansas,82,state house,2016,0
kansas,124,state house,2016,0
kansas,125,state house,2016,0
kansas,50,state house,2016,0
kansas,47,state house,2016,0
kansas,57,state house,2016,1
kansas,55,state house,2016,1
kansas,53,state house,2016,1
kansas,58,state house,2016,1
kansas,54,state house,2016,0
kansas,56,state house,2016,1
kansas,52,state house,2016,0
kansas,80,state house,2016,0
kansas,79,state house,2016,1
kansas,116,state house,2016,0
kansas,13,state house,2016,0
kansas,33,state house,2016,1
kansas,35,state house,2016,1
kansas,34,state house,2016,1
kansas,32,state house,2016,1
kansas,36,state house,2016,1
kansas,31,state house,2016,1
kansas,37,state house,2016,1
maine,62,state house,2016,1
maine,64,state house,2016,1
maine,63,state house,2016,0
maine,59,state house,2016,1
maine,60,state house,2016,1
maine,58,state house,2016,1
maine,61,state house,2016,1
maine,31,state house,2016,1
maine,32,state house,2016,1
maine,33,state house,2016,0
maine,39,state house,2016,1
maine,38,state house,2016,1
maine,40,state house,2016,1
maine,42,state house,2016,1
maine,41,state house,2016,1
maine,37,state house,2016,1
maine,36,state house,2016,1
maine,35,state house,2016,1
maine,34,state house,2016,1
maine,51,state house,2016,1
maine,27,state house,2016,1
maine,26,state house,2016,1
maine,132,state house,2016,1
maine,136,state house,2016,0
maine,85,state house,2016,1
maine,86,state house,2016,0
maine,80,state house,2016,0
maine,97,state house,2016,1
maine,15,state house,2016,1
maine,16,state house,2016,0
